k,trial,seed,bic,q_strict,num_params,auc_y,ap_y,random_ap_baseline,rmse_x,x_binary_acc,silhouette,nmi,ari,w0,w,nan_occurred,nan_count,success,runtime_s,error_message
2,0,13200,2980.5096945943037,-1405.0591988563722,37,0.9516268980477223,0.8143262867646893,0.06868686868686869,0.30874039770619977,0.88,-0.3076710144551181,0.31952330575329463,0.08880378598732942,-5.504208592425679,1.7370498439854551,False,0,True,8.5,
2,1,13210,3005.0018142390436,-1417.3052586787421,37,0.9490098251882098,0.7880017993015148,0.06868686868686869,0.3042239153853285,0.8826315789473684,-0.29928198810070755,0.3546793106955885,0.09376500986414624,-5.421413459393406,1.6974278320490885,False,0,True,8.5,
2,2,13220,3010.1801196735437,-1419.8944113959922,37,0.949188464973842,0.8004989959301443,0.06868686868686869,0.30864397103155455,0.8805263157894737,-0.3640074617677733,0.24648780271731502,0.01695174849223069,-5.4788723429654915,1.7635405991818947,False,0,True,8.5,
3,0,13300,3003.328941816312,-1377.3248758864777,54,0.9714916422100294,0.8421520141924557,0.06868686868686869,0.2930761763460403,0.8852631578947369,-0.3247838957328604,0.34449906051213147,0.08485362921019285,-5.552806811137457,1.5231164743571397,False,0,True,8.6,
3,1,13310,3013.6549694728956,-1382.4878897147694,54,0.9740723491131811,0.8470407001236124,0.06868686868686869,0.2909084306845198,0.8852631578947369,-0.3334547954936143,0.330199826433636,0.1023601367531269,-5.588853009428466,1.5217933744840284,False,0,True,8.6,
3,2,13320,3035.7456659427407,-1393.533237949692,54,0.9786659436008677,0.8457124799353707,0.06868686868686869,0.29656176110232174,0.8778947368421053,-0.33157968017823175,0.3374640265504331,0.08147994060818316,-5.506371044333614,1.510214725939956,False,0,True,9.1,
5,0,13500,3456.480225342178,-1532.5203797665952,85,0.9844028327166008,0.8863815754512095,0.06868686868686869,0.26477291929982033,0.8957894736842106,-0.3859462046849326,0.236688846815928,0.012482188830165391,-5.569352222535068,1.1427954888744791,False,0,True,8.9,
5,1,13510,3445.1447920485393,-1526.8526631197758,85,0.9813493683807579,0.8819470902790493,0.06868686868686869,0.26825515027760966,0.9010526315789473,-0.36843056392151224,0.24222521104982248,0.010819676337336272,-5.523488291256168,1.1558137971183848,False,0,True,8.8,
5,2,13520,3451.2561085593998,-1529.908321375206,85,0.9843594487686614,0.8709919961291013,0.06868686868686869,0.26999595850002034,0.9021052631578947,-0.37429273478487657,0.22409324537908856,0.0008394052423824307,-5.578354891321239,1.1490019780348948,False,0,True,8.8,
