k,split_trial,model_trial,model_seed,n_train_pos,n_test_pos,n_train_neg,n_test_neg,random_ap_baseline,bic,q_strict,train_auc,train_ap,test_auc,test_ap,test_ap_over_random,rmse_x,silhouette,nmi,ari,w0,w,nan_occurred,nan_count,success,runtime_s,error_message
3,0,0,15300,272,68,1360,340,0.16666666666666666,3080.3840022058403,-1415.8524060812417,0.976843641868512,0.9017740853959151,0.9253892733564014,0.7863599066079343,4.718159439647606,0.291403140431003,-0.348842328997081,0.31610103568423303,0.08914557561402717,-5.5550549044648925,1.298990387309483,False,0,True,8.9,
3,0,1,15301,272,68,1360,340,0.16666666666666666,3063.4138357061147,-1407.367322831379,0.9753892733564015,0.90729225590232,0.9392733564013841,0.8182887409836728,4.909732445902037,0.28975680640943907,-0.2950051260197889,0.3478040764684722,0.09726544185247168,-5.5600663703251145,1.2773264206813948,False,0,True,8.7,
3,1,0,15310,272,68,1360,340,0.16666666666666666,3089.393233848579,-1420.357021902611,0.9767301038062284,0.9125991975840778,0.9542387543252595,0.8414598428423186,5.048759057053911,0.29715109025161696,-0.35673668522475066,0.26989877798141976,0.023752950614081593,-5.540925287992226,1.2984150842503992,False,0,True,8.6,
3,1,1,15311,272,68,1360,340,0.16666666666666666,3045.0327394935694,-1398.1767747251063,0.9727535683391003,0.9027029998416559,0.9322664359861592,0.8116535562879036,4.869921337727422,0.29112986435340077,-0.3691376223320517,0.282655236751301,0.037509895436841856,-5.569878797011598,1.2943694886345412,False,0,True,10.2,
3,2,0,15320,272,68,1360,340,0.16666666666666666,3060.2273275928633,-1405.7740687747532,0.9777627595155709,0.9137518128578676,0.961764705882353,0.8665482322117767,5.199289393270661,0.29585964593854897,-0.3350064212044915,0.34168646322363544,0.08747365251430292,-5.47118919370593,1.2904118039286205,False,0,True,11.3,
3,2,1,15321,272,68,1360,340,0.16666666666666666,3090.6614473704467,-1420.991128663545,0.9724643166089967,0.914835001286138,0.9590397923875432,0.8683369771164171,5.210021862698503,0.2911734326306244,-0.2911996795845228,0.29273214468713765,0.06000129948335489,-5.40787384261431,1.2795498167992168,False,0,True,12.6,
5,0,0,15500,272,68,1360,340,0.16666666666666666,3513.0796996798426,-1560.8201169354274,0.9821096453287198,0.9277956954221993,0.9139705882352941,0.7808451036761932,4.685070622057159,0.2549117146463008,-0.42484874528951344,0.23199263144255683,0.016957493537028058,-5.544674252388143,0.9947578602816659,False,0,True,10.4,
5,0,1,15501,272,68,1360,340,0.16666666666666666,3522.2700920332104,-1565.4153131121113,0.9822069636678201,0.9266729996345431,0.9017301038062284,0.7452517263722901,4.471510358233741,0.26080383252622674,-0.31469163757732865,0.2634515268562657,0.0335761591812538,-5.523394404227514,0.9881740449595486,False,0,True,10.1,
5,1,0,15510,272,68,1360,340,0.16666666666666666,3548.550461590528,-1578.55549789077,0.9766003460207612,0.9103303658839625,0.9204584775086505,0.728674772328373,4.3720486339702385,0.2751511933621953,-0.31800555192483526,0.28692402830371794,0.06303531097589805,-5.628357715096805,0.981529769755856,False,0,True,9.0,
5,1,1,15511,272,68,1360,340,0.16666666666666666,3570.991659497012,-1589.776096844012,0.9703422361591696,0.8973145626727173,0.886461937716263,0.6527125053708758,3.9162750322252546,0.2675412108692935,-0.3030136462028061,0.2375841470026993,0.015898789913464516,-5.587127189693219,0.974836917313382,False,0,True,9.2,
5,2,0,15520,272,68,1360,340,0.16666666666666666,3550.4415155343786,-1579.5010248626954,0.981295955882353,0.9238964566813921,0.9365484429065742,0.767112002473318,4.602672014839908,0.2616712260101923,-0.37895180765323916,0.2382967737224997,0.01608160690010843,-5.479271765261409,0.9804957082669944,False,0,True,9.1,
5,2,1,15521,272,68,1360,340,0.16666666666666666,3497.8687465655466,-1553.2146403782795,0.9824610726643599,0.9323643136038078,0.9099480968858131,0.7789018464892219,4.673411078935332,0.2636982503559063,-0.3698448529446686,0.23266976432088568,0.013189243997772403,-5.48250654976886,0.9831921310527789,False,0,True,9.1,
