condition,split,model_trial,n_cols_used,test_y_ll,test_y_rmse,test_spearman,test_hc_auc,test_hc_ap,train_y_ll,w0,w,nan_occurred,runtime_s,x_rmse_genre,x_rmse_year,x_rmse_mean_rating,x_rmse_count_raw,x_rmse_count_log,x_rmse_count_z
genre_zscore_count_gaussian,0,1,20,-3.4360988369366465,7.524075392391822,0.9356983369881304,0.9725122549019607,0.9731164660401813,-3.3661385590180224,3.4159577151707174,0.27311557686217997,False,9.44,0.34857048706102767,,,,,0.8198427372158683
rating_stats_only,0,1,3,-3.7339681286722417,8.8420927121384,0.8997078224252449,0.9531168300653594,0.9558018976329291,-3.744916624112373,3.1476547985359495,0.3316900571908119,False,8.36,,0.684591818454336,0.6178034773117668,28.386924624163157,,
mixed_percolumn_raw,0,1,22,-3.7487689108628426,8.930296165370352,0.8992741560923098,0.9537867647058823,0.9564893182807284,-3.7466228785595757,3.152555906448515,0.3316343160408741,False,10.49,0.2925628247702118,0.6881909843054993,0.6167389890182908,28.330809543287717,,
mixed_all_gaussian,0,1,22,-3.461992735261873,7.674382275378858,0.93337791721331,0.9718995098039216,0.971337726163238,-3.3802696549954017,3.434073341813129,0.26975620085709434,False,6.73,0.3144095524592001,0.593189956351461,0.5659913613787347,72.67976835558433,,
mixed_percolumn_log_count,0,1,22,-3.4337314892401873,7.531982613007517,0.9360677406522094,0.9727450980392156,0.9737093625888579,-3.363950807635277,3.4148085059691815,0.27338495437400995,False,9.55,0.34989052546323973,0.6062224720095645,0.6038604303792962,,0.8255263618923708,
y_only,1,0,0,-3.434419564151796,7.302553368779259,0.9327930266963622,0.967938775510204,0.9673901174441102,-3.3793469733492434,3.441335026478928,0.2655058198135532,False,6.75,,,,,,
genre_only,1,0,19,-3.398495440035692,7.100332743813906,0.9372425994131235,0.9682448979591837,0.9688217033601816,-3.3647493580747794,3.4200374500679236,0.2698783630268857,False,7.55,0.34675408054520557,,,,,
genre_year,1,0,20,-3.4141864194385825,7.164989443515796,0.9359549455517018,0.9687714285714286,0.9692644327726317,-3.366866417996295,3.4191024211021768,0.2697426759605817,False,9.32,0.34643271488098515,0.6112528335424658,,,,
genre_avg_rating,1,0,20,-3.408832544169916,7.124906450515776,0.936496545974647,0.9689428571428571,0.9701769292084603,-3.364571849694703,3.4186996068499274,0.26963711297150605,False,9.43,0.3472745474546967,,0.6003914945281922,,,
genre_count_raw_poisson,1,0,20,-3.839896131921885,9.310349404530887,0.887848262349806,0.9465265306122448,0.9452822103502874,-3.7350182390640407,3.1590457068617277,0.3304906119264307,False,9.51,0.29340468243247403,,,28.374334884429565,,
genre_log_count_gaussian,1,0,20,-3.404190020929035,7.092234860005669,0.9363952687859134,0.9686612244897959,0.969676642918962,-3.365747587612055,3.4207107082441666,0.2695360728253292,False,10.05,0.3481017775263587,,,,0.8372459178921104,
genre_zscore_count_gaussian,1,0,20,-3.404784426887811,7.087509785886032,0.9367576983835777,0.9693510204081633,0.9704423720016023,-3.3660455150992794,3.420818734000655,0.2695467292412518,False,9.43,0.3480990161866597,,,,,0.8236237237099243
rating_stats_only,1,0,3,-3.825974971142577,9.25882999001447,0.8897383163436526,0.9453224489795918,0.9445745517376396,-3.729573629690185,3.16302455768664,0.3292150894422288,False,8.41,,0.6400385105049341,0.6623581558754326,29.515224635375567,,
mixed_percolumn_raw,1,0,22,-3.826522610338869,9.255126500255319,0.8901680641020012,0.9448530612244899,0.9447210381745805,-3.7381171941718794,3.164607850287428,0.3291947362051491,False,10.14,0.29461058603142587,0.6462105672643638,0.6563105067861911,27.73093354073047,,
mixed_all_gaussian,1,0,22,-3.440847278324846,7.37127079620958,0.9336025577279728,0.9689142857142857,0.9678414055981435,-3.3809945249179103,3.444160953041775,0.26480681171533965,False,6.59,0.3123805013397773,0.6163860749284952,0.5810716087876241,70.3591398331056,,
mixed_percolumn_log_count,1,0,22,-3.4161398248093082,7.207591075755709,0.9360121891801163,0.9696530612244898,0.9701753822457099,-3.3666364949004417,3.4214986433826176,0.26984478843399023,False,9.37,0.3486106804955347,0.6000608148571895,0.5783786856075728,,0.8379823492648794,
y_only,1,1,0,-3.4233304867483203,7.294706712478219,0.9342449529495244,0.967204081632653,0.9652754779454509,-3.3861386245141314,3.438687056181891,0.26656609269837295,False,6.72,,,,,,
genre_only,1,1,19,-3.41208171623779,7.225402758209946,0.9362579174739579,0.9674367346938775,0.9677173160082516,-3.3693965897057168,3.4191083397743114,0.2702732166681359,False,7.52,0.34894173620190594,,,,,
genre_year,1,1,20,-3.410424162985027,7.2373257166997655,0.9363820277953738,0.9681469387755102,0.967617388912047,-3.369672345905312,3.4178935357143696,0.27002378818508427,False,9.56,0.34929212081323585,0.6179410716538395,,,,
genre_avg_rating,1,1,20,-3.417981365639674,7.270847293526275,0.9372139281230059,0.9705918367346938,0.9709483437296023,-3.372868152970004,3.4197855522747957,0.27008524429596614,False,9.53,0.3477293586670978,,0.5830910652211654,,,
genre_count_raw_poisson,1,1,20,-3.8417638094166286,9.308297226860335,0.8872624242784112,0.9446816326530613,0.9443419280842213,-3.7521734589926887,3.1619421181179885,0.32887343854553247,False,9.45,0.2938576668825251,,,26.27115246132892,,
genre_log_count_gaussian,1,1,20,-3.4054121921830456,7.171603559448318,0.9377407723556532,0.9698122448979591,0.9700949641389036,-3.3710429797351047,3.4191719803262477,0.270144542039063,False,9.41,0.3465069962762619,,,,0.8445582184332757,
genre_zscore_count_gaussian,1,1,20,-3.4006136782592296,7.164446213802876,0.938423663609925,0.9705755102040817,0.9707660958788107,-3.370233026327003,3.4181213896731855,0.2701665718536272,False,9.5,0.3464263290377735,,,,,0.8251328159631932
rating_stats_only,1,1,3,-3.8292252491402747,9.252798430509543,0.8891406720831218,0.9448612244897958,0.9442488526916402,-3.74738558448017,3.1619670224249727,0.32967348619197645,False,8.48,,0.6548692545306289,0.6715866218064621,28.118306440088723,,
mixed_percolumn_raw,1,1,22,-3.8393671473137276,9.305726682080333,0.8877455565441575,0.9441020408163265,0.9432445305594882,-3.746483023780397,3.160163514404315,0.33006193041244236,False,10.58,0.2944355673346498,0.6632561973186125,0.6614876958081723,26.686237110077222,,
mixed_all_gaussian,1,1,22,-3.4250089296482287,7.2527185854069485,0.9364243853592255,0.9703265306122448,0.9701170250804141,-3.3846028314046603,3.4436536934899915,0.26552675330954384,False,7.58,0.31305985135292996,0.6069541339526322,0.5834355406595314,69.49169945351315,,
mixed_percolumn_log_count,1,1,22,-3.4065637279058816,7.1513187791897375,0.937648963619286,0.9698979591836735,0.9693431152311769,-3.372808097062931,3.420900588255623,0.2696237342160453,False,9.44,0.34686651618223463,0.6162974471718856,0.5857677893050923,,0.8409472294793731,
