condition,y_obs_rate,trial,n_cols_used,n_train_pairs,rmse_Z,w0_err,w_err,train_y_ll,test_y_ll,train_y_rmse,test_y_rmse,nan_occurred,runtime_s,x_rmse_gauss,x_rmse_bern,x_rmse_pois
single_gaussian,1.0,0,3,2528,0.23209834866403029,0.016244409594890152,0.005874047295758633,-1.9910231803826846,-1.9969499577222618,1.9349349609087159,1.9097255127881334,False,5.08,0.32656643795183427,,
per_column_all,1.0,0,9,2528,0.23970202709841318,0.016477363623213392,0.007861133464523273,-1.9848110695759928,-1.9917549433604613,1.9204985689831844,1.9051312768435797,False,7.35,0.3385711270517794,0.4352773820628594,1.1940981386238563
all_gaussian,1.0,0,9,2528,0.24083550331739811,0.016106030371180857,0.008017048272236593,-1.986397975782698,-1.9920998381846857,1.924653311399195,1.9043594107588084,False,4.68,0.33607453927866937,0.6486661938284037,2.2175457500453803
y_only,1.0,0,0,2528,0.31148866289406796,0.016216637689316915,0.005258752151944879,-1.993467924232927,-2.0399288874591406,1.9427055858794777,2.029612228976682,False,4.85,,,
single_gaussian,0.5,0,3,1264,0.27429630837889096,0.03942644578380583,0.010213297268370947,-1.9480439891586412,-2.021151210173705,1.8549366004957955,1.9593701642302652,False,4.67,0.3258319725531927,,
per_column_all,0.5,0,9,1264,0.2630380495769892,0.03642157131383117,0.014563839849567661,-1.9362997199924123,-1.9991068808205672,1.824374430420355,1.9146325419046093,False,7.51,0.33008580142807264,0.4353955012564593,1.2221360876823548
all_gaussian,0.5,0,9,1264,0.2627897445050147,0.03504867732547301,0.014303067382353207,-1.9406898885979555,-2.0008748235606433,1.83745675867127,1.9101709031798024,False,4.77,0.3245740219930409,0.6493357381730163,2.227855090768205
y_only,0.5,0,0,1264,0.46226271790045026,0.0441413846043095,0.0069183912943575065,-1.9569128364638597,-2.138151366757282,1.865412392304509,2.220417341844481,False,4.88,,,
single_gaussian,0.2,0,3,506,0.344246605395728,0.05304679999229922,0.031988863954602265,-1.939489738024597,-2.0515038958885445,1.8411433116027132,2.006269366051624,False,4.74,0.3600760253510972,,
per_column_all,0.2,0,9,506,0.3117437118443449,0.055053138817967806,0.02385158642920232,-1.9347747924457548,-2.0286371762538318,1.8249448298537994,1.972020045721414,False,7.24,0.3384326242049531,0.4413929889902768,1.2353804199611318
all_gaussian,0.2,0,9,506,0.6308009077543137,0.13706255157904979,0.028988618093508278,-2.010981909657261,-2.146627348174369,1.9641180313504476,2.2184270392341836,False,4.84,0.6058930092803287,0.5923285037632816,1.940667872380718
y_only,0.2,0,0,506,0.8211231419544742,0.09201828925031652,0.030549426945472358,-1.9341372752007042,-2.385374462011245,1.8440569229910682,2.674655121986191,False,4.86,,,
single_gaussian,0.1,0,3,253,0.383806805469384,0.05360825531588009,0.03970105282031816,-2.038666895708793,-2.0862178966982152,1.952166589908318,2.1415330545719375,False,4.78,0.39224258073663537,,
per_column_all,0.1,0,9,253,0.3306069707952357,0.04588917919566349,0.019988834816981327,-2.0499344192122857,-2.0169438793289003,1.989453273038894,1.9516433141062874,False,7.34,0.35181712417105193,0.4393819044270879,1.220462544683958
all_gaussian,0.1,0,9,253,0.9136735220244235,0.008632755156324112,0.0777677757470823,-2.184349460653717,-2.1844673375103234,2.2283078376594405,2.295071839683643,False,4.84,0.7336801384863619,0.500082696955085,1.7777210157254204
y_only,0.1,0,0,253,1.1429774559624175,0.09997657824818829,0.014097690790164874,-2.0190429172504167,-2.6200194389322173,1.9277954847396601,3.01468552489061,False,4.75,,,
single_gaussian,1.0,1,3,2528,0.24260884017305967,0.019557604270149742,0.008783997419020584,-1.975453184552683,-1.933069500633764,1.903256686734705,1.8797638103667695,False,4.85,0.29319124137556085,,
per_column_all,1.0,1,9,2528,0.21176840140359526,0.01951483676146637,0.008528417549141076,-1.9739611739458116,-1.9231823240723946,1.8998129877812495,1.781487483830623,False,7.38,0.2963119541006817,0.45129553765434655,1.2274234286193426
all_gaussian,1.0,1,9,2528,0.2298215915941755,0.021617598281385986,0.008163889542880609,-1.9722685830302422,-1.9260589494257814,1.8988065499946376,1.8075606686725683,False,4.77,0.305207736168071,0.6977929715652146,2.272376603125168
y_only,1.0,1,0,2528,0.30442196582647035,0.019507447888988727,0.009196330351898485,-1.980823950079816,-1.9366518290109558,1.9169192701412823,1.8182044451165624,False,4.72,,,
single_gaussian,0.5,1,3,1264,0.2776890697043947,0.010165452086817073,0.02045122559671958,-2.00164789071937,-1.9487475837908492,1.9884238833898316,1.9061671593757914,False,4.79,0.3045896494597146,,
per_column_all,0.5,1,9,1264,0.26151908677395364,0.011123641378045779,0.02179064560747629,-1.997635189954903,-1.943749195730064,1.9814648349493713,1.8893248648702075,False,7.4,0.3120728665688409,0.4486271459327284,1.166658701116072
all_gaussian,0.5,1,9,1264,0.27064752857166496,0.011512460904463895,0.018484161513805497,-1.9987383564056316,-1.947881673255058,1.9770137667132084,1.8964569902702644,False,4.73,0.31014339492348886,0.6968800910693511,2.2782305407827055
y_only,0.5,1,0,1264,0.4510457821793911,0.00828094390768519,0.03158951561185791,-2.009037105364035,-2.0049992208431973,1.9788206914179869,2.0467699264818955,False,4.98,,,
single_gaussian,0.2,1,3,506,0.37169478879377493,0.011392550108159094,0.014278383773131786,-1.9596933183173295,-1.9974854492681247,1.882919836263658,2.0049399868084743,False,4.72,0.31604993213870125,,
per_column_all,0.2,1,9,506,0.32594790055113676,0.010783576528745842,0.02005956064431136,-1.951686609517766,-1.9759783325571514,1.8636351224298306,1.9554870794031571,False,7.27,0.3177963889072084,0.4502734949936323,1.1778359909077254
all_gaussian,0.2,1,9,506,0.663596274961781,0.07291966147429418,0.058519425573907574,-2.0873549395406683,-2.1301830271731728,2.1490913771282547,2.3347130007197046,False,4.71,0.516165058696489,0.5498398605875771,1.706906316603323
