y_obs_rate,comparator,trial,is_primary,rmse_comparator_complementary,rmse_comparator_fullcoverage,rmse_joint_complementary,rmse_joint_fullcoverage,delta_G_complementary,delta_G_fullcoverage,I,D_G,D_J,identity_abs_err
1.0,single_gaussian,0,False,0.2690103891841526,0.24372884275594078,0.26731063664164456,0.235966235726006,0.0016997525425080373,0.007762607029934782,-0.006062854487426744,0.025281546428211815,0.03134440091563856,0.0
1.0,single_gaussian,1,False,0.25832174910885547,0.21595753523017916,0.23469593077681833,0.21967552194838727,0.02362581833203714,-0.0037179867182081106,0.02734380505024525,0.04236421387867631,0.015020408828431059,0.0
1.0,single_gaussian,2,False,0.2621554173812249,0.2232447537722443,0.24742043624104856,0.23847175681079513,0.014734981140176323,-0.015227003038550846,0.02996198417872717,0.0389106636089806,0.008948679430253431,0.0
1.0,single_gaussian,3,False,0.29870496482620473,0.25578030099419974,0.2692578613793552,0.25431350763279453,0.029447103446849532,0.0014667933614052053,0.027980310085444327,0.042924663832004994,0.014944353746560668,0.0
1.0,single_gaussian,4,False,0.2381144564765639,0.24766130607712808,0.26566753276005933,0.24007272359826515,-0.02755307628349543,0.007588582478862932,-0.03514165876235836,-0.009546849600564178,0.025594809161794185,0.0
1.0,single_gaussian,5,False,0.2841547800692896,0.24592465923817328,0.2915422585230075,0.2538828724706259,-0.0073874784537178995,-0.007958213232452632,0.0005707347787347328,0.03823012083111635,0.037659386052381616,0.0
1.0,single_gaussian,6,False,0.25597341218426944,0.23749994056911727,0.24004537981144017,0.2320095112354111,0.015928032372829276,0.005490429333706165,0.010437603039123111,0.01847347161515217,0.00803586857602906,0.0
1.0,single_gaussian,7,False,0.2776142548002807,0.2504196925582742,0.27276826981824215,0.26220530910516276,0.0048459849820385315,-0.011785616546888589,0.01663160152892712,0.027194562242006504,0.010562960713079383,0.0
1.0,single_gaussian,8,False,0.25056948437859444,0.2501915024361272,0.2589335579391884,0.24775000043147602,-0.008364073560593932,0.0024415020046511804,-0.010805575565245112,0.0003779819424672426,0.011183557507712355,0.0
1.0,single_gaussian,9,False,0.27739270633494034,0.26059313560434794,0.26983103111357504,0.25032841866054806,0.007561675221365305,0.010264716943799879,-0.0027030417224345737,0.016799570730592406,0.01950261245302698,0.0
1.0,single_bernoulli,0,False,0.3057682728863097,0.3126617381070245,0.26731063664164456,0.235966235726006,0.03845763624466514,0.07669550238101852,-0.03823786613635338,-0.006893465220714823,0.03134440091563856,0.0
1.0,single_bernoulli,1,False,0.2924598795161308,0.2993728674304865,0.23469593077681833,0.21967552194838727,0.057763948739312454,0.07969734548209925,-0.021933396742786798,-0.006912987914355739,0.015020408828431059,0.0
1.0,single_bernoulli,2,False,0.29405613478409137,0.30572864834137276,0.24742043624104856,0.23847175681079513,0.04663569854304281,0.06725689153057762,-0.020621192987534814,-0.011672513557281383,0.008948679430253431,0.0
1.0,single_bernoulli,3,False,0.3178856802714837,0.3387116303145702,0.2692578613793552,0.25431350763279453,0.04862781889212847,0.08439812268177566,-0.035770303789647184,-0.020825950043086516,0.014944353746560668,0.0
1.0,single_bernoulli,4,False,0.30112684729706585,0.30913066337603606,0.26566753276005933,0.24007272359826515,0.035459314537006514,0.06905793977777092,-0.0335986252407644,-0.008003816078970216,0.025594809161794185,0.0
1.0,single_bernoulli,5,False,0.2972190512300614,0.31657054391960376,0.2915422585230075,0.2538828724706259,0.0056767927070539015,0.06268767144897786,-0.057010878741923954,-0.019351492689542338,0.037659386052381616,0.0
1.0,single_bernoulli,6,False,0.3049137091965166,0.2969787421046584,0.24004537981144017,0.2320095112354111,0.06486832938507645,0.0649692308692473,-0.00010090148417085665,0.007934967091858203,0.00803586857602906,0.0
1.0,single_bernoulli,7,False,0.3238093184254774,0.31396047877962524,0.27276826981824215,0.26220530910516276,0.05104104860723524,0.051755169674462476,-0.0007141210672272358,0.009848839645852148,0.010562960713079383,0.0
1.0,single_bernoulli,8,False,0.3019166579191908,0.3129716875082563,0.2589335579391884,0.24775000043147602,0.04298309998000244,0.0652216870767803,-0.022238587096777868,-0.011055029589065513,0.011183557507712355,0.0
1.0,single_bernoulli,9,False,0.2960250852490508,0.2980518553167629,0.26983103111357504,0.25032841866054806,0.026194054135475764,0.04772343665621487,-0.021529382520739104,-0.0020267700677121248,0.01950261245302698,0.0
1.0,single_poisson,0,False,0.28981328437739506,0.29185933009623205,0.26731063664164456,0.235966235726006,0.022502647735750503,0.05589309437022605,-0.033390446634475546,-0.0020460457188369863,0.03134440091563856,0.0
1.0,single_poisson,1,False,0.27689036118313726,0.259902901192319,0.23469593077681833,0.21967552194838727,0.04219443040631893,0.04022737924393174,0.0019670511623871845,0.016987459990818243,0.015020408828431059,0.0
