trial,col,block,family,intended_dominant_dim,f_1,f_2,f_3,f_norm,dominant_loading_abs,off_dim_norm,dominant_share_of_sq_norm,eta_min,eta_max,eta_mean,eta_var,x_mean,x_var,true_c_mean,true_t_col,true_t_dim1,true_t_dim2,true_t_dim3,z_corr_12,z_corr_13,z_corr_23,bernoulli_event_rate,poisson_mean,poisson_var,gaussian_var
0,0,bern,bernoulli,1,0.9739446557032372,0.21838773499447262,0.06114413161609891,1.0,0.9739446557032372,0.22678581884038243,0.9485681923728972,-2.1487324182024974,3.0656024588670396,-5.551115123125783e-17,1.039319286396063,0.475,0.24937500000000004,0.20602610867534876,0.20602610867534876,0.19542981348779767,0.00982604498232744,0.0007702502052236784,0.09015456878353459,-0.013511049855580933,0.09650040227918254,0.475,,,
0,1,bern,bernoulli,1,0.9983511684037065,-0.03678287657943715,0.04406772671123317,1.0,0.9983511684037065,0.05740160752935412,0.996705055453046,-2.3151030795851506,2.9824197443898846,-6.661338147750939e-17,0.9918769654111174,0.4875,0.24984375,0.20769669671289964,0.20769669671289964,0.20701234761464513,0.00028100947868303633,0.0004033396195714993,0.09015456878353459,-0.013511049855580933,0.09650040227918254,0.4875,,,
0,2,bern,bernoulli,1,0.9958675092786341,-0.058538254839632084,-0.06943469365886076,0.9999999999999999,0.9958675092786341,0.09081797158695819,0.9917520960368305,-2.4368197686264654,2.9838808963201546,-4.4408920985006264e-17,0.9921416219915249,0.5,0.25,0.20798091418912362,0.2079809141891236,0.2062655075827195,0.0007126938723025148,0.0010027127341015836,0.09015456878353459,-0.013511049855580933,0.09650040227918254,0.5,,,
0,3,gauss,gaussian,2,-0.07344592739653506,0.978337876962868,-0.1935476536893469,1.0,0.978337876962868,0.20701448862286995,0.9571450015002116,-3.1002360067113184,1.856326931702711,1.6653345369377347e-17,0.9501141046945578,0.02442180021734571,0.9927042691150504,11.111111111111112,11.111111111111114,0.05993671390152334,10.634944461113466,0.41622993609612624,0.09015456878353459,-0.013511049855580933,0.09650040227918254,,,,0.9927042691150504
0,4,gauss,gaussian,2,-0.0557824766906607,0.9923889565934068,0.10978376075588327,0.9999999999999998,0.9923889565934068,0.12314283913995593,0.9848358411685509,-3.0630568355810466,2.03588018394207,4.4408920985006264e-17,1.0112110345791767,-0.010287785505951896,0.9481382500021056,11.111111111111112,11.111111111111109,0.034574274508267826,10.942620457428342,0.13391637917450017,0.09015456878353459,-0.013511049855580933,0.09650040227918254,,,,0.9481382500021056
0,5,gauss,gaussian,2,0.026968651797089495,0.9707865694636321,0.23842426128496258,1.0,0.9707865694636321,0.2399446530953184,0.9424265634509673,-2.933107728951591,2.2635433266800415,3.3306690738754695e-17,1.0492186736442577,-0.010475897740564432,1.1037743646894438,11.111111111111112,11.111111111111112,0.008081201997251762,10.471406260566305,0.6316236485475568,0.09015456878353459,-0.013511049855580933,0.09650040227918254,,,,1.1037743646894438
0,6,pois,poisson,3,0.14849150345021883,-0.07320612335107027,0.9862003533293838,1.0,0.9862003533293838,0.1655562233593123,0.9725911369070015,-2.1778062721693425,2.374182030787049,5.551115123125783e-17,0.9801489037012594,1.75,7.4375,1.635643145688905,1.635643145688905,0.03606548417254421,0.008765634876644324,1.5908120266397163,0.09015456878353459,-0.013511049855580933,0.09650040227918254,,1.75,7.4375,
0,7,pois,poisson,3,-0.04353265208648053,0.01558813128753814,0.9989303871468121,1.0,0.9989303871468121,0.04623939483514224,0.9978619183652798,-2.055398940226309,2.5607352623382975,4.4408920985006264e-17,1.0040580328956734,1.6625,7.023593750000001,1.688988918342726,1.6889889183427265,0.0032007890455280352,0.00041040714202628543,1.685377722155172,0.09015456878353459,-0.013511049855580933,0.09650040227918254,,1.6625,7.023593750000001,
0,8,pois,poisson,3,-0.11898591372356218,0.16937704134909334,0.9783423583793132,0.9999999999999999,0.9783423583793132,0.20699330858944073,0.9571537701991966,-1.981789662708029,2.7105116261457014,6.106226635438361e-17,1.0314936765473401,1.9125,8.254843750000001,1.7384661669244728,1.7384661669244725,0.024612591468198237,0.049874129420769665,1.6639794460355046,0.09015456878353459,-0.013511049855580933,0.09650040227918254,,1.9125,8.254843750000001,
1,0,bern,bernoulli,1,0.990004597080692,0.05928683144796784,0.12796862652993005,0.9999999999999999,0.990004597080692,0.1410350940691588,0.9801091022409035,-2.112752134114931,2.2678987728851565,-4.4408920985006264e-17,0.9936255244676493,0.5625,0.24609375,0.20569814884325774,0.20569814884325768,0.20160662799538104,0.0007230142617284713,0.0033685065861481754,0.07615529970037753,-0.07797738505180854,0.292849072850444,0.5625,,,
1,1,bern,bernoulli,1,0.9937106238880402,-0.11003334512592665,0.02078121585568475,1.0,0.9937106238880402,0.11197855139285333,0.9874608040279581,-1.8456022345332919,2.2981706280050513,-3.3306690738754695e-17,0.9787863411122519,0.4125,0.24234375,0.20586899567052996,0.20586899567052996,0.20328756398924974,0.002492525316587324,8.890636469288602e-05,0.07615529970037753,-0.07797738505180854,0.292849072850444,0.4125,,,
1,2,bern,bernoulli,1,0.9484801314410208,-0.0015278014692119907,0.316832930870979,1.0,0.9484801314410208,0.31683661445865735,0.8996145597383761,-2.4271890806575613,2.2064343889572773,-4.9960036108132046e-17,0.9526298491655926,0.525,0.24937499999999999,0.20804627892013627,0.20804627892013627,0.1871614616159458,4.856169077060819e-07,0.02088433168728278,0.07615529970037753,-0.07797738505180854,0.292849072850444,0.525,,,
1,3,gauss,gaussian,2,-0.275987217835538,0.9489930292378215,-0.15245748931889958,0.9999999999999999,0.9489930292378215,0.31529705114070294,0.900587769541977,-2.369415240538192,2.1446801564816718,6.661338147750939e-17,0.8688068877674475,-0.059780018788073944,0.8737000224561673,11.111111111111112,11.11111111111111,0.8463216045400078,10.006530772688631,0.2582587338824709,0.07615529970037753,-0.07797738505180854,0.292849072850444,,,,0.8737000224561673
