trial,regime,block,family,source_dim,true_c_mean,eig1,eig2,eig3,trace,lambda_min,lambda_max,coverage_index,effective_rank,f_norm_mean,eta_min,eta_max,x_mean,x_var,hash_Z,hash_Y,hash_eta_y,hash_F,hash_U_bern,hash_E_gauss,hash_E_gauss_regime,gaussian_common_noise_source_equal,gaussian_common_noise_hash_equal,hash_U_pois,spawn_order,spawn_index,poisson_sampling,z_corr_12,z_corr_13,z_corr_23
1,complementary,pois,poisson,3,1.5162614043526836,4.448962103891743,0.08627314452786229,0.01354896463844743,4.5487842130580525,0.01354896463844743,4.448962103891743,0.0029785903230038573,1.044975118076648,1.0,-3.0393685006364186,2.027746589592652,1.3958333333333333,3.0891493055555554,8c4efad498a36be9,e0d49fbda606a472,8cc59576e6e8a3d1,fb8e2296ee024e86,9345d9682fac0b10,ec93bec31cd734c1,ec93bec31cd734c1,True,True,b34c288cf89583b8,Z|F|X_bern|X_gauss|X_pois|Y,4,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.1721887398372184,-0.10596366138006122,-0.04841436395405926
1,full_coverage,pois,poisson,3,1.60614149340143,2.2271585178158846,1.4655674108408399,1.1256985515475664,4.818424480204291,1.1256985515475664,2.2271585178158846,0.23362378224922167,2.7720987515908715,1.0,-3.172249579663004,2.6248443119321982,1.4458333333333333,4.613732638888888,8c4efad498a36be9,e0d49fbda606a472,8cc59576e6e8a3d1,5df6d9482e0dbc35,9345d9682fac0b10,ec93bec31cd734c1,ec93bec31cd734c1,True,True,b34c288cf89583b8,Z|F|X_bern|X_gauss|X_pois|Y,4,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.1721887398372184,-0.10596366138006122,-0.04841436395405926
2,complementary,bern,bernoulli,1,0.20602813131352804,0.6043317190661825,0.012083040231859899,0.0016696346425415587,0.618084393940584,0.0016696346425415587,0.6043317190661825,0.0027013052892289327,1.0456055610441877,1.0,-2.11437999315803,2.5457111048001355,0.4708333333333333,0.24914930555555556,90f0832799e5f5ef,106e868e8763d718,36f8531a2fa96662,ceecdd9de0040709,d9961d942c7a360c,d8285c46e1d2959f,d8285c46e1d2959f,True,True,66ac32663e564d3e,Z|F|X_bern|X_gauss|X_pois|Y,2,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.04173234215955652,-0.11284860859001304,0.15174456041896717
2,full_coverage,bern,bernoulli,1,0.20755460969415443,0.24860654538170462,0.20563032682428534,0.16842695687647322,0.6226638290824632,0.16842695687647322,0.24860654538170462,0.270494204111168,2.9270719143244754,1.0,-2.3416222722569744,3.3590122152398023,0.4375,0.24609375,90f0832799e5f5ef,106e868e8763d718,36f8531a2fa96662,5337dfb30237f2da,d9961d942c7a360c,d8285c46e1d2959f,d8285c46e1d2959f,True,True,66ac32663e564d3e,Z|F|X_bern|X_gauss|X_pois|Y,2,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.04173234215955652,-0.11284860859001304,0.15174456041896717
2,complementary,gauss,gaussian,2,11.111111111111109,32.92632083627301,0.3553790802950642,0.051633416765244786,33.333333333333314,0.051633416765244786,32.92632083627301,0.0015490025029573445,1.024753528438631,1.0,-2.1135299357252806,3.1886753151604226,0.014977888699975924,1.0902964265988748,90f0832799e5f5ef,106e868e8763d718,36f8531a2fa96662,ceecdd9de0040709,d9961d942c7a360c,d8285c46e1d2959f,d8285c46e1d2959f,True,True,66ac32663e564d3e,Z|F|X_bern|X_gauss|X_pois|Y,3,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.04173234215955652,-0.11284860859001304,0.15174456041896717
2,full_coverage,gauss,gaussian,2,11.111111111111109,13.257082904715768,11.322722775054002,8.753527653563557,33.33333333333333,8.753527653563557,13.257082904715768,0.26260582960690676,2.919531662987716,1.0,-2.3278397817820364,3.1886753151604226,0.01497788869997589,1.0896098253519928,90f0832799e5f5ef,106e868e8763d718,36f8531a2fa96662,5337dfb30237f2da,d9961d942c7a360c,d8285c46e1d2959f,d8285c46e1d2959f,True,True,66ac32663e564d3e,Z|F|X_bern|X_gauss|X_pois|Y,3,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.04173234215955652,-0.11284860859001304,0.15174456041896717
2,complementary,pois,poisson,3,1.5986298730198294,4.6055109007261095,0.1648916188295057,0.02548709950387069,4.795889619059486,0.02548709950387069,4.6055109007261095,0.00531436324192735,1.0829616958767678,1.0,-2.656255602705372,2.780737718964885,1.7333333333333334,6.695555555555554,90f0832799e5f5ef,106e868e8763d718,36f8531a2fa96662,ceecdd9de0040709,d9961d942c7a360c,d8285c46e1d2959f,d8285c46e1d2959f,True,True,66ac32663e564d3e,Z|F|X_bern|X_gauss|X_pois|Y,4,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.04173234215955652,-0.11284860859001304,0.15174456041896717
2,full_coverage,pois,poisson,3,1.681611000245913,2.76621438589954,1.759404263233472,0.5192143516047267,5.044833000737738,0.5192143516047267,2.76621438589954,0.10292002758640349,2.3100910562868515,1.0,-2.656255602705372,3.434831137983952,1.7125,12.354843750000002,90f0832799e5f5ef,106e868e8763d718,36f8531a2fa96662,5337dfb30237f2da,d9961d942c7a360c,d8285c46e1d2959f,d8285c46e1d2959f,True,True,66ac32663e564d3e,Z|F|X_bern|X_gauss|X_pois|Y,4,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.04173234215955652,-0.11284860859001304,0.15174456041896717
3,complementary,bern,bernoulli,1,0.20790761425609783,0.5836239796173739,0.036863279931453684,0.0032355832194657704,0.6237228427682934,0.0032355832194657704,0.5836239796173739,0.00518753362487921,1.13756066208079,1.0,-2.683619011594966,2.4746312720149204,0.4583333333333333,0.24826388888888892,d5d4d51c878b5156,ac4f5027dd3e4a6f,9af57a525fab8b95,9c60fa00eb7a2cce,89503634de5b47e8,6599839034227fec,6599839034227fec,True,True,95622123214c4cc6,Z|F|X_bern|X_gauss|X_pois|Y,2,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",0.014397736601078808,0.027392427194514513,-0.2942743156240518
3,full_coverage,bern,bernoulli,1,0.20660705894537498,0.2527634058160018,0.20289093204522868,0.1641668389748942,0.6198211768361247,0.1641668389748942,0.2527634058160018,0.2648616167212668,2.91033531485939,1.0,-3.424649709001526,2.6021444752879246,0.44583333333333336,0.24706597222222218,d5d4d51c878b5156,ac4f5027dd3e4a6f,9af57a525fab8b95,57a5d23dab84310e,89503634de5b47e8,6599839034227fec,6599839034227fec,True,True,95622123214c4cc6,Z|F|X_bern|X_gauss|X_pois|Y,2,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",0.014397736601078808,0.027392427194514513,-0.2942743156240518
