trial,y_obs_rate,regime,condition,n_cols_used,n_train_pairs,rmse_Z,rmse_z_dim1,rmse_z_dim2,rmse_z_dim3,test_y_ll,test_y_rmse,train_y_ll,w0_err,w_err,w0_est,w_est,bic_diagnostic_only,q_strict_diagnostic_only,numerics_mode,internal_retry_detected,nan_occurred,nan_count,q_bic_failed,failure_reason,n_warnings,clip_diag_status,hash_Z,hash_Y,hash_test_mask,hash_train_mask,model_seed,runtime_s,prec_t_total,prec_identity_max_abs_err,prec_t_bern,prec_t_bern_share,prec_fnorm_bern_mean,prec_eig1_bern,prec_eig2_bern,prec_eig3_bern,prec_trace_bern,prec_lambda_min_bern,prec_lambda_max_bern,prec_coverage_index_bern,prec_effective_rank_bern,prec_t_bern_to_dim1,prec_t_bern_to_dim2,prec_t_bern_to_dim3,prec_t_gauss,prec_t_gauss_share,prec_fnorm_gauss_mean,prec_eig1_gauss,prec_eig2_gauss,prec_eig3_gauss,prec_trace_gauss,prec_lambda_min_gauss,prec_lambda_max_gauss,prec_coverage_index_gauss,prec_effective_rank_gauss,prec_t_gauss_to_dim1,prec_t_gauss_to_dim2,prec_t_gauss_to_dim3,prec_t_pois,prec_t_pois_share,prec_fnorm_pois_mean,prec_eig1_pois,prec_eig2_pois,prec_eig3_pois,prec_trace_pois,prec_lambda_min_pois,prec_lambda_max_pois,prec_coverage_index_pois,prec_effective_rank_pois,prec_t_pois_to_dim1,prec_t_pois_to_dim2,prec_t_pois_to_dim3
0,1.0,complementary,single_bernoulli,3,2528,0.3057682728863097,0.35126173430215085,0.2710154918842445,0.28922051670899207,-2.1376779995739,2.7057940226982544,-1.9939642309007832,0.006588543068169361,0.0025712701256931925,1.2065885430681693,0.3025712701256932,11089.541563799343,-5531.62470199565,consistent,False,False,0,False,,0,not_applicable,7fbd0202d03a6693,49d627a52f71500e,38be70041ec77440,490921810a379d69,121000,7.46,0.8725850250250782,1.1102230246251565e-16,0.8725850250250782,1.0,1.2046018915042067,0.7617515764190774,0.11003848396773844,0.0007949646382622265,0.8725850250250781,0.0007949646382622265,0.7617515764190774,0.0009110454746107742,1.2853432136393008,0.7173939329706043,0.09098404894993993,0.06420704310453393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,complementary,single_gaussian,3,2528,0.2690103891841526,0.2955601240828099,0.184342728344967,0.30945393845533037,-2.100949688042013,2.6576183483674853,-1.999300017438684,0.006904245395531694,0.002479174175362475,1.2069042453955316,0.30247917417536246,10898.768784436146,-5429.665272362041,consistent,False,False,0,False,,0,not_applicable,7fbd0202d03a6693,49d627a52f71500e,38be70041ec77440,490921810a379d69,121000,6.33,39.98779244139898,1.2434497875801753e-14,,,,,,,,,,,,,,,39.98779244139898,1.0,1.0110036489484056,37.9420520445599,2.0353783316093055,0.010362065229776223,39.98779244139899,0.010362065229776223,37.9420520445599,0.0002591307145789942,1.1075547699579682,1.4278344474629394,37.5707658323899,0.9891921615461148,,,,,,,,,,,,,,
0,1.0,complementary,single_poisson,3,2528,0.28981328437739506,0.33210954874953974,0.2860046880458406,0.24470346431960682,-2.111636666428299,2.462204451726409,-1.9964078311752589,0.005698124846340136,0.0034355271528104803,1.20569812484634,0.30343552715281047,11444.05571847228,-5708.881779332119,consistent,False,False,0,False,,0,not_applicable,7fbd0202d03a6693,49d627a52f71500e,38be70041ec77440,490921810a379d69,121000,7.24,6.344678596100271,2.220446049250313e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.344678596100271,1.0,1.0616258938254683,5.936224355384397,0.37238873162272607,0.0360655090931524,6.344678596100275,0.0360655090931524,5.936224355384397,0.005684371327386053,1.137828924157321,0.09879253424425598,0.4728140403085967,5.773072021547424
0,1.0,complementary,per_column_all,9,2528,0.26731063664164456,0.3156115298814144,0.18459395351751992,0.28404113067647224,-2.1182914869626632,2.6263407042020166,-1.995484864631247,0.008498578527977196,0.004678226720227774,1.2084985785279772,0.30467822672022776,11881.469983463701,-5881.577632163753,consistent,False,False,0,False,,0,not_applicable,7fbd0202d03a6693,49d627a52f71500e,38be70041ec77440,490921810a379d69,121000,10.79,45.964169262318585,1.2434497875801753e-14,0.7721985050795909,0.016800010039834203,1.1266733073221895,0.665124750493618,0.10701629062849682,5.7463957476509626e-05,0.7721985050795913,5.7463957476509626e-05,0.665124750493618,7.44160434117737e-05,1.3138683968874862,0.6557259363614494,0.1038455550022328,0.012627013715909283,39.06235313604777,0.8498435577747094,1.0187969924288602,37.10254096954519,1.9494359299236592,0.01037623657892702,39.062353136047776,0.01037623657892702,37.10254096954519,0.00026563265512418794,1.1053814750745108,1.6142182569048509,36.80414346625456,0.6439914128883932,6.129617621191223,0.13335643218545631,1.0578778684238168,5.747271185109042,0.34974163749377485,0.032604798588402664,6.12961762119122,0.032604798588402664,5.747271185109042,0.005319222275086436,1.133245945704697,0.03756048797962424,0.48768931576281965,5.604367817448786
0,1.0,full_coverage,single_bernoulli,3,2528,0.3126617381070245,0.33151459174816583,0.2958504393556782,0.30958469022129614,-2.1508104177582865,2.8604315486782137,-1.9960872477900955,0.006166901968661653,0.002411541818664986,1.2061669019686616,0.302411541818665,11104.224499458918,-5538.966169825438,consistent,False,False,0,False,,0,not_applicable,7fbd0202d03a6693,49d627a52f71500e,38be70041ec77440,490921810a379d69,121000,7.54,0.46464644826376655,1.1102230246251565e-16,0.46464644826376655,1.0,0.8419192570594108,0.24029103198557344,0.15085595510130076,0.07349946117689234,0.46464644826376655,0.07349946117689234,0.24029103198557344,0.15818362854496368,2.5133603477982,0.12328372910854768,0.17323450722829375,0.16812821192692523,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,full_coverage,single_gaussian,3,2528,0.24372884275594078,0.2744631326723946,0.23029175831725862,0.2232642856084493,-2.083301646794226,2.579519519007463,-2.0007415028694524,0.007533825172801434,0.007013335673324184,1.2075338251728014,0.3070133356733242,10871.661295416783,-5416.111527852359,consistent,False,False,0,False,,0,not_applicable,7fbd0202d03a6693,49d627a52f71500e,38be70041ec77440,490921810a379d69,121000,6.34,40.13914195522095,1.4210854715202004e-14,,,,,,,,,,,,,,,40.13914195522095,1.0,1.0012374877949468,22.625197613057537,9.664518916533645,7.849425425629778,40.13914195522096,7.849425425629778,22.625197613057537,0.1955553866693653,2.415822657582796,11.417937758842243,15.293115491174927,13.42808870520376,,,,,,,,,,,,,,
0,1.0,full_coverage,single_poisson,3,2528,0.29185933009623205,0.3106989928649355,0.28057398850828175,0.28335486319795794,-2.0833211230680693,2.46269922393651,-1.9940780857750227,0.00978158627715886,0.007177338689848212,1.2097815862771588,0.3071773386898482,11455.503086420791,-5714.605463306374,consistent,False,False,0,False,,0,not_applicable,7fbd0202d03a6693,49d627a52f71500e,38be70041ec77440,490921810a379d69,121000,7.43,5.821659647581393,2.220446049250313e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.821659647581393,1.0,1.0471506945845157,2.748061377346996,2.2228597290663017,0.8507385411680949,5.821659647581393,0.8507385411680949,2.748061377346996,0.1461333352803498,2.5643098457534523,2.4903619201505407,0.959176012439082,2.3721217149917666
0,1.0,full_coverage,per_column_all,9,2528,0.235966235726006,0.25356219308939776,0.21555121014142326,0.23724266743224348,-2.0685970459199314,2.4082656523900594,-2.00106149249287,0.010220344476069343,0.005655881007237573,1.2102203444760693,0.30565588100723756,11886.322914763026,-5884.004097813416,consistent,False,False,0,False,,0,not_applicable,7fbd0202d03a6693,49d627a52f71500e,38be70041ec77440,490921810a379d69,121000,10.73,52.225778062402,8.881784197001252e-15,0.5427416150056807,0.01039221693082649,0.9171326604343202,0.29296304349435937,0.15342260983746175,0.09635596167385972,0.5427416150056809,0.09635596167385972,0.29296304349435937,0.1775356062808104,2.4826606199838572,0.1604873180031497,0.20987959834298942,0.17237469865954183,45.84647141637684,0.8778513813924833,1.0102106453573114,26.019169537476742,10.895898043526836,8.931403835373276,45.84647141637685,8.931403835373276,26.019169537476742,0.19481115033387025,2.400831920691017,13.291726428793638,16.30316302552096,16.25158196206226,5.836565031019473,0.11175640167669021,1.0439675105556232,2.8307816036912548,1.9910301702029236,1.0147532571252946,5.836565031019473,1.0147532571252946,2.8307816036912548,0.17386138109182475,2.618961877948147,2.6396304456240713,1.142113781968118,2.054820803427286
0,1.0,shared,y_only,0,2528,0.28947576003452175,0.28941575108711115,0.27315500865742826,0.3049811653376905,-2.0965717327155917,2.6516107305302006,-1.9942035513252379,0.008678301199026128,0.004927086447913287,1.208678301199026,0.3049270864479133,15561.023974374248,-7708.208547715005,consistent,False,False,0,False,,0,not_applicable,7fbd0202d03a6693,49d627a52f71500e,38be70041ec77440,490921810a379d69,121000,6.29,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,0.0
0,0.1,complementary,single_bernoulli,3,253,0.9669593987157711,0.7950031371671581,0.9130931979229794,1.157264991302969,-3.081263924231013,4.59190187890096,-1.9639145081371499,0.018799038114762467,0.023793545907265345,1.1812009618852375,0.32379354590726533,1971.405978940335,-972.5569095661458,consistent,False,False,0,False,,0,not_applicable,7fbd0202d03a6693,49d627a52f71500e,38be70041ec77440,fab23b845a7c0e4f,121000,7.32,1.0105873733230144,5.551115123125783e-16,1.0105873733230144,1.0,1.2854900595499907,0.900063187589009,0.10949317458723026,0.0010310111467749727,1.0105873733230144,0.0010310111467749727,0.900063187589009,0.0010202098047047638,1.242284900483462,0.8310182960015806,0.15675752984322594,0.02281154747820702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
