trial,y_obs_rate,condition,block,t_block,t_block_share,fnorm_mean,eta_min,eta_max,eta_var,to_dim1,to_dim1_share,to_dim2,to_dim2_share,to_dim3,to_dim3_share,t_total
0,1.0,y_only,bern,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0
0,1.0,y_only,gauss,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0
0,1.0,y_only,pois,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0
0,1.0,single_bernoulli,bern,0.5748022104530262,1.0,0.9361829062635264,-3.0703717421635206,3.1168925382025234,0.8788617854632924,0.525390471991002,0.9140369720863101,0.02020543348829899,0.035151975968175604,0.029206304973724975,0.05081105194551399,0.5748022104530262
0,1.0,single_bernoulli,gauss,,,,,,,,,,,,,0.5748022104530262
0,1.0,single_bernoulli,pois,,,,,,,,,,,,,0.5748022104530262
0,1.0,single_gaussian,bern,,,,,,,,,,,,,40.8788854210474
0,1.0,single_gaussian,gauss,40.8788854210474,1.0,0.9788333691093319,-2.714661717840535,2.425604463665929,0.9152652727146692,0.23705871611611853,0.005799050381986775,39.180983418954355,0.95846506125094,1.4608432859769815,0.03573588836707456,40.8788854210474
0,1.0,single_gaussian,pois,,,,,,,,,,,,,40.8788854210474
0,1.0,single_poisson,bern,,,,,,,,,,,,,5.36579185034102
0,1.0,single_poisson,gauss,,,,,,,,,,,,,5.36579185034102
0,1.0,single_poisson,pois,5.36579185034102,1.0,1.0081345298383477,-2.584146823731626,2.5732672196949857,1.0899934688111987,0.15684188004004612,0.029229959792435506,0.10999902743789257,0.020500054885822985,5.098950942863072,0.9502699853217399,5.36579185034102
0,1.0,per_column_all,bern,0.5708137702239289,0.012763687804486537,0.9426026269774179,-2.880433957360398,3.3705673084338375,0.897805934509474,0.5241505179992915,0.011720273622127844,0.023328122146769152,0.0005216287407178036,0.02333513007786846,0.0005217854416408943,44.721696344161856
0,1.0,per_column_all,gauss,38.60189650225175,0.8631581459966464,0.9687302956260521,-2.973719922329725,2.3820302920433316,0.9496320965816835,0.1535096041791089,0.0034325532510608497,37.01137241527173,0.827593214050865,1.4370144828009537,0.03213237869472156,44.721696344161856
0,1.0,per_column_all,pois,5.5489860716861745,0.12407816619886694,1.0284235219104247,-2.446990888894699,2.6295747051549605,1.09937740079011,0.1995182005641481,0.004461328994068758,0.15320519811697225,0.0034257465758445508,5.196262673005053,0.11619109062895361,44.721696344161856
0,1.0,all_gaussian,bern,0.4079185641274712,0.010368797894944399,0.23886429943388265,-0.6880461945902802,0.7291779314233602,0.05364793277956278,0.37657219156238664,0.009572010912321504,0.015604713714362558,0.00039665300121553344,0.015741658850721985,0.00040013398140736103,39.34096973057633
0,1.0,all_gaussian,gauss,37.20135514368248,0.945613577866869,0.9613800345618033,-2.935068953949901,2.34615640070671,0.9479181978754657,0.16506684884660697,0.004195800204648102,35.68038768215645,0.9069524194881544,1.3559006126794686,0.03446535817406769,39.34096973057633
0,1.0,all_gaussian,pois,1.7316960227663845,0.044017624238186656,1.9685427534045352,-4.385806747050706,5.838305437535047,4.124266460188449,0.021042356156521558,0.0005348713135601015,0.06688498890761309,0.001700135745653193,1.643768677702252,0.04178261717897342,39.34096973057633
0,0.1,y_only,bern,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0
0,0.1,y_only,gauss,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0
0,0.1,y_only,pois,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0
0,0.1,single_bernoulli,bern,0.8079472680574281,1.0,1.0787139741103053,-3.7337644001395027,5.049933747854295,1.2144324295764384,0.4558302156005942,0.5641831263277374,0.3097012737851437,0.3833186719348254,0.0424157786716899,0.05249820173743694,0.8079472680574281
0,0.1,single_bernoulli,gauss,,,,,,,,,,,,,0.8079472680574281
0,0.1,single_bernoulli,pois,,,,,,,,,,,,,0.8079472680574281
0,0.1,single_gaussian,bern,,,,,,,,,,,,,32.79346478639873
0,0.1,single_gaussian,gauss,32.79346478639873,1.0,0.972404506357568,-3.068946940269771,2.7591181361575035,0.9134891141118011,0.08787745614746797,0.002679724656112447,31.41457216463636,0.9579522130173244,1.2910151656148963,0.039368062326563064,32.79346478639873
0,0.1,single_gaussian,pois,,,,,,,,,,,,,32.79346478639873
0,0.1,single_poisson,bern,,,,,,,,,,,,,4.955059898871486
0,0.1,single_poisson,gauss,,,,,,,,,,,,,4.955059898871486
0,0.1,single_poisson,pois,4.955059898871486,1.0,0.9770566350336054,-2.627710112383733,2.527399833692127,1.0444306400707601,0.11970950175707448,0.024159042312351924,0.40198489729450393,0.08112614287186637,4.433365499819912,0.8947148148157825,4.955059898871486
0,0.1,per_column_all,bern,0.06731076463140856,0.001035893567529071,0.3013408147312111,-0.8333105500055679,0.7499069699249471,0.06933029199303259,0.024690536729053733,0.00037998035405665853,0.03465634927809526,0.0005333513812806674,0.007963878624259544,0.00012256183219174483,64.97845603189303
0,0.1,per_column_all,gauss,61.082157193780205,0.9400370664978492,1.2686109295213048,-2.599303917023812,2.27220849524799,0.9272249914867269,4.3724422378587064,0.06729064531346518,56.08170384667026,0.8630815084178666,0.6280111092512027,0.009664912766516941,64.97845603189303
0,0.1,per_column_all,pois,3.82898807348142,0.058927039934621686,0.8451504625562557,-2.17296968959127,2.8280435661793915,0.9553651490215457,0.14172361997710453,0.002181086295856939,0.19948715012097612,0.003070050633752561,3.48777730338334,0.053675903005012196,64.97845603189303
0,0.1,all_gaussian,bern,2.9342332845619326,0.04799501843786475,0.4805999520709036,-0.29676479323118243,1.2039643422613109,0.09275454457161891,2.6346204644298146,0.04309427557528472,0.15225918729938898,0.002490491311722503,0.14735363283272812,0.002410251550857515,61.13620496595175
0,0.1,all_gaussian,gauss,46.56707366403885,0.7616938880974571,1.185688425300043,-2.578143675038204,2.437255122976659,0.9138093883263119,0.3687388825579955,0.006031432320068856,45.91883141760313,0.7510906416774881,0.27950336387764113,0.004571814099898798,61.13620496595175
0,0.1,all_gaussian,pois,11.63489801735096,0.1903110934646781,2.6023784005228268,-1.893607889887521,15.022235145519776,5.8029016954701484,1.6551835166430577,0.027073703995281848,0.11848317846970709,0.0019380198449624618,9.861231322238183,0.1612993696244336,61.13620496595175
1,1.0,y_only,bern,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0
1,1.0,y_only,gauss,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0
1,1.0,y_only,pois,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0
1,1.0,single_bernoulli,bern,1.0349920114824511,1.0,1.3661948902549632,-4.456338888774168,4.556890767214811,1.9847073973103753,0.80610059205531,0.7788471631783005,0.09405683657885269,0.0908768720293137,0.13483458284828864,0.13027596479238607,1.0349920114824511
1,1.0,single_bernoulli,gauss,,,,,,,,,,,,,1.0349920114824511
1,1.0,single_bernoulli,pois,,,,,,,,,,,,,1.0349920114824511
1,1.0,single_gaussian,bern,,,,,,,,,,,,,29.109335186622953
1,1.0,single_gaussian,gauss,29.109335186622953,1.0,0.996575442243211,-2.8229686999398726,2.2569760180904965,0.9331442640256505,0.7669560764299558,0.026347426745163407,27.33124882888705,0.9389169712624349,1.011130281305944,0.03473560199240152,29.109335186622953
1,1.0,single_gaussian,pois,,,,,,,,,,,,,29.109335186622953
1,1.0,single_poisson,bern,,,,,,,,,,,,,4.084873514695595
1,1.0,single_poisson,gauss,,,,,,,,,,,,,4.084873514695595
1,1.0,single_poisson,pois,4.084873514695595,1.0,0.9340426889145953,-2.5264634895401112,2.83116987841379,0.8857233118567739,0.14450047507621522,0.035374528625272114,0.26987510859292063,0.06606694371858213,3.6704979310264583,0.8985585276561456,4.084873514695595
1,1.0,per_column_all,bern,1.0865334571228864,0.030215549066342728,1.393196820023448,-3.8711231366188366,4.771608701635953,2.0152794583998945,0.8888103262235274,0.024717041013898287,0.06633385717558866,0.0018446867909214166,0.13138927372377018,0.0036538212615230205,35.95941462911168
1,1.0,per_column_all,gauss,30.779807441421234,0.8559596355749021,1.010953379634605,-2.5879403192060098,2.522964401527301,0.9281281564874136,0.6276144933489274,0.01745341240457316,29.49273158032595,0.8201671769275551,0.6594613677463685,0.018339046242774156,35.95941462911168
1,1.0,per_column_all,pois,4.093073730567549,0.11382481535875497,0.9212819422258108,-2.7160284350207986,2.6854562543696106,0.8405634350919854,0.10459023858028679,0.0029085634362805684,0.28207657610505255,0.007844303891328968,3.7064069158822104,0.10307194803114546,35.95941462911168
1,1.0,all_gaussian,bern,0.5545338875131832,0.017191984459602388,0.27894655893466996,-0.8734213572476823,0.9111487733228246,0.0819223173797057,0.43016948478901584,0.013336366386287097,0.017562181058951035,0.0005444730261593467,0.10680222166521665,0.003311145047155955,32.255373939885956
1,1.0,all_gaussian,gauss,30.304460992154944,0.9395166538336555,1.0018270094254544,-2.5816710290894447,2.454869521017246,0.9168968629009461,0.7070119129496923,0.021919197534877255,28.810515031163533,0.8932004659086398,0.7869340480417251,0.024396990390138613,32.255373939885956
