trial,y_obs_rate,condition,n_cols_used,n_train_pairs,rmse_Z,rmse_z_dim1,rmse_z_dim2,rmse_z_dim3,test_y_ll,test_y_rmse,train_y_ll,w0_err,w_err,w0_est,w_est,bic_diagnostic_only,q_strict_diagnostic_only,numerics_mode,internal_retry_detected,nan_occurred,nan_count,q_bic_failed,failure_reason,n_warnings,clip_diag_status,hash_dataset,hash_test_mask,hash_train_mask,runtime_s,prec_t_total,prec_identity_max_abs_err,prec_t_bern,prec_t_bern_share,prec_fnorm_bern_mean,prec_t_bern_to_dim1,prec_t_bern_to_dim1_share,prec_t_bern_to_dim2,prec_t_bern_to_dim2_share,prec_t_bern_to_dim3,prec_t_bern_to_dim3_share,prec_eta_bern_min,prec_eta_bern_max,prec_eta_bern_var,prec_t_gauss,prec_t_gauss_share,prec_fnorm_gauss_mean,prec_t_gauss_to_dim1,prec_t_gauss_to_dim1_share,prec_t_gauss_to_dim2,prec_t_gauss_to_dim2_share,prec_t_gauss_to_dim3,prec_t_gauss_to_dim3_share,prec_eta_gauss_min,prec_eta_gauss_max,prec_eta_gauss_var,prec_t_pois,prec_t_pois_share,prec_fnorm_pois_mean,prec_t_pois_to_dim1,prec_t_pois_to_dim1_share,prec_t_pois_to_dim2,prec_t_pois_to_dim2_share,prec_t_pois_to_dim3,prec_t_pois_to_dim3_share,prec_eta_pois_min,prec_eta_pois_max,prec_eta_pois_var
0,1.0,y_only,0,2528,0.3125291518475615,0.316299650665951,0.34002786474375113,0.2781348493987605,-2.1481833219394915,2.2982047727193424,-1.980297038964647,0.005992750865669638,0.008029705418017508,1.2059927508656696,0.2919702945819825,15095.395236663895,-7475.394178859829,consistent,False,False,0,False,,0,not_applicable,3532c2f4d8d791d5,a47e1df573f77fc6,866ac8130cc2bb43,6.49,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,
0,1.0,single_bernoulli,3,2528,0.29147568124060264,0.3064064320691122,0.29494318435221833,0.2720254301620897,-2.0936429244288277,2.179949162851347,-1.9782786682335924,0.004576006370444308,0.009457962664173702,1.2045760063704443,0.2905420373358263,11011.057652891363,-5492.38274654166,consistent,False,False,0,False,,0,not_applicable,3532c2f4d8d791d5,a47e1df573f77fc6,866ac8130cc2bb43,7.83,0.5748022104530262,2.220446049250313e-16,0.5748022104530262,1.0,0.9361829062635264,0.525390471991002,0.9140369720863101,0.02020543348829899,0.035151975968175604,0.029206304973724975,0.05081105194551399,-3.0703717421635206,3.1168925382025234,0.8788617854632924,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,single_gaussian,3,2528,0.2684275570541485,0.333008607409085,0.18032942777593486,0.2697158227239185,-2.1143164315381084,2.2479864673805663,-1.9770018218821315,0.00533872670499691,0.010916809138485362,1.2053387267049969,0.2890831908615146,10773.464173915188,-5367.012967101562,consistent,False,False,0,False,,0,not_applicable,3532c2f4d8d791d5,a47e1df573f77fc6,866ac8130cc2bb43,6.48,40.8788854210474,2.3092638912203256e-14,,,,,,,,,,,,,40.8788854210474,1.0,0.9788333691093319,0.23705871611611853,0.005799050381986775,39.180983418954355,0.95846506125094,1.4608432859769815,0.03573588836707456,-2.714661717840535,2.425604463665929,0.9152652727146692,,,,,,,,,,,,
0,1.0,single_poisson,3,2528,0.2975498779619407,0.31172796833866884,0.30896591615080954,0.2701361250148418,-2.150765729485273,2.280285287768384,-1.9791196936257738,0.004787184895457708,0.009190727641131935,1.2047871848954577,0.29080927235886805,11369.803850413038,-5671.755845302498,consistent,False,False,0,False,,0,not_applicable,3532c2f4d8d791d5,a47e1df573f77fc6,866ac8130cc2bb43,7.67,5.36579185034102,3.552713678800501e-15,,,,,,,,,,,,,,,,,,,,,,,,,5.36579185034102,1.0,1.0081345298383477,0.15684188004004612,0.029229959792435506,0.10999902743789257,0.020500054885822985,5.098950942863072,0.9502699853217399,-2.584146823731626,2.5732672196949857,1.0899934688111987
0,1.0,per_column_all,9,2528,0.25707291510917746,0.3048550640419462,0.17890471019937385,0.27076917410342344,-2.0952704987535866,2.189881657885548,-1.9772054259887482,0.004745599268355383,0.008968743719059147,1.2047455992683553,0.29103125628094084,11808.860812485973,-5845.273046674889,consistent,False,False,0,False,,0,not_applicable,3532c2f4d8d791d5,a47e1df573f77fc6,866ac8130cc2bb43,11.46,44.721696344161856,1.4210854715202004e-14,0.5708137702239289,0.012763687804486537,0.9426026269774179,0.5241505179992915,0.011720273622127844,0.023328122146769152,0.0005216287407178036,0.02333513007786846,0.0005217854416408943,-2.880433957360398,3.3705673084338375,0.897805934509474,38.60189650225175,0.8631581459966464,0.9687302956260521,0.1535096041791089,0.0034325532510608497,37.01137241527173,0.827593214050865,1.4370144828009537,0.03213237869472156,-2.973719922329725,2.3820302920433316,0.9496320965816835,5.5489860716861745,0.12407816619886694,1.0284235219104247,0.1995182005641481,0.004461328994068758,0.15320519811697225,0.0034257465758445508,5.196262673005053,0.11619109062895361,-2.446990888894699,2.6295747051549605,1.09937740079011
0,1.0,all_gaussian,9,2528,0.26099409200257007,0.3272725643604903,0.1763690622199562,0.2571777025507849,-2.1088484300920145,2.2308509089136366,-1.9763198205495223,0.004984269313952794,0.010608163630809742,1.2049842693139527,0.28939183636919025,12518.54387242341,-6186.968496739586,consistent,False,False,0,False,,0,not_applicable,3532c2f4d8d791d5,a47e1df573f77fc6,866ac8130cc2bb43,7.37,39.34096973057633,1.4210854715202004e-14,0.4079185641274712,0.010368797894944399,0.23886429943388265,0.37657219156238664,0.009572010912321504,0.015604713714362558,0.00039665300121553344,0.015741658850721985,0.00040013398140736103,-0.6880461945902802,0.7291779314233602,0.05364793277956278,37.20135514368248,0.945613577866869,0.9613800345618033,0.16506684884660697,0.004195800204648102,35.68038768215645,0.9069524194881544,1.3559006126794686,0.03446535817406769,-2.935068953949901,2.34615640070671,0.9479181978754657,1.7316960227663845,0.044017624238186656,1.9685427534045352,0.021042356156521558,0.0005348713135601015,0.06688498890761309,0.001700135745653193,1.643768677702252,0.04178261717897342,-4.385806747050706,5.838305437535047,4.124266460188449
0,0.1,y_only,0,253,1.202538618499171,1.355231756809313,1.0623666923660904,1.1717599085274941,-2.864747384273383,3.4673648779628845,-1.9302196939943297,0.06211446477711169,0.010105632577195434,1.1378855352228883,0.28989436742280456,6074.96455676268,-2965.178838909221,consistent,False,False,0,False,,0,not_applicable,3532c2f4d8d791d5,a47e1df573f77fc6,22389a31603bcf59,6.48,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,
0,0.1,single_bernoulli,3,253,1.1254116685371205,1.0481226069598797,1.1176609911877193,1.2049594103518293,-2.8316407175505214,3.2438807099755897,-1.9782281942223714,0.06954855137525895,0.03787392602867429,1.130451448624741,0.2621260739713257,1993.2572873285042,-983.4825637602304,consistent,False,False,0,False,,0,not_applicable,3532c2f4d8d791d5,a47e1df573f77fc6,22389a31603bcf59,7.62,0.8079472680574281,2.220446049250313e-16,0.8079472680574281,1.0,1.0787139741103053,0.4558302156005942,0.5641831263277374,0.3097012737851437,0.3833186719348254,0.0424157786716899,0.05249820173743694,-3.7337644001395027,5.049933747854295,1.2144324295764384,,,,,,,,,,,,,,,,,,,,,,,,
0,0.1,single_gaussian,3,253,0.9490557429638989,1.4224945062323004,0.2464030088010116,0.7860759166588219,-2.557350184713293,2.9078617241612097,-1.97029096132588,0.052451394897832904,0.02432642642569932,1.147548605102167,0.27567357357430067,1819.9659795076927,-890.263869897814,consistent,False,False,0,False,,0,not_applicable,3532c2f4d8d791d5,a47e1df573f77fc6,22389a31603bcf59,6.57,32.79346478639873,8.881784197001252e-16,,,,,,,,,,,,,32.79346478639873,1.0,0.972404506357568,0.08787745614746797,0.002679724656112447,31.41457216463636,0.9579522130173244,1.2910151656148963,0.039368062326563064,-3.068946940269771,2.7591181361575035,0.9134891141118011,,,,,,,,,,,,
0,0.1,single_poisson,3,253,1.095968253772533,1.2616676701885032,1.258597848542433,0.6538848411433913,-2.702526502630958,3.152563686030696,-2.0212893234473226,0.045618043867727165,0.012426029229335611,1.1543819561322728,0.2875739707706644,2365.332805127108,-1169.5203226595322,consistent,False,False,0,False,,0,not_applicable,3532c2f4d8d791d5,a47e1df573f77fc6,22389a31603bcf59,7.55,4.955059898871486,1.7763568394002505e-15,,,,,,,,,,,,,,,,,,,,,,,,,4.955059898871486,1.0,0.9770566350336054,0.11970950175707448,0.024159042312351924,0.40198489729450393,0.08112614287186637,4.433365499819912,0.8947148148157825,-2.627710112383733,2.527399833692127,1.0444306400707601
