condition,y_obs_rate,trial,n_cols_used,n_train_pairs,rmse_Z,w0_err,w_err,train_y_ll,test_y_ll,train_y_rmse,test_y_rmse,nan_occurred,runtime_s,x_rmse_gauss,x_rmse_bern,x_rmse_pois
single_gaussian,1.0,0,3,2528,0.23209834866403029,0.016244409594890152,0.005874047295758633,-1.9910231803826846,-1.9969499577222618,1.9349349609087159,1.9097255127881334,False,5.25,0.32656643795183427,,
per_column_all,1.0,0,9,2528,0.23970202709841318,0.016477363623213392,0.007861133464523273,-1.9848110695759928,-1.9917549433604613,1.9204985689831844,1.9051312768435797,False,8.09,0.3385711270517794,0.4352773820628594,1.1940981386238563
all_gaussian,1.0,0,9,2528,0.24083550331739811,0.016106030371180857,0.008017048272236593,-1.986397975782698,-1.9920998381846857,1.924653311399195,1.9043594107588084,False,5.36,0.33607453927866937,0.6486661938284037,2.2175457500453803
y_only,1.0,0,0,2528,0.31148866289406796,0.016216637689316915,0.005258752151944879,-1.993467924232927,-2.0399288874591406,1.9427055858794777,2.029612228976682,False,5.31,,,
single_gaussian,0.5,0,3,1264,0.27429630837889096,0.03942644578380583,0.010213297268370947,-1.9480439891586412,-2.021151210173705,1.8549366004957955,1.9593701642302652,False,5.25,0.3258319725531927,,
per_column_all,0.5,0,9,1264,0.2630380495769892,0.03642157131383117,0.014563839849567661,-1.9362997199924123,-1.9991068808205672,1.824374430420355,1.9146325419046093,False,8.39,0.33008580142807264,0.4353955012564593,1.2221360876823548
all_gaussian,0.5,0,9,1264,0.2627897445050147,0.03504867732547301,0.014303067382353207,-1.9406898885979555,-2.0008748235606433,1.83745675867127,1.9101709031798024,False,5.19,0.3245740219930409,0.6493357381730163,2.227855090768205
y_only,0.5,0,0,1264,0.46226271790045026,0.0441413846043095,0.0069183912943575065,-1.9569128364638597,-2.138151366757282,1.865412392304509,2.220417341844481,False,5.33,,,
single_gaussian,0.2,0,3,506,0.344246605395728,0.05304679999229922,0.031988863954602265,-1.939489738024597,-2.0515038958885445,1.8411433116027132,2.006269366051624,False,5.35,0.3600760253510972,,
per_column_all,0.2,0,9,506,0.3117437118443449,0.055053138817967806,0.02385158642920232,-1.9347747924457548,-2.0286371762538318,1.8249448298537994,1.972020045721414,False,8.25,0.3384326242049531,0.4413929889902768,1.2353804199611318
