k,trial,seed,n,d,family_x,family_y,q_strict,bic,num_params,auc_y,ap_y,rmse_x,silhouette,nmi,ari,w0,w,nan_occurred,runtime_s,success,error_message,note
2,0,3020,300,50,bernoulli,bernoulli,-8160.25807045379,16885.190605898544,99,0.838669710384865,0.3208832918550426,0.30718448546726224,-0.32965274655214816,0.13813583705363922,0.03152938713785155,-6.021568813287935,1.0680800390930398,False,44.046621700006654,True,,"cora_subset_pilot k=2 (n=300, d=50, BFS subset, top-freq features)"
3,0,3030,300,50,bernoulli,bernoulli,-8238.867369628173,17316.19076303081,147,0.8726893146528776,0.3749657525769224,0.30048103104329105,-0.2668316007271266,0.1322896385960696,0.025220529214833663,-6.082719785240332,0.9079154558439186,False,46.24296210000466,True,,"cora_subset_pilot k=3 (n=300, d=50, BFS subset, top-freq features)"
5,0,3050,300,50,bernoulli,bernoulli,-8562.96131594411,18494.83042580571,240,0.9064350572155813,0.4445170879160123,0.29343104785680213,-0.23471355091241713,0.16665092630629558,0.024437302322792363,-6.073656759230305,0.7219439536186133,False,47.40489039999375,True,,"cora_subset_pilot k=5 (n=300, d=50, BFS subset, top-freq features)"
