n,k_est,bic_impl_mean,bic_impl_std,scf_mean,scf_std,s_laplace_post_mean,s_laplace_post_std,sum_log_det_A_post_mean,sum_log_det_A_post_std,mean_log_det_A_per_node_mean,mean_log_det_A_per_node_std,min_eig_A_mean,min_eig_A_std,max_eig_A_mean,max_eig_A_std,rmse_Z_mean,rmse_Z_std,rmse_X_mean,rmse_X_std,rank_F_mean,rank_F_std,num_params_mean,num_params_std,q_strict_mean,q_strict_std,lnpZ_abs_err_mean,lnpZ_abs_err_std,runtime_s_mean,runtime_s_std
75,2,6291.605729297076,,5865.924169335674,,6380.21748640191,,514.2933170662357,,6.85724422754981,,14.67357130741722,,50.69449261071825,,0.5725630790870749,,1.3829361443124315,,2.0,,29.0,,-3083.199287002262,,2.8421709430404014e-14,,8.32,
75,3,5973.86592357231,,5335.343583630207,,6065.895453590899,,730.5518699606916,,9.74069159947589,,11.117931788269283,,51.80162049785638,,0.2948227555848529,,1.1190409490833415,,3.0,,42.0,,-2896.2657114018925,,0.0,,8.07,
75,4,6137.9898795298095,,5286.626759607006,,6136.110206115326,,849.4834465083202,,11.326445953444273,,3.484064005427255,,44.91792292924753,,0.6093540969652856,,1.1129557133203145,,4.0,,54.0,,-2952.4227606994245,,0.0,,9.09,
