replicate,start_label,iteration,column,previous_family,selected_family,margin_neg2,changed,all_candidates_converged,score_bernoulli,score_poisson,family_x_true
rep1,start_B,1,2,bernoulli,bernoulli,25.048701865672705,False,False,-27.196825512282476,-39.72117644511883,bernoulli
rep1,start_B,1,3,bernoulli,bernoulli,24.319715725935083,False,False,-27.646746027116983,-39.806603890084524,bernoulli
rep1,start_B,2,2,bernoulli,bernoulli,24.82433026296838,False,False,-27.014803250965752,-39.42696838244994,bernoulli
rep1,start_B,2,3,bernoulli,bernoulli,25.707183622055865,False,False,-26.58848074214854,-39.44207255317647,bernoulli
rep1,start_B,3,2,bernoulli,bernoulli,24.36781840194486,False,False,-27.043222165981284,-39.227131366953714,bernoulli
rep1,start_B,3,3,bernoulli,bernoulli,24.275826540278153,False,False,-27.320764917585013,-39.45867818772409,bernoulli
rep1,start_B,4,2,bernoulli,bernoulli,25.053999430826643,False,False,-26.75346235867441,-39.28046207408773,bernoulli
rep1,start_B,4,3,bernoulli,bernoulli,24.270364074420428,False,False,-27.438305736706774,-39.57348777391699,bernoulli
rep1,start_B,5,2,bernoulli,bernoulli,25.235547218978283,False,False,-26.825966023060253,-39.443739632549395,bernoulli
rep1,start_B,5,3,bernoulli,bernoulli,24.426166631225946,False,False,-27.329255921751734,-39.54233923736471,bernoulli
rep1,start_B,6,2,bernoulli,bernoulli,24.656436798481778,False,False,-26.85534681546617,-39.18356521470706,bernoulli
rep1,start_B,6,3,bernoulli,bernoulli,24.077759959889406,False,False,-27.2043247463468,-39.2432047262915,bernoulli
rep1,start_B,7,2,bernoulli,bernoulli,24.632227527672832,False,False,-27.165328464819066,-39.48144222865548,bernoulli
rep1,start_B,7,3,bernoulli,bernoulli,24.774324470586137,False,False,-26.49389110314698,-38.88105333844005,bernoulli
rep1,start_B,8,2,bernoulli,bernoulli,24.255595445427062,False,False,-27.095320060240574,-39.223117782954105,bernoulli
rep1,start_B,8,3,bernoulli,bernoulli,23.922770545509216,False,False,-27.378239444294213,-39.33962471704882,bernoulli
rep1,start_P,1,2,poisson,bernoulli,25.05979356605389,True,False,-27.269528568851864,-39.79942535187881,bernoulli
rep1,start_P,1,3,poisson,bernoulli,24.316717030626464,True,False,-27.423962594459134,-39.582321109772366,bernoulli
rep1,start_P,2,2,bernoulli,bernoulli,25.166221987967944,False,False,-26.701584253272905,-39.28469524725688,bernoulli
rep1,start_P,2,3,bernoulli,bernoulli,26.15297715837984,False,False,-26.30517398883311,-39.38166256802303,bernoulli
rep1,start_P,3,2,bernoulli,bernoulli,24.86715346569963,False,False,-26.749453665795016,-39.18303039864483,bernoulli
rep1,start_P,3,3,bernoulli,bernoulli,24.71079678815063,False,False,-27.441967659083105,-39.79736605315842,bernoulli
rep1,start_P,4,2,bernoulli,bernoulli,24.267959262192612,False,False,-26.954836844619177,-39.08881647571548,bernoulli
rep1,start_P,4,3,bernoulli,bernoulli,24.316646970051906,False,False,-27.150810598172107,-39.30913408319806,bernoulli
rep1,start_P,5,2,bernoulli,bernoulli,24.65617152206383,False,False,-26.788506171832886,-39.1165919328648,bernoulli
rep1,start_P,5,3,bernoulli,bernoulli,24.322100688448778,False,False,-26.859745796454728,-39.02079614067912,bernoulli
rep1,start_P,6,2,bernoulli,bernoulli,24.353726123519962,False,False,-26.892607289122175,-39.069470350882156,bernoulli
rep1,start_P,6,3,bernoulli,bernoulli,23.68259672832359,False,False,-27.388276759157712,-39.229575123319506,bernoulli
rep1,start_P,7,2,bernoulli,bernoulli,24.435626595369598,False,False,-27.172047502409363,-39.38986080009416,bernoulli
rep1,start_P,7,3,bernoulli,bernoulli,24.55738726740684,False,False,-26.9720971172749,-39.25079075097832,bernoulli
rep1,start_P,8,2,bernoulli,bernoulli,24.75234565231783,False,False,-27.07151525609256,-39.447688082251474,bernoulli
rep1,start_P,8,3,bernoulli,bernoulli,24.323861150834283,False,False,-27.269316767736303,-39.431247343153444,bernoulli
