scenario,condition_name,true_x,true_y,est_x,est_y,n_trials,old_rmse_z_mean,old_rmse_z_std,old_rmse_z_median,old_rmse_z_min,old_rmse_z_max,fixed_rmse_z_mean,fixed_rmse_z_std,fixed_rmse_z_median,fixed_rmse_z_min,fixed_rmse_z_max,diff_fixed_old_rmse_z_mean,ratio_fixed_old_rmse_z_mean,old_success_rate,fixed_success_rate,note
C,oracle_C,bernoulli,gaussian,bernoulli,gaussian,20,0.028674706722373166,0.0012284179530173541,0.02851668851813906,0.02728075318699221,0.031945475029012835,0.02324650354678249,0.000999280014107708,0.023211140584123185,0.021933442983564987,0.026016933637741935,-0.005428203175590678,0.81069716847861,1.0,1.0,Scenario C oracle (correct family)
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,20,0.5905286408298889,0.25041056162894454,0.4605193128767098,0.4495844582761993,1.1977658072485065,0.7242467107977351,0.28108680506259925,0.7764855766386989,0.4435723543470422,1.1999048959592014,0.13371806996784613,1.226437907871713,1.0,1.0,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,20,1.036052603900941,0.5788213632361443,1.392359657594149,0.282954614659566,1.6453341787890758,0.3904532409210356,0.1456646344823671,0.3192011938725534,0.2736233420262396,0.6606495484754471,-0.6455993629799054,0.3768662319373579,1.0,1.0,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
