run_code_sha,approved_scientific_main_sha,protocol_hash,estimand,role,K_TRUE,replicate,K,start,data_seed,split_seed,model_seed,pre_fit_test_hash,pre_fit_train_hash,post_fit_test_hash,post_fit_train_hash,anchor_test_hash,anchor_train_hash,boundary_version,fit_status,internal_retry,warning_count,q_failure,nan_occurred,finite_state,heldout_mean_log_score,score_config_hash,canary_provenance,real_canary_fits_executed,real_smoke_fits_executed
a56b8aebd136915dbecd9a154256cdf494a3e2f1,68c78e1191889609dead05ea5a9fb11525ce92e2,1f6fae965cffcfc362836554a171152f2e60e67a801eb5ec09b034976315ec09,A,primary,1,1,2,1,61101,42001,641021,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,phase8b-leakage-boundary-v1,clean,0,0,False,False,True,-0.4840886085714855,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,02d8b2eabbae8bb6e683f983412ed7f6b97ec177dcc85ddcc9c049050508af80,2,6
a56b8aebd136915dbecd9a154256cdf494a3e2f1,68c78e1191889609dead05ea5a9fb11525ce92e2,1f6fae965cffcfc362836554a171152f2e60e67a801eb5ec09b034976315ec09,A,primary,1,1,2,2,61101,42001,641022,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,phase8b-leakage-boundary-v1,clean,0,0,False,False,True,-0.4996029171405149,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,02d8b2eabbae8bb6e683f983412ed7f6b97ec177dcc85ddcc9c049050508af80,2,6
a56b8aebd136915dbecd9a154256cdf494a3e2f1,68c78e1191889609dead05ea5a9fb11525ce92e2,1f6fae965cffcfc362836554a171152f2e60e67a801eb5ec09b034976315ec09,A,primary,1,1,3,1,61101,42001,641031,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,phase8b-leakage-boundary-v1,clean,0,0,False,False,True,-0.5063648717805492,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,02d8b2eabbae8bb6e683f983412ed7f6b97ec177dcc85ddcc9c049050508af80,2,6
a56b8aebd136915dbecd9a154256cdf494a3e2f1,68c78e1191889609dead05ea5a9fb11525ce92e2,1f6fae965cffcfc362836554a171152f2e60e67a801eb5ec09b034976315ec09,A,primary,1,1,3,2,61101,42001,641032,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,phase8b-leakage-boundary-v1,clean,0,0,False,False,True,-0.5013116088333784,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,02d8b2eabbae8bb6e683f983412ed7f6b97ec177dcc85ddcc9c049050508af80,2,6
a56b8aebd136915dbecd9a154256cdf494a3e2f1,68c78e1191889609dead05ea5a9fb11525ce92e2,1f6fae965cffcfc362836554a171152f2e60e67a801eb5ec09b034976315ec09,A,primary,1,1,4,1,61101,42001,641041,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,phase8b-leakage-boundary-v1,clean,0,0,False,False,True,-0.5289145391337368,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,02d8b2eabbae8bb6e683f983412ed7f6b97ec177dcc85ddcc9c049050508af80,2,6
a56b8aebd136915dbecd9a154256cdf494a3e2f1,68c78e1191889609dead05ea5a9fb11525ce92e2,1f6fae965cffcfc362836554a171152f2e60e67a801eb5ec09b034976315ec09,A,primary,1,1,4,2,61101,42001,641042,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,phase8b-leakage-boundary-v1,clean,0,0,False,False,True,-0.5372960629051814,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,02d8b2eabbae8bb6e683f983412ed7f6b97ec177dcc85ddcc9c049050508af80,2,6
