n,k,n_success,n_total,test_ap_sampled_mean,test_ap_sampled_std,test_auc_sampled_mean,test_auc_sampled_std,test_ap_all_candidates_mean,test_ap_all_candidates_std,test_auc_all_candidates_mean,test_auc_all_candidates_std,test_ap_over_sampled_random_mean,test_ap_over_sampled_random_std,all_candidate_random_ap_baseline_mean,test_precision_at_K_mean,test_recall_at_K_mean,nmi_mean,nmi_std,ari_mean,ari_std,bic_per_train_pair_mean,q_per_train_pair_mean,runtime_seconds_mean,peak_memory_mb_mean
280,3,3,3,0.49396770035416776,0.07784002333079845,0.763809266270056,0.04120470074776492,0.02530349987852233,0.011547809799781738,0.7569578695706882,0.03272106113696409,2.9638062021250065,0.4670401399847906,0.0022214759899775,0.06976744186046507,0.06976744186046507,0.26031857249241547,0.03539348771851736,0.15102470583716424,0.021938109149160653,0.37831715937320204,-0.17855548097095997,40.04979063333303,
280,6,3,3,0.4458365915704323,0.05284245736006453,0.7528574003966108,0.022273094777875008,0.023428133491495234,0.011208092434628211,0.7546062189298844,0.022436070628016377,2.675019549422594,0.31705474416038715,0.0022214759899775,0.06976744186046503,0.06976744186046503,0.23207351623495012,0.00738237635361296,0.11854916740518713,0.009781462413051691,0.42416423123439534,-0.19152508749503636,41.61255366666592,
490,3,3,3,0.43257551444048464,0.008070542439386388,0.741166509136736,0.016308939899857603,0.01763419013309603,0.0041946708932676215,0.7426608201678001,0.01713541973999278,2.5954530866429084,0.048423254636318386,0.0015453613962004,0.05797101449275357,0.05797101449275357,0.2594346450308103,0.019283818820310446,0.16256139525203336,0.019869487358057283,0.22279207165205972,-0.1075957871198306,134.92404469999988,
490,6,3,3,0.5133412534646954,0.019311965667889383,0.7929918872085696,0.013374931529191616,0.0204244276807307,0.0075113467405117686,0.7887889196667794,0.010922656629736262,3.0800475207881726,0.11587179400733587,0.0015453613962004,0.0706521739130434,0.0706521739130434,0.21032141342187036,0.015800615089795664,0.12976843555701242,0.01998035520112647,0.2450461034429995,-0.11515522259723604,168.8891780000049,
700,3,3,3,0.42853426417993495,0.023330930874380026,0.7501627408332948,0.00296193638529823,0.011176266978561033,0.004423675256191654,0.747832759772769,0.009242431518459744,2.5712055850796096,0.13998558524628016,0.0012075211316198,0.043083900226757295,0.043083900226757295,0.23907598536742294,0.00997881884953266,0.16186886146269433,0.009316074163268125,0.16187493655480048,-0.0789693325544258,306.17036456666636,
700,6,3,3,0.46982931402568867,0.0388208470889207,0.7868958921437055,0.021724385235792766,0.011313981808643134,0.00366806024860558,0.7849495414033146,0.022160066759106572,2.8189758841541326,0.23292508253352429,0.0012075211316198,0.040816326530612235,0.040816326530612235,0.18599987340250204,0.04036621782082026,0.1175751440783845,0.03077675726875123,0.17571132103695386,-0.08403988717801635,415.90793696666515,
