r_true,r_true_tag,trial,data_seed,model_seed,y_var_mean_ratio_gen,y_mean_gen,y_zero_ratio_gen,fit_condition,family_y_fit,nb_r_fit,w0_est,w_est,bic_train,q_strict_train,nan_occurred,runtime_s,rmse_Z,rmse_F,w0_err,w_err,test_n_pairs,test_rmse,test_mae,test_pearson,test_spearman,test_mean_ll,test_pearson_dispersion,train_n_pairs,train_rmse,train_mae,train_pearson,train_spearman,train_mean_ll,train_pearson_dispersion,r_hat_train
2.0,2,0,51000,53000,5.388203010378742,5.069696969696969,0.11535353535353535,poisson,poisson,,1.493133151429091,0.3226561082192849,26477.90544995688,-13142.244151072691,False,8.42,0.4028147442635626,0.27850826693977304,0.006866848570908912,0.02265610821928493,990,5.001175515301558,3.4388885079670013,0.3085846447409208,0.32494827962966644,-3.359477476989902,3.9071927485040256,3960,4.2513177266894875,3.0506172048094755,0.6009190766675646,0.503678015537258,-2.986239972334553,3.0613866298955137,
2.0,2,0,51000,53000,5.388203010378742,5.069696969696969,0.11535353535353535,nb_oracle,nb,2.0,1.515130996657285,0.29674430295716486,23129.089523941777,-11465.533602972144,False,9.19,0.44246232437716865,0.2968996028166726,0.015130996657285012,0.003255697042835126,990,4.663692775365061,3.3639231492664807,0.3432250242520938,0.28549126311270684,-2.588189562376659,3.8752516461445112,3960,4.549855639137477,3.214771915444123,0.5175887795428228,0.4692326781305797,-2.569228484207875,3.4622703542557502,2.2844341053585064
2.0,2,0,51000,53000,5.388203010378742,5.069696969696969,0.11535353535353535,nb_moment,nb,2.2844341053585064,1.5146895842361494,0.299848228162111,23115.39611224826,-11458.686897125386,False,8.59,0.4711888848092039,0.29781171867600725,0.014689584236149411,0.00015177183788900317,990,4.87481607278392,3.5370612527099707,0.28604798092092326,0.26178728175612065,-2.6242008355430917,4.075824186814754,3960,4.540075522347021,3.1877638767618603,0.5206187445263154,0.47221142792190984,-2.5658726969445507,3.425964571689584,2.2844341053585064
2.0,2,1,51001,53010,6.087974066997273,4.988484848484848,0.11535353535353535,poisson,poisson,,1.4677551215779872,0.33117041765190053,26448.95486048426,-13127.76885633638,False,8.49,0.39018619142227573,0.24066084659982442,0.032244878422012846,0.03117041765190054,990,4.764875446404735,3.3673408010829156,0.48025445364808844,0.37600420156030173,-3.2168266054657755,3.5164467332089395,3960,4.271572400355807,3.0083664519408084,0.6564002848400621,0.4795843617969795,-2.982942163942735,3.16975164130032,
2.0,2,1,51001,53010,6.087974066997273,4.988484848484848,0.11535353535353535,nb_oracle,nb,2.0,1.4865166375730139,0.3037156177255406,22906.84015808381,-11354.40892004316,False,9.0,0.46338988372766776,0.26440783268925033,0.013483362426986112,0.003715617725540632,990,4.640071280204876,3.3310952597710224,0.40900835548373327,0.3568264133549159,-2.575960012366673,3.607057425565703,3960,4.873483732333813,3.190562190456201,0.5278946614429291,0.4632882360780743,-2.535052286887484,3.510969064631152,1.7850301614718151
2.0,2,1,51001,53010,6.087974066997273,4.988484848484848,0.11535353535353535,nb_moment,nb,1.7850301614718151,1.4914415513110577,0.29704733396026756,22958.258618856456,-11380.118150429484,False,9.79,0.4748895383409572,0.2613250282601022,0.008558448688942288,0.0029526660397324322,990,4.491345013397273,3.285685960996383,0.44732323979662403,0.36727771949138815,-2.5703956840343216,3.4924844929061316,3960,4.829429154899311,3.2296965126792068,0.5467076785573204,0.45812485393288893,-2.542864612882157,3.5547016018715674,1.7850301614718151
2.0,2,2,51002,53020,6.640682893265676,5.124848484848485,0.11252525252525253,poisson,poisson,,1.4809212106836072,0.32720683872002376,26361.90298627503,-13084.242919231765,False,8.41,0.36831568721808555,0.26198866857873243,0.01907878931639284,0.027206838720023774,990,5.184907407776697,3.4518550124289016,0.4635098151646955,0.3764588129864517,-3.3970886951403925,4.35358513555951,3960,4.253289659633584,3.030066084536542,0.6874903601591503,0.4653669309656805,-2.9743223890351294,3.0338923667492685,
2.0,2,2,51002,53020,6.640682893265676,5.124848484848485,0.11252525252525253,nb_oracle,nb,2.0,1.5049580485484633,0.294779540755206,22974.241545702578,-11388.109613852544,False,8.52,0.4144060239521426,0.3163246644496098,0.0049580485484632675,0.0052204592447939735,990,5.198684544902611,3.479145284495575,0.44887342160197924,0.3504064882269732,-2.6279245938403712,4.195949941314472,3960,4.8210332134552445,3.2150988642658938,0.5707826019111002,0.4363986497057308,-2.5563835711959353,3.5218249232088428,2.1265473084917996
2.0,2,2,51002,53020,6.640682893265676,5.124848484848485,0.11252525252525253,nb_moment,nb,2.1265473084917996,1.5034522375901402,0.2964144617491609,22965.046298167905,-11383.511990085208,False,8.75,0.4307984724696781,0.3516809654269785,0.003452237590140239,0.003585538250839071,990,5.371863403524504,3.548195561980918,0.3987556884095251,0.33591052607008637,-2.6538666538534192,4.4447134212938515,3960,4.8888071956942065,3.2238884781709665,0.5469642998671048,0.4401266661298246,-2.549671285306202,3.4263697406982803,2.1265473084917996
2.0,2,3,51003,53030,7.0475528104144995,5.078585858585859,0.11333333333333333,poisson,poisson,,1.4700048063384274,0.32542151055278545,26674.609589248736,-13240.596220718618,False,9.05,0.3835629379418465,0.2878915939887639,0.02999519366157255,0.025421510552785465,990,5.578017957415305,3.61033623666881,0.45184003034537956,0.368395771588237,-3.5152587477126103,4.690218138021024,3960,4.402368407453445,3.0705860086623713,0.6720921930341548,0.45268120932386957,-3.012726109256146,3.2153497211398627,
