ppc_family,statistic,observed,rep_mean,rep_q025,rep_q975,p_value_geq,n_rep
poisson,var_mean_ratio,9.887794823906383,9.790260802095224,9.616416360958892,9.960369457379695,0.15,300
poisson,max,144.0,143.61666666666667,130.0,163.52499999999998,0.43333333333333335,300
poisson,q99,102.0,104.2005666666667,102.0,106.2677500000001,0.9933333333333333,300
poisson,zero_ratio,0.0,0.0,0.0,0.0,1.0,300
nb,var_mean_ratio,9.887794823906383,9.789799383114572,9.617820117647316,9.963225772661017,0.15,300
nb,max,144.0,143.97666666666666,132.0,160.52499999999998,0.49,300
nb,q99,102.0,104.1037666666667,102.0,106.2677500000001,0.9766666666666667,300
nb,zero_ratio,0.0,0.0,0.0,0.0,1.0,300
