condition,k,n_fits,n_nan,train_n_pairs_mean,train_n_pairs_std,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,train_pearson_mean,train_pearson_std,train_spearman_mean,train_spearman_std,train_mean_ll_mean,train_mean_ll_std,train_pearson_dispersion_mean,train_pearson_dispersion_std,train_hc_density_mean,train_hc_density_std,train_hc_auc_mean,train_hc_auc_std,train_hc_ap_mean,train_hc_ap_std,test_n_pairs_mean,test_n_pairs_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_pearson_mean,test_pearson_std,test_spearman_mean,test_spearman_std,test_mean_ll_mean,test_mean_ll_std,test_pearson_dispersion_mean,test_pearson_dispersion_std,test_hc_density_mean,test_hc_density_std,test_hc_auc_mean,test_hc_auc_std,test_hc_ap_mean,test_hc_ap_std,r_hat_train_mean,r_hat_train_std,runtime_s_mean,runtime_s_std
nb_strict,3,6,0,3960.0,0.0,7.015613217995971,0.02936900364426942,5.345802530869996,0.0412162375227443,0.9434889202787735,0.0007311648791196031,0.9445003590686859,0.0004561786026123846,-3.355691932365669,0.00470204723625034,1.1326699856050872,0.007906708626351722,0.0691919191919192,0.0008143694695251045,0.9827661425612574,0.0010116492222679862,0.8464964519338,0.004840113122245022,990.0,0.0,7.6855718077924715,0.14495384046405294,5.834025349552774,0.1125145859073768,0.9324589591282358,0.0019646615899091523,0.9335852869189236,0.00273408753532131,-3.4383840044326046,0.008312593434573206,1.340878010744141,0.02772955659442457,0.06666666666666667,0.003257477878100426,0.9761457563739356,0.002402553687333856,0.8027165469551929,0.01438448533008752,186.74241765702845,14.947327495992575,8.811666666666667,0.33108407794194367
nb_strict,5,6,0,3960.0,0.0,5.998259374281774,0.7073329832664523,4.582082174887562,0.5089404160001316,0.9588684337169782,0.010178350699897469,0.9603795956372368,0.008848850892605694,-3.2633230881243676,0.1909259828921218,0.8289502899769449,0.15755975733252411,0.0691919191919192,0.0008143694695251045,0.9878131779246915,0.004065378945108582,0.8792885090887337,0.03727685577017025,990.0,0.0,6.791448215353273,0.7422211961605152,5.098677413451876,0.47147463489343827,0.9476091474776784,0.01278921557274329,0.9510769456393491,0.012108574498244871,-3.3378653317400158,0.16023504792793708,1.0372734737839322,0.18488972634370887,0.06666666666666667,0.003257477878100426,0.9799534890489664,0.005250630836240747,0.8091923090207808,0.05043749985149759,666673.8031589058,516386.7236909054,9.018333333333333,0.32133575379448015
poisson_full,3,6,0,3960.0,0.0,6.958303825897738,0.01568214837875483,5.281163188845544,0.023937118772639095,0.944564556566785,0.0007331192402319366,0.9445406884408204,0.0007428956130119208,-3.3535623743339222,0.002042012877937591,1.1266876050611148,0.005448108144089121,0.0691919191919192,0.0008143694695251045,0.9836020531842803,0.0008368973495286144,0.8564992263093069,0.007490482488018949,990.0,0.0,7.086402858112151,0.08648533671965487,5.410360887160389,0.09445659202015444,0.9430015075461018,0.0022255683436031774,0.9430287385310107,0.0020328563166111704,-3.372072225640162,0.00591361815586829,1.168353280816736,0.013920770334942597,0.06666666666666667,0.003257477878100426,0.9804743270850498,0.0023611647555098004,0.8321477168349221,0.009523716763943296,,,8.504999999999999,0.44157672040088375
poisson_full,5,6,0,3960.0,0.0,5.682644119906748,0.05794339372563273,4.332920932683806,0.03952350572511686,0.9634578759553531,0.0005200565752400487,0.9631096236900459,0.00035104881440309896,-3.17212078657904,0.00540031061549713,0.7662248858104541,0.009684363755441686,0.0691919191919192,0.0008143694695251045,0.9900929591197758,0.0012093378765593318,0.9012793462317502,0.009723253582934984,990.0,0.0,5.728882089656523,0.1088123837705443,4.352464132260806,0.09681601527635747,0.9632516243028556,0.0013289990558354111,0.964186251830153,0.002404455583911874,-3.1722800252165304,0.012907576753282414,0.7727003766728403,0.021553289417337095,0.06666666666666667,0.003257477878100426,0.9870581717216159,0.0037033689559200786,0.871337359152975,0.029059751538127076,,,8.738333333333333,0.4279914329360657
poisson_strict,3,6,0,3960.0,0.0,6.9396208956564776,0.018994959864321915,5.293783088008943,0.03221629769284695,0.9448556210046002,0.0006797034129243045,0.9446774661357283,0.00044081344705077533,-3.352989575646203,0.00342036948385716,1.1267532560916556,0.006961462870047148,0.0691919191919192,0.0008143694695251045,0.9838812533159582,0.001117913436937278,0.855985522393068,0.005137945612638704,990.0,0.0,7.628938863592389,0.11296785983739585,5.805781748951908,0.11671219440193935,0.9335424966851905,0.002173513130187311,0.9332144543287875,0.0020865390087416173,-3.458607897569941,0.009047335113879826,1.337308695867794,0.023186067733696827,0.06666666666666667,0.003257477878100426,0.9775110974705115,0.0026940287371199937,0.8159392006502344,0.0121278643332889,186.74241765702845,14.947327495992575,8.668333333333335,0.42253599452196594
poisson_strict,5,6,0,3960.0,0.0,6.253131804497417,1.1052609610733661,4.895068048866165,1.008719391769753,0.9626229488579868,0.004453097543826643,0.9640176724074814,0.004108893841772239,-3.283832394351874,0.228996751507094,1.0835540630167633,0.562141979641334,0.0691919191919192,0.0008143694695251045,0.9895986762023781,0.0009877767329898282,0.8966937468715797,0.006383005268650916,990.0,0.0,14.58255795986671,16.737108306619746,5.882722739184731,1.7574448311989825,0.8436114507569537,0.22321411081453632,0.9502944774462088,0.013219293655072644,-3.7549283456888634,0.924465223975186,1.7470410713153122,1.3837474161707093,0.06666666666666667,0.003257477878100426,0.981069869773627,0.00459359718531143,0.8134650663166219,0.04555337023002377,666673.8031589058,516386.7236909054,8.746666666666668,0.47301867475467246
