family,k_est,rmse_Z_mean,rmse_Z_std,rmse_F_mean,rmse_F_std,rmse_sigma_mean,rmse_sigma_std,rmse_Y_mean,rmse_Y_std,rmse_X_mean,rmse_X_std,w0_err_mean,w0_err_std,w_err_mean,w_err_std,BIC_mean,BIC_std,elapsed_s_mean,elapsed_s_std
bernoulli,1,0.98184010805904,0.3243667652267273,0.5597144695028654,0.22886719022083338,0.568535351190663,0.057594394115752984,0.25827018688928993,0.007850920113024119,0.7623175286217966,0.039457648197813625,0.3124211156424522,0.025794421847553147,0.4691215598963442,0.11368934302403658,18161.216932934338,450.8524026493699,16.842881178855897,0.8586611985815816
bernoulli,2,0.6934289302350689,0.21260609147446177,0.3650641698785535,0.1292345269708695,0.31014281524411746,0.06423314842533441,0.19102142887297283,0.012009928381794044,0.5481772931644233,0.054450544346603076,0.18810888648585133,0.037143106708243695,0.28543901583118453,0.0934454160847713,15210.978808362375,546.3537800092407,19.260182404518126,0.22187823307576465
bernoulli,3,0.17951789582787187,0.004671747372949168,0.03145036136696676,0.0043216094868479184,0.016488190933106103,0.0031835681685098566,0.08626494063452922,0.002671977794371722,0.3089734777574461,0.006267900937937193,0.023777082766926895,0.02375780555962171,0.064894643437027,0.022189614580827584,11929.95278086809,211.79962822656506,19.577631735801695,0.19833920899199142
bernoulli,4,0.40696471789242883,0.10679918876541529,0.17258839601096093,0.06787983871200352,0.01775280427717806,0.0034696009899825696,0.10233867232280622,0.00413700069827786,0.3048187648802917,0.006800373419912315,0.025990017141945564,0.024728969647737572,0.36294127998601466,0.027345202151879598,12380.310288040735,207.12320289514693,19.796845960617066,0.20961696672635333
bernoulli,5,0.5585382084541951,0.12388138422297572,0.25873183250642484,0.05267020944044253,0.0177085341162126,0.003779844461328799,0.11543546464992904,0.004265584632139129,0.3007872548825069,0.006444504249415895,0.025657126697121835,0.027359070777640673,0.5381340585880328,0.022554964050789134,12846.236381114091,196.25856783566357,20.627916073799135,0.6362705861238334
bernoulli,6,0.6405375320256224,0.12836546084399938,0.29603234572575,0.0710187781014807,0.019261471569454812,0.002784546121440345,0.12490575848769125,0.0039487753124559,0.29684148475541755,0.00515876354093008,0.025103132052486,0.02599731457200418,0.6594809884288487,0.01947855786994744,13261.09623036147,181.75790899602256,19.71257872581482,0.6380224134577823
gaussian,1,0.9174695238043524,0.2556697646099115,0.5339939664098318,0.18929581557500816,0.5897446382070524,0.07869476158038001,0.6691752587655563,0.02231183304872506,0.7800345129923951,0.04941134747391209,0.006781950994940199,0.001348300317773214,0.04436166610474881,0.03409741178046254,7837.385233539122,830.7782147107677,9.79160017967224,0.11029512399813575
gaussian,2,0.6135206999464617,0.13844153566921105,0.3600377268823062,0.10731671971651661,0.3291646317033042,0.059508469815305526,0.44024014655748456,0.03075756653635567,0.5629647705018817,0.04474100136002749,0.0033534969479061512,0.0013111547271549451,0.026540069558245016,0.01646527240687611,-2497.523061533064,1804.9161770389182,11.03000705242157,0.3416710087826715
gaussian,3,0.028292935162900212,0.0009482420262164548,0.029470260921305162,0.004658476303948887,0.013603587716397681,0.003523131965690975,0.034331189937358085,0.0011572925143944097,0.31206960130883055,0.005596332932007606,0.0012129884663455099,0.0006953761401111443,0.0005667246501562584,0.0002836148996732461,-37048.14537265414,155.96212242385425,10.167069959640504,0.5479871938913815
gaussian,4,0.2981747584352168,0.1411197412786265,0.21261683965249842,0.06375858724893044,0.014827401114544928,0.0032514314895241768,0.038442894901835695,0.0008687288425127443,0.30723692077770776,0.004578141696574293,0.0011428519684292615,0.0007973068098943517,0.12140762704144573,0.0005719093817503894,-36616.89825359344,144.66809155757736,10.733497142791748,0.138732288868463
