rmse_Z,rmse_F,rmse_Y,rmse_X,w0_err,w_err,model_fx,model_fy,fix_w,fix_x,condition,trial
0.6426436679034558,1.149955463824245,2.7588103717559584,1.81485165956858,1.295919662687922,1.3490648811959325,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",0
0.807729189092785,1.1289429392833839,2.7862160373703673,1.698769668507375,1.2712534441026186,1.3557446466485001,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",1
0.6747639766534903,1.0609868512279288,2.7797749916432446,1.6530123501363823,1.2881272855355328,1.3706148151301385,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",2
0.6252271955823944,1.0925306419195864,2.764182461002511,1.6893902805932917,1.2916463938203848,1.3470081569317878,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",3
0.6543391831850494,1.0901553102519033,2.7602243457526145,1.5411261567361525,1.2894286528349463,1.3528598927223194,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",4
0.8185043975576816,1.0627480735015828,2.776277993571828,1.5709549953964972,1.2373572208177945,1.3493836660788872,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",5
0.7837562356892903,1.0949731384827928,2.7691534756401888,1.5488748633732559,1.276465597282216,1.3549477228495974,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",6
0.59956930125502,0.8849492173280876,2.7662179757616294,1.5275375406511744,1.2959593909607103,1.3565130835251171,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",7
0.7903028072560062,1.1230312573293377,2.7708867968109816,1.687182454169609,1.2592725626865962,1.3594096869728611,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",8
0.7433502190377124,1.1094255369373438,2.7912482085059986,1.5726856845517578,1.273939304589898,1.3658130556122334,gaussian,gaussian,False,False,"X=Gaussian, Y=Gaussian",9
0.6798370185794056,1.2512395721884249,0.20321214813744984,1.761783339377058,0.15555380238581296,0.5061139832901269,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",0
0.765394753679907,1.2479583979716982,0.21990243671211004,1.6699464003444122,0.1596579282596755,0.5827437179917474,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",1
0.6602817923654072,1.216929732697107,0.20446985390501024,1.6203637842087832,0.09196284526943876,0.537335851041634,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",2
0.6486691640068818,1.202266118144105,0.19771579564449507,1.6231887407945302,0.19720535576215692,0.44275850628021995,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",3
