rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,d,trial
0.293837953109244,0.07990609312330432,0.9000000000000001,0.13219405719892538,1.3519385585941919,0.11652955299188583,0.13045697541344947,5,0
0.3288162188868766,0.05664667895090927,0.9000000000000001,0.13561933149435837,1.163421834803621,0.10803099542134176,0.16506662501296954,5,1
0.31098955389517996,0.07506554826246506,0.9000000000000001,0.13481382388932067,1.1624153580461718,0.0678173446950675,0.19165305242189978,5,2
0.3426559349951919,0.0872344828575278,0.9000000000000001,0.14692379960432717,1.171236458686523,0.04891355507746398,0.2783575807075327,5,3
0.29653340581556586,0.0767639027667867,0.9000000000000001,0.12802629570362306,1.1201336998325329,0.011100316224232354,0.13929764661086153,5,4
0.340139470020705,0.0772830633369274,0.9000000000000001,0.13927325646322736,1.2092962730107137,0.03705508604034502,0.24311445717606506,5,5
0.3277153690005363,0.07227204909854085,0.9000000000000001,0.13710736665705905,1.173367642575265,0.0662236342878123,0.17525072067262615,5,6
0.31072584143647786,0.07612173460314711,0.9000000000000001,0.13237818221485032,1.2474402511206582,0.029393655798639284,0.15319799318147553,5,7
0.3227096498442601,0.067486926829411,0.9000000000000001,0.1377747772512812,1.1212827731857886,0.04819657896256313,0.16566267323091366,5,8
0.34509254381130106,0.06669237915143335,0.9000000000000001,0.14289085275196414,1.0520218919692506,0.043563206938516674,0.16442176831952815,5,9
0.29670419897524625,0.07779144712100468,0.9000000000000001,0.1341086217980017,1.1861425367978469,0.09655890922196464,0.19581968201777933,10,0
0.2824809853465405,0.07054480843762112,0.9000000000000001,0.1243078830503617,1.1767194949778368,0.09789792366817496,0.20742174847419426,10,1
0.29391048893584315,0.06916049500889535,0.9000000000000001,0.1315427826141405,1.1611150473612943,0.03565908893547853,0.17539133715128163,10,2
0.2920607716132168,0.07090335084677184,0.9000000000000001,0.12784121064323534,1.1771911328580293,0.026688656568709446,0.09267314462721576,10,3
0.2954714665594512,0.07022064984223364,0.9000000000000001,0.131689336523746,1.1805672733440047,0.034201972903943334,0.0899338707801085,10,4
0.30577531405101344,0.058419529935746076,0.9000000000000001,0.1378459445460737,1.2085772263120413,0.08854961020584873,0.07839525145933246,10,5
0.30469324055174296,0.05805502351586144,0.9000000000000001,0.13834296396338192,1.1748700886707995,0.036350818287139375,0.19197376050121462,10,6
0.3031563603998604,0.05459901172062449,0.9000000000000001,0.13695100411565836,1.2491380785772703,0.028435825669730574,0.1497177809074277,10,7
0.30828380789649695,0.0647294793014238,0.9000000000000001,0.13431120868108784,1.196008315681798,0.03028398094377338,0.16186088127482723,10,8
0.3101692726041773,0.06231705637455239,0.9000000000000001,0.1342697241884498,1.1050319219324027,0.0502058407980599,0.15206242162139083,10,9
0.26528227765284296,0.07267769725203921,0.9000000000000001,0.12470394104495938,1.2489776556078895,0.016500885545107202,0.10585686883834655,15,0
0.28052783040427914,0.05958226004058028,0.9000000000000001,0.12947256970164503,1.2141189934085128,0.044015084800324455,0.11427341675104286,15,1
0.28524420263432315,0.0665011245335784,0.9000000000000001,0.13041422566869426,1.1971870412077315,0.06301264061583856,0.1648270304118773,15,2
0.2781062104544663,0.06877065919084362,0.9000000000000001,0.12564852942992222,1.2373062819945388,0.03880511179644397,0.1006859121974435,15,3
0.2816165891270974,0.07490836853616209,0.9000000000000001,0.12251638085502627,1.1494941290304814,0.016214486732441302,0.11977523625223196,15,4
0.273250028390871,0.07065314854392296,0.9000000000000001,0.12506219489887088,1.176026906199806,0.07943034660038961,0.19416823880455514,15,5
0.28623119191914814,0.06464452197665427,0.9000000000000001,0.12661965830282537,1.2173054802841083,0.05772814615377875,0.09051773428515575,15,6
0.2692551383893326,0.06785399286192877,0.9000000000000001,0.11609734641532682,1.1928575197379316,0.03044741062284384,0.14618357190891462,15,7
0.2826235701803145,0.06189548822853118,0.9000000000000001,0.13027908071500002,1.2206911109122414,0.06906765398658055,0.11661506267320476,15,8
0.2832335296197095,0.08633152937434876,0.9000000000000001,0.12518897809740592,1.2133832892137353,0.05670938346822707,0.18251961755118007,15,9
0.25688632533178196,0.06418995468973715,0.9000000000000001,0.11945285992890473,1.2090313362160459,0.09146630630109465,0.13761869238648528,20,0
0.2628130865449953,0.07105598602643995,0.9000000000000001,0.12159009304376224,1.2109384824985228,0.039010819316672274,0.14430720952217024,20,1
0.27478670351127016,0.07173674960427477,0.9000000000000001,0.12626396090160935,1.1992831116972937,0.048528032539960964,0.1325797860567055,20,2
0.2580046747579695,0.07241808641876259,0.9000000000000001,0.11882417104091987,1.1770456377142464,0.06738284851361453,0.06404853238059394,20,3
0.26394797978678125,0.06259629451100067,0.9000000000000001,0.12329081335810028,1.2458888749209998,0.015389177725972036,0.08613460939348294,20,4
0.27085600085367895,0.06375641586861507,0.9000000000000001,0.1269229609345675,1.2270988731929506,0.007888995099418317,0.0642618663811827,20,5
0.28188263622761756,0.06184992482273956,0.9000000000000001,0.12754034414132112,1.1568580268705988,0.09234414860081519,0.16478925265970457,20,6
0.24999703644361168,0.0765133060116316,0.9000000000000001,0.11766535132391079,1.1615040889788153,0.05972515166020498,0.10100652776150576,20,7
0.25956302904645284,0.06598921710099319,0.9000000000000001,0.12382673548573402,1.2647567783669216,0.0646605676719535,0.11536827472030864,20,8
0.2578278543800585,0.06796868497187453,0.9000000000000001,0.11618835464643192,1.189351810005314,0.023508160798574984,0.17134248587655643,20,9
0.26856813424313175,0.0808514775059339,0.9,0.11983672807869361,1.229486324746766,0.06955470467509217,0.19338467565998108,25,0
0.2571242899249431,0.06896325381441441,0.9,0.11286741036222772,1.2194042111745387,0.0481693000901926,0.12538696072276134,25,1
0.24256368831592806,0.06560017635828712,0.9,0.11743675617451343,1.1968442889613529,0.052435704627662005,0.1517470817909543,25,2
0.250817989439051,0.07233749663154837,0.9,0.11467154073517347,1.2491301114818008,0.010766684499569523,0.12067856346934347,25,3
0.2537011214265728,0.07561160460140028,0.9,0.11975453077504389,1.1718578759696447,0.05424413946202844,0.14832963341724126,25,4
0.25388872026732606,0.06342299008969886,0.9,0.12490409317618928,1.1810643697362402,0.03523435192395363,0.12752132418382556,25,5
0.2632858910183313,0.0679525418686442,0.9,0.12354825164494367,1.2122747489223795,0.08244520728755356,0.1839926269088985,25,6
0.25625730201237673,0.07051182397173954,0.9,0.11918843406449614,1.2223523105779106,0.06049285209699484,0.18776875762912137,25,7
0.2565172611482625,0.06406279982341044,0.9,0.11975070410244597,1.2196069691936313,0.010578148893161443,0.1329038434752532,25,8
0.2500387737551018,0.06906117808795405,0.9,0.12167185257735862,1.182593295825241,0.056198612201997844,0.11488147749944044,25,9
0.24567314743785862,0.06903724069636875,0.8999999999999999,0.11709113842127547,1.2344108837097427,0.04339315870288263,0.090771629789135,30,0
0.24418913069858497,0.06825998802432676,0.8999999999999999,0.11471474340506727,1.222046825410052,0.020085131524428035,0.12196699849804182,30,1
