family,k_est,k_true,trial,data_seed,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,Q_strict,Q_final,nan_occurred,BIC,elapsed_s
bernoulli,1,3,0,9100,0.8564525430607658,0.5137416857973144,0.650762953145919,0.2613707169545885,0.8115474719807075,0.3155361445391083,0.5228799989532743,-9178.52904562005,-9178.52904562005,False,18507.377150062985,16.530409812927246
bernoulli,1,3,1,9123,0.38577829699492644,0.1710525793010103,0.4919340767344297,0.2624210853882411,0.7174810914554485,0.3558145527822346,0.5006785124405724,-8924.835714771882,-8924.835714771882,False,17999.99048836665,16.354564666748047
bernoulli,1,3,2,9146,0.6444373420827417,0.30238830948586215,0.5876441822426942,0.2582996736682315,0.7841913089542344,0.28585788871251294,0.5000141667547237,-9151.429537754695,-9151.429537754695,False,18453.178134332276,16.49391770362854
bernoulli,1,3,3,9169,0.8871330981862489,0.48601077742577065,0.5026168427165187,0.2564469240880724,0.7195775116777843,0.34302357096702796,0.28956008883171847,-8757.613566314656,-8757.613566314656,False,17665.5461914522,16.551589965820312
bernoulli,1,3,4,9192,1.1986426660920866,0.6256843561699121,0.5695598298773575,0.26570793170630214,0.7680684839257612,0.2959530302256128,0.5127812378658071,-9068.355286863825,-9068.355286863825,False,18287.029632550537,16.354130029678345
bernoulli,1,3,5,9215,1.3761737980898745,0.8011100829465598,0.5863614203335759,0.2614474152147117,0.7803232227328858,0.327330977639154,0.5163435955063593,-9122.84211616967,-9122.84211616967,False,18396.003291162226,16.21580410003662
bernoulli,1,3,6,9238,1.2961659500108005,0.7687099088323934,0.4962684920814173,0.2589651709815818,0.7151589240549766,0.29451147000996736,0.5442789729099051,-8919.572378229384,-8919.572378229384,False,17989.463815281655,17.0627224445343
bernoulli,1,3,7,9261,1.0370544871513823,0.6790628015830991,0.5930695578370989,0.2518943724226471,0.7740332676858136,0.31234158010788204,0.38854067342277543,-8907.156214408324,-8907.156214408324,False,17964.631487639534,16.7197163105011
bernoulli,1,3,8,9284,0.8096248862991117,0.3821946761455412,0.6478211499257212,0.26656540801965894,0.821993904776584,0.3209894995242054,0.6351603954094464,-9401.501904017021,-9401.501904017021,False,18953.322866856928,19.161806344985962
bernoulli,1,3,9,9307,1.3269380126224615,0.867189517341191,0.5593150070118972,0.23958317044886368,0.7308000989737694,0.2728524419168161,0.2809779568688604,-8622.653606407763,-8622.653606407763,False,17395.62627163841,16.984150409698486
bernoulli,2,3,0,9100,0.42812991899682207,0.22049408525742256,0.3838955732083667,0.19045977858680074,0.6111059832518372,0.16791175269394254,0.2728510621111271,-7687.763987291432,-7687.763987291432,False,15595.9959275231,19.747583866119385
bernoulli,2,3,1,9123,0.9988347313108007,0.40811558567325446,0.2653979901450372,0.21237860274904072,0.5240910381150838,0.2694892413906631,0.4250991498648611,-7682.567423643192,-7682.567423643192,False,15585.60280022662,19.265917778015137
bernoulli,2,3,2,9146,0.6436806071891019,0.3225733289143139,0.35003524470494995,0.18607774790475945,0.5822139450385405,0.16765117233790394,0.3560459474597535,-7726.102296041313,-7726.102296041313,False,15672.67254502286,19.072174310684204
bernoulli,2,3,3,9169,0.47464860157051203,0.23448429064142226,0.26654263435925407,0.17631214707059567,0.5197071809334666,0.2002460471223645,0.12227064212759853,-7121.815290411716,-7121.815290411716,False,14464.098533763667,19.390185117721558
bernoulli,2,3,4,9192,0.4748131222955765,0.23475041407059907,0.27918404061324165,0.19969911673841942,0.5738425391600172,0.15611673595916342,0.28711640631879476,-7695.7096853428375,-7695.7096853428375,False,15611.88732362591,19.305981397628784
bernoulli,2,3,5,9215,0.9371716624168946,0.5738874132694292,0.35647964625793055,0.20257682756394443,0.5860889552429225,0.21326669960009959,0.3347750251662349,-7703.903317141626,-7703.903317141626,False,15628.274587223486,19.122384786605835
bernoulli,2,3,6,9238,0.9182673046716091,0.5656702431965949,0.2628791237330771,0.18645313964858254,0.510159545959951,0.162006222254364,0.3067257239505452,-7418.8325930336705,-7418.8325930336705,False,15058.133139007576,19.282212257385254
bernoulli,2,3,7,9261,0.8246626704982729,0.42426779684196314,0.25705977360146987,0.19897015673586763,0.4759969158214059,0.22091676916556002,0.329790137970281,-7258.027523147413,-7258.027523147413,False,14736.522999235061,18.986811637878418
bernoulli,2,3,8,9284,0.5615077317067806,0.2990223426061047,0.4301484211107795,0.17953366500838353,0.6248504220096883,0.16452106802178112,0.28413378050770133,-7649.514303094894,-7649.514303094894,False,15519.496559130022,19.376633644104004
bernoulli,2,3,9,9307,0.6725729516943184,0.3673761983144309,0.24980570470706787,0.17775310672333405,0.47371640611132027,0.158963156312671,0.135582282834948,-7008.317857962604,-7008.317857962604,False,14237.103668865442,19.051939249038696
bernoulli,3,3,0,9100,0.18060352013146655,0.03000536640391806,0.01564309297953649,0.0879101444388096,0.3134682451497747,0.002806402695245458,0.04685492643532818,-5841.942185531905,-5841.942185531905,False,11969.490582827297,19.437886238098145
bernoulli,3,3,1,9123,0.18656948837119242,0.031641936570418555,0.0163774326799633,0.08754365031969558,0.31284237533528514,0.07647635437915978,0.0936350633747105,-5931.545684867389,-5931.545684867389,False,12148.697581498265,19.853883981704712
bernoulli,3,3,2,9146,0.1773702197650714,0.03301780727153767,0.011460643383545598,0.086596152135356,0.3123309038975023,0.00433423817997336,0.08539505945070447,-5957.110939100062,-5957.110939100062,False,12199.82808996361,19.640888452529907
bernoulli,3,3,3,9169,0.17764511421095477,0.030387938298145664,0.01932249790843597,0.0825985189941728,0.2966752115937284,0.05203806208327666,0.02305727606410679,-5612.363753142967,-5612.363753142967,False,11510.33371804942,19.587295293807983
bernoulli,3,3,4,9192,0.17902461385982543,0.028817312297076347,0.01872125465229579,0.08675647823443236,0.30760208746157347,0.03060913104257712,0.056703873730966414,-5702.976827923417,-5702.976827923417,False,11691.55986761032,19.465140104293823
bernoulli,3,3,5,9215,0.17817700846996196,0.022922974682520858,0.01458921703425758,0.0888278437331972,0.3048045704631483,0.011141981320759609,0.05283078746734682,-5748.8792460927625,-5748.8792460927625,False,11783.364703949012,19.497138738632202
bernoulli,3,3,6,9238,0.18086743860203533,0.029107633269541956,0.017058404938339777,0.0848912077366776,0.30834751766975094,0.00834103727952007,0.09344997153884993,-5876.1334496857,-5876.1334496857,False,12037.873111134886,19.421359539031982
bernoulli,3,3,7,9261,0.18730722570403568,0.03435122710523149,0.02168772215515901,0.09042535587039267,0.3138328444242179,0.025505913948211112,0.07248763778325396,-5824.3581775548955,-5824.3581775548955,False,11934.322566873278,19.318392276763916
bernoulli,3,3,8,9284,0.17185236071466153,0.038609728614750594,0.012107221902994373,0.081874727546583,0.317360228848141,0.010312602585025532,0.06448283458945969,-5878.816958701989,-5878.816958701989,False,12043.240129167465,19.598673582077026
bernoulli,3,3,9,9307,0.1757619684495137,0.03564168915652636,0.017914421696533147,0.08522532733597535,0.30247079273133853,0.016205104155520234,0.060049003935543244,-5847.605622921929,-5847.605622921929,False,11980.817457607345,19.95565915107727
