family,condition,rmse_Z_mean,rmse_Z_std,rmse_F_mean,rmse_F_std,rmse_sigma_mean,rmse_sigma_std,rmse_Y_mean,rmse_Y_std,rmse_X_mean,rmse_X_std,w0_err_mean,w0_err_std,w_err_mean,w_err_std,BIC_mean,BIC_std,elapsed_s_mean,elapsed_s_std,w_est_mean,w_est_std
bernoulli,ablation,0.24850251372345747,0.030867090037588016,0.07274217707468626,0.03627487541547373,0.018093777484595376,0.004520816143945455,0.3144915489390927,0.004444943191238612,0.31245419656750756,0.008914644792599874,0.4151265496371301,0.012718990067436495,1.5,0.0,17252.935152297672,145.0700800701031,18.326506853103638,0.15462188102537838,0.0,0.0
bernoulli,proposed,0.17637622633345135,0.00794119624201767,0.03200010386049597,0.008453502215679528,0.01794141172590675,0.004396544134865052,0.0859570514313656,0.0033430494780122247,0.30852371178753113,0.009481242170953988,0.026375261639436366,0.024068867551132418,0.0790708232587404,0.03260071772347148,11892.570592408016,236.2310812482004,19.580626249313354,0.8475595448399428,1.4209291767412595,0.03260071772347156
gaussian,ablation,0.24850251372345747,0.030867090037588016,0.07274217707468626,0.03627487541547373,0.018093777484595376,0.004520816143945455,0.8607518389586668,0.00704680257476183,0.31245419656750756,0.008914644792599874,0.0105826861371866,0.0008725523486975413,0.5,0.0,10651.737656717227,250.82228689827062,14.191817426681519,0.5420354218335666,0.0,0.0
gaussian,proposed,0.02858292429958152,0.0009421106116432617,0.02947490972168761,0.008036751825171818,0.015179039120971714,0.005397748924870662,0.034778467123401276,0.001150358670889303,0.3123528149347642,0.009222538291790905,0.0007808383883169772,0.000712064791772255,0.0005538203931826746,0.00042420080873387973,-37225.60448095166,199.32827639918648,12.585209369659424,0.14807207836135441,0.4997114856255133,0.0006544108267382544
poisson,ablation,0.24850251372345747,0.030867090037588016,0.07274217707468626,0.03627487541547373,0.018093777484595376,0.004520816143945455,3.2412758861127706,1.3059419764441489,0.31245419656750756,0.008914644792599874,0.4155779288870381,0.01863810581373205,0.5,0.0,50468.996645199695,2559.804504594455,15.691865015029908,0.18673031754879166,0.0,0.0
poisson,proposed,0.18754255672907394,0.04691592916422098,0.0682537777206629,0.061144608742970355,0.016467335728886118,0.0043654700447780205,0.7294060134809448,0.2622766500716655,0.3090286125683,0.009418437277987099,0.07318361058918707,0.06207837378233516,0.04068242340743964,0.0454493268115337,33022.5160668112,834.5514005714298,16.245688605308533,0.24657669459669018,0.45931757659256034,0.045449326811533707
