family,n,d,k,trial,data_seed,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,Q_strict,Q_final,nan_occurred,BIC,elapsed_s
bernoulli,50,15,3,0,9200,0.20461582789608707,0.04723266266177115,0.0384625547936063,0.09947309019350534,0.3085394951393396,0.02574599161134994,0.146773630748108,-902.8470031507917,-902.8470031507917,False,2028.6793176109877,4.618261337280273
bernoulli,50,15,3,1,9229,0.17958042435960223,0.05452993791617423,0.025659105090601386,0.08854143626946805,0.31063173358218943,0.12308003467059314,0.12335894988803497,-897.6530152559972,-897.6530152559972,False,2018.2913418213986,5.1589109897613525
bernoulli,50,15,3,2,9258,0.18995210391103334,0.05492866642353271,0.01815394474297679,0.09719106253147786,0.3065482361156762,0.04012840231218873,0.15994626702434878,-888.2157226072566,-888.2157226072566,False,1999.4167565239175,5.5218729972839355
bernoulli,50,15,3,3,9287,0.2316932465954011,0.05726884932627378,0.02113665078485053,0.10053361863720181,0.3059164182938748,0.008410019022968118,0.17252810370596516,-898.9660061484849,-898.9660061484849,False,2020.917323606374,4.915952682495117
bernoulli,50,15,3,4,9316,0.2074811625169348,0.04335315786357433,0.02612639297780858,0.09932644819808718,0.30010978199964583,0.019425146676695038,0.1542338012863398,-875.1392706263941,-875.1392706263941,False,1973.2638525621926,4.8066565990448
bernoulli,50,15,3,5,9345,0.184348733373128,0.054484503764169065,0.0306327525208974,0.09150906810392437,0.31204867317627,0.09422397864335852,0.037645921339298116,-900.8732183551303,-900.8732183551303,False,2024.731748019665,4.882343053817749
bernoulli,50,15,3,6,9374,0.21545969129793907,0.05319016504700257,0.034226418874063406,0.10763672300677306,0.3069192589778654,0.14707828508855436,0.02530139774920892,-840.1094733958822,-840.1094733958822,False,1903.2042581011688,4.911841869354248
bernoulli,50,15,3,7,9403,0.21634500701421056,0.08402242990895234,0.029772333064988006,0.10889904738957154,0.30790821934339957,0.20233208437122308,0.13744469134675774,-905.3455675298688,-905.3455675298688,False,2033.676446369142,4.967176914215088
bernoulli,50,15,3,8,9432,0.20684846417748276,0.06682910836989428,0.02581265599097334,0.10911257776329913,0.3021368375557836,0.011801857550403527,0.004891658282883515,-850.1528850157122,-850.1528850157122,False,1923.2910813408287,4.842244863510132
bernoulli,50,15,3,9,9461,0.19370741383045276,0.06552806175384372,0.02952480002612797,0.09639414898640832,0.2752505341157432,0.13895552054291627,0.20341902432057268,-825.2150551881723,-825.2150551881723,False,1873.415421685749,4.884551763534546
bernoulli,100,15,3,0,9200,0.1883824793197476,0.038242664570996544,0.021955420436273666,0.09228936267651783,0.3124186987434194,0.12751508365614572,0.13712189637086514,-2877.3610998564686,-2877.3610998564686,False,6017.216900314259,11.07923698425293
bernoulli,100,15,3,1,9229,0.17984710017098365,0.02681481071600162,0.019061164559544576,0.08575999302924371,0.3078827807167615,0.11118501154397686,0.1279247974758395,-2834.073214866837,-2834.073214866837,False,5930.641130334996,10.718017101287842
bernoulli,100,15,3,2,9258,0.18162923928131422,0.03409289017983803,0.014962637742423977,0.09179175289529637,0.3088573732793197,0.046922291954841655,0.07642792710035051,-2807.478922214802,-2807.478922214802,False,5877.452545030925,10.62701153755188
bernoulli,100,15,3,3,9287,0.2216895635301623,0.0442981671200512,0.019087642605550546,0.10720052921811261,0.3093450746420059,0.05791896772013072,0.17516703839301573,-2905.005639997809,-2905.005639997809,False,6072.5059805969395,10.762263774871826
bernoulli,100,15,3,4,9316,0.18463804907820364,0.05166614533026377,0.015362641873398496,0.09363927770507192,0.30677670667348594,0.04087967761579647,0.08251338691902976,-2831.813742189478,-2831.813742189478,False,5926.122184980277,10.81969666481018
bernoulli,100,15,3,5,9345,0.18203364900787386,0.03215960558997229,0.0278471025305473,0.08958517332420826,0.30724701921423886,0.012040268050199088,0.11256695554465534,-2872.5245297831634,-2872.5245297831634,False,6007.543760167648,11.194836616516113
bernoulli,100,15,3,6,9374,0.20759961185397965,0.033488604857282014,0.01648552104378453,0.10316438552075456,0.29941508682481077,0.020246841289189188,0.10909455612532315,-2755.4385095397497,-2755.4385095397497,False,5773.371719680821,11.041585683822632
bernoulli,100,15,3,7,9403,0.18789801498567574,0.03366943450683203,0.019895362157231946,0.09446091008844468,0.3098393427280069,0.018405400225338875,0.05063159421267227,-2777.5858828428272,-2777.5858828428272,False,5817.666466286975,11.277827024459839
bernoulli,100,15,3,8,9432,0.19990024022232128,0.03934104729462373,0.013628956052167764,0.10009253724700203,0.30878993122775805,0.0952154139931376,0.05719617592420678,-2856.3108421674906,-2856.3108421674906,False,5975.116384936302,13.244199275970459
bernoulli,100,15,3,9,9461,0.19272239772582747,0.03564023406909275,0.023147091777565486,0.09280055125836342,0.30945749811700296,0.03721994412409779,0.04612147910512898,-2765.117336055613,-2765.117336055613,False,5792.729372712547,11.151350975036621
bernoulli,150,15,3,0,9200,0.1811617975231791,0.03898120510088998,0.019075480547397744,0.08868911809205295,0.30319069289044875,0.007023581803718981,0.06951040278830023,-5657.562801523683,-5657.562801523683,False,11600.731814810853,20.003084182739258
bernoulli,150,15,3,1,9229,0.17724075971285272,0.02825714240027054,0.018050368377039338,0.08494651083596093,0.3060989533043011,0.015373958977404456,0.024852655535376078,-5676.711998763295,-5676.711998763295,False,11639.030209290077,19.76842975616455
bernoulli,150,15,3,2,9258,0.17898791171377626,0.026229785263850423,0.015150238259052375,0.08815385665170872,0.30709455115759055,0.0931803077014366,0.0793120135785732,-5759.173263379841,-5759.173263379841,False,11803.952738523169,19.52362060546875
bernoulli,150,15,3,3,9287,0.18160171598110586,0.02891275916261925,0.016156732825331768,0.08486883980741376,0.3145934198573482,0.047915970329627466,0.05556484238469017,-5880.249331682198,-5880.249331682198,False,12046.104875127883,19.874614477157593
bernoulli,150,15,3,4,9316,0.17754348454104324,0.03534534368570067,0.0138426826536825,0.08768324367545564,0.3089330756187716,0.019546660544069505,0.048251342246873996,-5728.9920180456165,-5728.9920180456165,False,11743.59024785472,19.629332304000854
bernoulli,150,15,3,5,9345,0.18418101242699852,0.026757461684557043,0.020047234575841247,0.09049024443701818,0.320017643913569,0.04163869056703806,0.07960618673668396,-5940.039157808223,-5940.039157808223,False,12165.684527379932,19.696990966796875
bernoulli,150,15,3,6,9374,0.18753568069612106,0.03137256955360766,0.011713706625770951,0.08688565521843981,0.30826906367357326,0.0095449073688606,0.10314104624128406,-5699.784410292853,-5699.784410292853,False,11685.175032349192,19.674594163894653
bernoulli,150,15,3,7,9403,0.17601754782569312,0.03669033398008944,0.01653201754550107,0.08277910917619645,0.3064477406420648,0.01843002567737373,0.045023242556151866,-5706.844037909209,-5706.844037909209,False,11699.294287581904,19.319879055023193
bernoulli,150,15,3,8,9432,0.1790876019916728,0.0384657512814455,0.01420194037725861,0.08561815703925449,0.31101330063735466,0.0662165499271633,0.11978158103436054,-5943.09869514775,-5943.09869514775,False,12171.803602058986,19.732186555862427
bernoulli,150,15,3,9,9461,0.17709586977562103,0.03474861308039408,0.013660107438631634,0.08401349017810877,0.3142984617778798,0.0005242346576204149,0.0492250670508978,-5722.579441044674,-5722.579441044674,False,11730.765093852835,19.490501403808594
bernoulli,200,15,3,0,9200,0.17261096295368528,0.025779662281202743,0.016454190976090688,0.08087108430076195,0.3040182523108499,0.01104411621932333,0.083912135342878,-9707.526864226393,-9707.526864226393,False,19717.057818346024,29.61106824874878
bernoulli,200,15,3,1,9229,0.16583131346950844,0.019096822069807232,0.011726671241128538,0.08151211117415673,0.30623681082268406,0.05652189473851821,0.042739432324355064,-9772.120843883862,-9772.120843883862,False,19846.245777660963,29.632402658462524
bernoulli,200,15,3,2,9258,0.17012082880595739,0.020850866568673226,0.013279270928337784,0.08142687334130036,0.30136763419747825,0.03892203602423283,0.06281899005020986,-9603.473021203976,-9603.473021203976,False,19508.95013230119,29.55418086051941
