family,d,n,k,trial,data_seed,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,Q_strict,Q_final,nan_occurred,BIC,elapsed_s
bernoulli,5,150,3,0,9300,0.23974754441867263,0.03732717037050603,0.019805801477149106,0.11034017953206655,0.29628613848121665,0.03920553218273426,0.10029096179255492,-5402.745395357076,-5402.745395357076,False,10890.671590713788,19.438552856445312
bernoulli,5,150,3,1,9331,0.24515596565317982,0.02928059329327243,0.020841050567270362,0.10861351907454365,0.3051553986419744,0.040033164255727005,0.08946064290199263,-5392.109780613023,-5392.109780613023,False,10869.400361225682,18.57355809211731
bernoulli,5,150,3,2,9362,0.2388532274042949,0.03579400221267903,0.012125560603571749,0.10888531035447989,0.3011952765400437,0.036745795981072304,0.10636312113574209,-5489.433423024406,-5489.433423024406,False,11064.047646048448,18.839273929595947
bernoulli,5,150,3,3,9393,0.2282140315111984,0.02126496707658968,0.020919930859378693,0.10758687883725924,0.2829025059669764,0.010148292172239115,0.08639759995656116,-5379.1129887494935,-5379.1129887494935,False,10843.406777498623,18.593645095825195
bernoulli,5,150,3,4,9424,0.2256286370402736,0.03898547617131863,0.017621524101785926,0.10374082914493742,0.28714229181480766,0.06511196953548071,0.0712602842890333,-5443.2646280383615,-5443.2646280383615,False,10971.71005607636,18.419708251953125
bernoulli,5,150,3,5,9455,0.26913850634772774,0.026127420076052264,0.014182540679206114,0.12159513473302842,0.2944257026982416,0.04799395980342458,0.10046420208569362,-5468.669847185987,-5468.669847185987,False,11022.52049437161,19.49804377555847
bernoulli,5,150,3,6,9486,0.24542946428398554,0.04057716346605511,0.025962392700777194,0.1120057295753591,0.3086368246704486,0.030763810915097167,0.11161911831172189,-5459.465400788339,-5459.465400788339,False,11004.111601576315,19.548307418823242
bernoulli,5,150,3,7,9517,0.24169851026996358,0.03707958921065108,0.019343593086814555,0.10776990474567313,0.2981406430246145,0.04756403443263757,0.11972596467752772,-5414.856123356281,-5414.856123356281,False,10914.893046712199,21.419050216674805
bernoulli,5,150,3,8,9548,0.24038164444657456,0.03671595355912116,0.01488936179589965,0.10484739035367259,0.3000743729389978,0.03781684870084179,0.07602207452214804,-5460.343071277987,-5460.343071277987,False,11005.86694255561,19.712579488754272
bernoulli,5,150,3,9,9579,0.24677183308779685,0.03650842412214628,0.026941604486065866,0.10603206089017687,0.28031375427285954,0.09012590758370387,0.12456532041067003,-5505.721803521761,-5505.721803521761,False,11096.624407043158,19.98108744621277
bernoulli,10,150,3,0,9300,0.21103894807797274,0.034405301294716674,0.027494975201898586,0.09782524587833864,0.3096863456675153,0.023576015621208923,0.05717658979433615,-5512.125561429477,-5512.125561429477,False,11209.644628740516,19.700480699539185
bernoulli,10,150,3,1,9331,0.205350534926227,0.0353710616388982,0.014356461850694478,0.09618199999149418,0.3069754959544616,0.013317989231937277,0.07680695836061502,-5547.719529901957,-5547.719529901957,False,11280.832565685476,19.86222505569458
bernoulli,10,150,3,2,9362,0.20546995588391073,0.020615323582794935,0.01790901004027449,0.09645220482789908,0.2925039052259783,0.02298608365939958,0.07196082983998542,-5595.771689784432,-5595.771689784432,False,11376.936885450426,19.805883169174194
bernoulli,10,150,3,3,9393,0.19247245258575302,0.02735586798220078,0.01975133948155774,0.09301059363024522,0.2947084470860035,0.04367989784676829,0.039304673778010946,-5513.275935296995,-5513.275935296995,False,11211.945376475553,19.808256149291992
bernoulli,10,150,3,4,9424,0.19207568091817412,0.0180909034091986,0.019345563419493582,0.09592500773050372,0.3019886666787153,0.061824785954335604,0.11261003740220743,-5653.301931574553,-5653.301931574553,False,11491.997369030669,19.70284342765808
bernoulli,10,150,3,5,9455,0.21135449423768468,0.022563847202816876,0.016287816939745844,0.09817409198461073,0.2967437915256588,0.009577224948513985,0.125922221967123,-5582.147427744129,-5582.147427744129,False,11349.688361369821,19.58362579345703
bernoulli,10,150,3,6,9486,0.20506668971372147,0.030635467890311,0.012817093446036366,0.0989571827260991,0.3104532877676094,0.03679614691704358,0.08404775929868147,-5669.985329419742,-5669.985329419742,False,11525.364164721046,19.8475661277771
bernoulli,10,150,3,7,9517,0.2063622186102909,0.03261854861189806,0.017851366104721503,0.09987955603792864,0.2988496451068837,0.09471993551814306,0.1268951334406181,-5627.483158546756,-5627.483158546756,False,11440.359822975075,19.676593542099
bernoulli,10,150,3,8,9548,0.19470788988797796,0.028777401777635478,0.0085318456891383,0.09172657173246779,0.30922014051954655,0.00027480739188190384,0.03708489961733785,-5599.926668373342,-5599.926668373342,False,11385.246842628247,19.72102165222168
