true_fam,model_fam,rmse_Z_mean,rmse_Z_std,rmse_F_mean,rmse_F_std,rmse_sigma_mean,rmse_sigma_std,rmse_Y_mean,rmse_Y_std,rmse_X_mean,rmse_X_std,w0_err_mean,w0_err_std,w_err_mean,w_err_std,BIC_mean,BIC_std,elapsed_s_mean,elapsed_s_std
bernoulli,bernoulli,0.17844014903338976,0.009468280393115777,0.028773800180690895,0.00283452087499444,0.015974486796355068,0.003639872975976543,0.08662117550875245,0.003293194886626888,0.31006103077963754,0.007265142571010834,0.022328849260906704,0.019910002695654672,0.07616813968566974,0.032350420966270464,11897.04425709407,130.0759871527999,19.358725357055665,0.8864832243126726
bernoulli,gaussian,0.1927109717995824,0.013291257725131723,0.02953365989348917,0.004684352445544102,0.015405415772031356,0.0031651041342699664,2.6884237916168976,0.009737471604414577,0.3138296286015491,0.007039908613726702,1.3598152168675783,0.004424256821971269,1.3338540626735926,0.002634322509805577,-7495.222368289328,165.16970916423847,13.856061482429505,0.1098203352320177
bernoulli,poisson,0.21466548080912434,0.018774354077571557,0.03753970288635441,0.007727000880330671,0.016096547704642084,0.003061274911029606,647.1998620406607,139.3760043422386,0.3129486016100558,0.006600017891246811,0.29802238577703866,0.013030631076169268,1.0735931607205937,0.010178461481508047,16511.36639598731,150.47034475046632,16.25060625076294,0.1103202993996731
gaussian,bernoulli,0.5422149961272941,0.11353357693374681,3172.203709839134,10031.149356663544,0.32787822069533384,0.3346589138309068,0.4741964588700519,0.004169219036107541,0.5529702046984498,0.2887581075193634,17.801897969847012,0.0008890195820329059,3.980662955488789,0.0019096265177185668,-75534.12159265364,5947.99573516424,20.679445481300355,0.31547546890966877
gaussian,gaussian,0.028939961377682826,0.001386340785006321,0.026688122997816165,0.002614636208343388,0.014293238675013243,0.002315788133549621,0.035269261917829066,0.0017389289729617852,0.3133150348373329,0.0073392620595343966,0.0005877670973165748,0.00044950093339944164,0.0005250786368888816,0.0005468197333322111,-37170.15143822365,263.05462732785816,11.316757082939148,0.1031716987919434
gaussian,poisson,0.27649468555947254,0.01227904555479065,0.0392786733071749,0.005573531643810915,0.04890123250219951,0.007172639866633722,2.2919496679954845,0.9123600467440456,0.38068740428302655,0.010762786004955264,4.220021465236053,0.010245016010979293,1.3607182846304673,0.01347242906026811,-33640.86036200686,309.8488918381069,14.592894196510315,0.1144212647796232
poisson,bernoulli,1.1968344312702333,0.14818042719403857,3789512.1516666813,8674818.177978111,1.118336807617203,1.6166040280184226,0.5314437356349582,0.001335400746750442,1.0198447270660105,0.6044925877190035,17.81550047062121,8.614290590029877e-06,3.9999503194742374,5.385491888288108e-05,-231820.71402237556,12590.097380026502,22.700399112701415,0.20510876660270855
poisson,gaussian,0.585050761882518,0.28613619201140766,0.24594375238473418,0.22192087636438543,0.17541084598263026,0.13051555903589176,2.5292540162325308,0.9483018921702455,0.4518850455947446,0.09955605690966603,1.4346887432772821,0.04191335152475592,1.062583058140763,0.7862444001831169,29839.49062562697,2026.4295732176151,13.883020257949829,0.4806448276047304
poisson,poisson,0.19761368088770662,0.06036880815122313,0.07038493653009315,0.06471796117276271,0.015688493522143142,0.003078743363263844,0.8106097036974645,0.417147674662578,0.31045829310978373,0.00680914329630185,0.08029439928847282,0.07388987235063198,0.05181335270952333,0.05719515319053888,33166.19658678541,1094.8328465816498,16.506931638717653,0.5709634505602551
