true_fam,model_fam,correct,trial,data_seed,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,Q_final,nan_occurred,BIC,elapsed_s
bernoulli,bernoulli,True,0,9400,0.18137132494008065,0.026127967278394035,0.01791515580438138,0.08595835320907,0.3170973694370613,0.013736774341111757,0.12271655672299131,-5896.901742388776,False,12079.409696541039,19.097822904586792
bernoulli,bernoulli,True,1,9437,0.18297839708627467,0.02893933976715494,0.011655408880298857,0.08913335802101932,0.3170732263672728,0.0013967396807310628,0.03410589916461815,-5813.072558497379,False,11911.751328758244,18.560805559158325
bernoulli,bernoulli,True,2,9474,0.16605873875193067,0.02578005775877995,0.0138157262300662,0.0814297118498113,0.3064004963067971,0.010876820557300881,0.07856234730235112,-5862.727718651725,False,12011.061649066936,18.768813371658325
bernoulli,bernoulli,True,3,9511,0.17523091096066834,0.03188370016854947,0.019483612724259577,0.08573901818900483,0.29801448726856855,0.004489972076156201,0.09949669118416327,-5763.470581074778,False,11812.547373913043,18.44892930984497
bernoulli,bernoulli,True,4,9548,0.17393337455117586,0.030271552070093286,0.01951504113950986,0.08590086080186293,0.3101820372035824,0.03469101355280357,0.07403179244780289,-5831.143850952777,False,11947.89391366904,18.581929683685303
bernoulli,bernoulli,True,5,9585,0.20040540418091218,0.0330668195364768,0.015170814254834315,0.09416574515676915,0.3181371502157191,0.03611786058399202,0.035355070414869294,-5829.280254893025,False,11944.166721549536,19.6918306350708
bernoulli,bernoulli,True,6,9622,0.1790202569012889,0.028450089429711587,0.017704992589009125,0.08702646968434409,0.30434289851456825,0.017312358189431887,0.12830244323297313,-5781.779514377166,False,11849.16524051782,21.32104206085205
bernoulli,bernoulli,True,7,9659,0.1812851404162698,0.02813394070330028,0.013503267216010847,0.08612759457129607,0.30442034058349793,0.003116102006299859,0.06337937786974646,-5679.685079384822,False,11644.97637053313,19.299302339553833
bernoulli,bernoulli,True,8,9696,0.17532976437283992,0.024193540876893873,0.010147597047536181,0.08639602427888082,0.3186546317122949,0.06197033958293441,0.06655909063095189,-5858.433872497395,False,12002.473956758276,20.006757974624634
bernoulli,bernoulli,True,9,9733,0.16878817817245662,0.030890994217554712,0.02083325207764434,0.08433461932546611,0.30628767018701264,0.03958051203830537,0.05917212788622983,-5740.695053935075,False,11766.996319633636,19.810019731521606
bernoulli,poisson,False,0,9400,0.22066161813497517,0.032225049389095616,0.018030402304110103,722.0367879656684,0.31817729720696636,0.2996037288385289,1.08274205884479,-8115.313421090711,False,16516.23305394491,16.087406396865845
bernoulli,poisson,False,1,9437,0.21048370227844174,0.03905065346559976,0.012723685806281559,579.9007359569285,0.3192689571962686,0.3090394087628485,1.0718013791487881,-8125.771482476963,False,16537.149176717412,16.384589672088623
bernoulli,poisson,False,2,9474,0.19401705477758718,0.03154331988750245,0.015434855280379333,589.7521540448695,0.31039365424362203,0.30698823651479756,1.075759486838885,-8103.36796222444,False,16492.342136212366,16.31281805038452
bernoulli,poisson,False,3,9511,0.21136932594450095,0.04599609353994766,0.01936667700125277,837.6258712617667,0.3019082614501079,0.3014337341702584,1.0812132551690388,-8011.256019554497,False,16308.11825087248,16.389742851257324
bernoulli,poisson,False,4,9548,0.20666861671417167,0.03015255155621469,0.01814811008483817,648.8091548350908,0.3147726503730095,0.28290145334915584,1.0838368669479865,-8169.537883547962,False,16624.68197885941,16.271934270858765
bernoulli,poisson,False,5,9585,0.26321315434095827,0.05133582316551554,0.015013685695234202,876.3753846919934,0.31952656468478785,0.28392309797968385,1.076598025227342,-8218.347829913188,False,16722.30187158986,16.215937852859497
bernoulli,poisson,False,6,9622,0.21830249617119102,0.04293956397409169,0.017218043406371748,699.3267408942605,0.30737122569125364,0.29562759245978754,1.0778590820046479,-8056.245943880026,False,16398.09809952354,16.10880970954895
bernoulli,poisson,False,7,9659,0.2099220543288169,0.03132887256867797,0.013466780253891872,506.97284517090736,0.30894695662268307,0.3218166088112604,1.0511284346301788,-8010.530937361832,False,16306.66808648715,16.358273029327393
bernoulli,poisson,False,8,9696,0.21213944093922843,0.0416446374800154,0.01107302142784878,576.7781741253308,0.32153974485354975,0.280340023103679,1.0734787757634137,-8222.629300222166,False,16730.86481220782,16.171032905578613
bernoulli,poisson,False,9,9733,0.19987734446137237,0.0291804638368833,0.020490215786212313,434.4207714597912,0.307580703778309,0.2985499737803863,1.0615142426308677,-8095.800140847321,False,16477.20649345813,16.205517768859863
