k,Q_strict,BIC,num_params
2,-727658.2999505736,1455636.011719728,56
3,-713848.76392568,1428113.90397201,73
4,-706800.0749542406,1414107.7865487256,89
5,-700739.7067729142,1402072.6069231925,104
