k,split_trial,model_trial,model_seed,bic,q_strict,num_params,train_rmse,train_mae,train_pearson,train_spearman,train_mean_y,train_mean_y_hat,train_max_y_hat,test_rmse,test_mae,test_pearson,test_spearman,test_mean_y,test_mean_y_hat,test_max_y,test_max_y_hat,test_hc_density,test_random_ap_baseline,test_hc_auc,test_hc_ap,rmse_x,x_binary_acc,silhouette,nmi,ari,w0,w,delta_rmse,delta_pearson,nan_occurred,nan_count,success,runtime_s,error_message,evaluation_mode
3,0,0,12300,35780.540210610256,-17765.930510283448,54,6.944910117118113,5.322997361952936,0.944669664170548,0.9445135897304637,45.2510101010101,45.67374033489396,131.5825225776941,7.322997357223488,5.433029387064975,0.9406292018448545,0.9401811948299013,45.1,45.998822887287886,112.0,113.11400217011212,0.07575757575757576,0.07575757575757576,0.9860692167577413,0.8873143088075562,0.34885971151561035,0.8305263157894737,-0.39535100238797427,0.29347829261503244,0.0839622005527951,3.416142204711215,0.27133479748893236,0.3780872401053754,0.004040462325693439,False,0,True,7.4,,masked_evaluation
3,0,1,12301,35753.33803390642,-17752.32942193153,54,6.903008307536556,5.328926434011467,0.945391747526959,0.9452678685059139,45.2510101010101,45.72150743415498,132.33712533051988,7.1507681053042615,5.269402523799304,0.9436554956770153,0.9422433786440972,45.1,46.05416480306403,112.0,116.29671491042483,0.07575757575757576,0.07575757575757576,0.9858506375227687,0.8898062932501388,0.346976964446883,0.8352631578947368,-0.4205172251188809,0.3086518227330684,0.09930948045498617,3.414000652416903,0.2713718682323761,0.24775979776770551,0.0017362518499436375,False,0,True,7.3,,masked_evaluation
3,1,0,12310,35791.36703296425,-17771.343921460444,54,6.976468077198993,5.2914471438156525,0.9438057635032819,0.9419424983203332,45.00328282828283,45.42116089882154,131.00450280650395,6.943789064628233,5.3339795480388235,0.9468890771030871,0.9486773974692102,46.09090909090909,46.84103821526152,144.0,128.91592876594225,0.07272727272727272,0.07272727272727272,0.9780924715565239,0.8390713078013896,0.3498088561734944,0.8294736842105264,-0.3907917459599918,0.3141252745154445,0.13837065457601047,3.4170963147878983,0.270852678731388,-0.03267901257075945,-0.003083313599805182,False,0,True,7.2,,masked_evaluation
3,1,1,12311,35794.991137466626,-17773.155973711633,54,6.96968048241747,5.305285186152176,0.9440168497188799,0.94195777965488,45.00328282828283,45.43238857358409,126.53886825078025,6.928353819643213,5.325829933217608,0.9472473908434569,0.9490423996287991,46.09090909090909,46.89708706914461,144.0,131.28875663713634,0.07272727272727272,0.07272727272727272,0.9803618978455579,0.8317793727301444,0.34824475012830874,0.8357894736842105,-0.3987583464885887,0.31249241553320417,0.1217045557877929,3.415247594642977,0.27135306652976704,-0.04132666277425656,-0.003230541124576991,False,0,True,7.1,,masked_evaluation
3,2,0,12320,35754.93532664026,-17753.12806829845,54,6.942535861346323,5.265678465357644,0.9458654145754265,0.9450231199390536,45.12348484848485,45.605833079673246,134.59321477315348,6.937997020853927,5.190233573615122,0.9420807666779324,0.9475037898659009,45.61010101010101,46.03825345769122,119.0,123.66877702079194,0.06161616161616162,0.06161616161616162,0.9737069650073232,0.7927652022968308,0.3480798307859209,0.8321052631578948,-0.3934240396006363,0.3199859684567549,0.11706558125228776,3.4154104500639746,0.27117822775857764,-0.004538840492395835,0.003784647897494109,False,0,True,7.2,,masked_evaluation
3,2,1,12321,35789.88827068545,-17770.604540321045,54,6.994150097289001,5.342619363202701,0.9451929171143325,0.943816538013975,45.12348484848485,45.61073984867598,127.6719483213763,7.039335107139648,5.262641224733553,0.9403020763720434,0.9437649232224351,45.61010101010101,45.89271966401579,119.0,129.37695181070055,0.06161616161616162,0.06161616161616162,0.976212744181122,0.8028902518830764,0.3469804458454753,0.8268421052631579,-0.402481572451189,0.33464971545284133,0.116892280962192,3.4159214597148906,0.27086649283055125,0.04518500985064655,0.004890840742289071,False,0,True,7.2,,masked_evaluation
5,0,0,12500,34536.808761075445,-17072.68464763323,85,5.669867082755103,4.3674145610172115,0.9635060358887391,0.9643282636054087,45.2510101010101,45.69392009594414,134.64309393578807,5.842249907051844,4.337207916068079,0.9629140016500539,0.9604771860857018,45.1,45.959300573428315,112.0,117.33126579915418,0.07575757575757576,0.07575757575757576,0.992816029143898,0.9320601682568159,0.3310064767941844,0.8473684210526315,-0.38515262796678224,0.2885307176425841,0.07055531774949626,3.394137900078764,0.1915875746550982,0.1723828242967409,0.0005920342386851463,False,0,True,7.6,,masked_evaluation
5,0,1,12501,34538.864628043564,-17073.71258111729,85,5.667698890912404,4.295630741159006,0.963393575019959,0.9645975980959669,45.2510101010101,45.628315185285686,138.47661320275319,5.734392888274319,4.283141958812403,0.9640654794868447,0.9609630497182264,45.1,45.86012212074655,112.0,107.46044106190669,0.07575757575757576,0.07575757575757576,0.9944626593806921,0.9395129306267382,0.33120545332106116,0.8436842105263158,-0.3755483318269578,0.29236233125490946,0.06483066023288588,3.3953143384584763,0.19216501779312753,0.06669399736191473,-0.0006719044668856977,False,0,True,7.6,,masked_evaluation
5,1,0,12510,34527.462283216955,-17068.011408703984,85,5.736901915302625,4.354436383013356,0.9625065273700102,0.9629269597684911,45.00328282828283,45.46079198336805,135.47423334569635,5.679718810449174,4.368100150837557,0.9650857753957692,0.9660353342940223,46.09090909090909,46.89174411997081,144.0,140.12104321800882,0.07272727272727272,0.07272727272727272,0.991663640764948,0.9018199376561378,0.32877064324655497,0.8478947368421053,-0.4151884299075857,0.28243267478341194,0.0725809947376178,3.39459568107362,0.19163202664790163,-0.05718310485345146,-0.00257924802575904,False,0,True,7.7,,masked_evaluation
5,1,1,12511,34521.75285067556,-17065.156692433287,85,5.704737027338386,4.330731830179566,0.9628450296460727,0.9633752893923392,45.00328282828283,45.41848210073868,131.22948956852233,5.675060659686279,4.396449845438953,0.965302614943761,0.9668154692046206,46.09090909090909,46.95210486991374,144.0,135.45945495899096,0.07272727272727272,0.07272727272727272,0.989454732510288,0.8868859721708925,0.33160299075792093,0.8457894736842105,-0.39514739749686145,0.3197512338974193,0.11987984117659771,3.393513143646448,0.1915393386814345,-0.02967636765210724,-0.0024575852976883583,False,0,True,7.6,,masked_evaluation
