replicate,start_label,iteration,column,candidate_optimizer,previous_family,selected_family,margin_neg2,changed,all_candidates_converged,score_bernoulli,score_poisson,bernoulli_optimizer,bernoulli_n_iter,bernoulli_converged,bernoulli_grad_inf,bernoulli_scipy_success,bernoulli_scipy_status,poisson_optimizer,poisson_n_iter,poisson_converged,poisson_grad_inf,poisson_scipy_success,poisson_scipy_status,selected_candidate_family,selected_candidate_score,selected_loading,selected_loading_sha256,loading_installation_policy,selected_loading_installed,installed_loading_sha256,family_x_true
rep1,start_B,6,2,bfgs,bernoulli,bernoulli,24.75589778452563,False,True,-26.71401569372457,-39.091964585987384,bfgs,6,True,4.1850478638139063e-11,True,0,bfgs,7,True,4.4784511654683003e-10,False,2,bernoulli,-26.71401569372457,-0.20158097816936879|-0.23594503346213042|0.39798345467113555,82cc9b8816e1453c9647e9b0934d27bf53a5741fd4f3565905666e78cc3b626d,selected_candidate_loading,True,82cc9b8816e1453c9647e9b0934d27bf53a5741fd4f3565905666e78cc3b626d,bernoulli
rep1,start_B,6,3,bfgs,bernoulli,bernoulli,24.302699128037858,False,True,-27.157741180314815,-39.309090744333744,bfgs,7,True,6.939382402038064e-12,True,0,bfgs,7,True,1.3260073594700827e-12,True,0,bernoulli,-27.157741180314815,0.081303119031776339|-0.30441302712215124|-0.076878004333316499,ff16b646184f64a0f6583ccbcf518086f1ea97bc524113c55bc0d7dcd4c90c47,selected_candidate_loading,True,ff16b646184f64a0f6583ccbcf518086f1ea97bc524113c55bc0d7dcd4c90c47,bernoulli
rep1,start_B,7,2,bfgs,bernoulli,bernoulli,24.381263033095863,False,True,-26.866031905193374,-39.056663421741305,bfgs,7,True,7.168668991752725e-11,True,0,bfgs,7,True,1.4770218381698896e-10,False,2,bernoulli,-26.866031905193374,-0.28496933434930688|-0.11770309424097948|0.32796426416066204,e99d2083e1d64c0d72a5d195028d426e55d3723c0bf8fc5b8ef3bccc6d2ad9be,selected_candidate_loading,True,e99d2083e1d64c0d72a5d195028d426e55d3723c0bf8fc5b8ef3bccc6d2ad9be,bernoulli
rep1,start_B,7,3,bfgs,bernoulli,bernoulli,24.7240260975438,False,True,-26.883602938365236,-39.245615987137136,bfgs,7,True,2.8946400831841855e-12,True,0,bfgs,8,True,3.0045008148071873e-12,True,0,bernoulli,-26.883602938365236,0.36271676680636483|-0.22018465133722448|-0.17076679276987647,2378f3a6b0d390255e24e42549e603a71265337e4d6b2405257b0e5434e4c06d,selected_candidate_loading,True,2378f3a6b0d390255e24e42549e603a71265337e4d6b2405257b0e5434e4c06d,bernoulli
rep1,start_B,8,2,bfgs,bernoulli,bernoulli,24.586604592162082,False,True,-26.972081167655983,-39.265383463737024,bfgs,6,True,9.463376748897189e-11,True,0,bfgs,8,True,2.1034285424548216e-12,True,0,bernoulli,-26.972081167655983,-0.1794969019065808|-0.13880223470723863|0.33001616159867175,e73a26e335dd5935b43b8a79c39b5e0d55e227646cd345c3ac5813d4414b1c05,selected_candidate_loading,True,e73a26e335dd5935b43b8a79c39b5e0d55e227646cd345c3ac5813d4414b1c05,bernoulli
rep1,start_B,8,3,bfgs,bernoulli,bernoulli,24.64045883533221,False,True,-27.067923210468088,-39.38815262813419,bfgs,7,True,1.971223184682458e-12,True,0,bfgs,8,True,7.503443977263658e-11,True,0,bernoulli,-27.067923210468088,0.17117931230926786|-0.25388798526368844|-0.17506990153465626,22f631012ce22b23731e3df5825324f107578d024948d100d1eff4ffa67863d5,selected_candidate_loading,True,22f631012ce22b23731e3df5825324f107578d024948d100d1eff4ffa67863d5,bernoulli
rep1,start_P,1,2,bfgs,poisson,bernoulli,25.009493948251617,True,False,-27.26403759298217,-39.76878456710798,bfgs,10,False,1.4366490619366345e-08,False,2,bfgs,8,True,1.264236715314837e-10,False,2,bernoulli,-27.26403759298217,0.23321618737949013|-0.19691141118391503|0.072554990744137376,06bfb81926dbf4404ad435c3bd6edf024e0d60d96dc24f732047da7d57032e35,selected_candidate_loading,True,06bfb81926dbf4404ad435c3bd6edf024e0d60d96dc24f732047da7d57032e35,bernoulli
rep1,start_P,1,3,bfgs,poisson,bernoulli,24.322584491520715,True,False,-27.420281731465444,-39.5815739772258,bfgs,7,True,1.8847234883878626e-11,True,0,bfgs,7,False,4.432643694873839e-08,False,2,bernoulli,-27.420281731465444,-0.18833816089567054|-0.1504638576955922|0.21946320267745423,25c0c73fccde9cf8a61210c1de3b1aab3d97839bcc7e32aece9f49ce97ccba8e,selected_candidate_loading,True,25c0c73fccde9cf8a61210c1de3b1aab3d97839bcc7e32aece9f49ce97ccba8e,bernoulli
rep1,start_P,2,2,bfgs,bernoulli,bernoulli,25.25602860881704,False,True,-26.642237722809636,-39.270252027218156,bfgs,6,True,1.8492169462369646e-10,False,2,bfgs,8,True,8.229583681185204e-12,True,0,bernoulli,-26.642237722809636,0.17372094608481223|-0.3208977280922003|0.28892697577168314,b5cb07d2446ee34fb2f17a259cb6caea96129b3bffd1bfddce91e92334ee4d93,selected_candidate_loading,True,b5cb07d2446ee34fb2f17a259cb6caea96129b3bffd1bfddce91e92334ee4d93,bernoulli
rep1,start_P,2,3,bfgs,bernoulli,bernoulli,26.213693822341206,False,True,-26.257588337711145,-39.36443524888175,bfgs,7,True,1.1356724893829551e-09,False,2,bfgs,7,True,3.154839056662695e-10,False,2,bernoulli,-26.257588337711145,-0.63568671513251007|-0.15400741123397577|0.40350692741283933,abfddd48721ee6745a90d22e59f570ed98a65afc0c21c527bed74f0792278693,selected_candidate_loading,True,abfddd48721ee6745a90d22e59f570ed98a65afc0c21c527bed74f0792278693,bernoulli
rep1,start_P,3,2,bfgs,bernoulli,bernoulli,25.100439329921443,False,True,-26.573312852138827,-39.12353251709955,bfgs,7,True,3.543649818027461e-10,False,2,bfgs,9,True,5.451905593645279e-11,True,0,bernoulli,-26.573312852138827,-0.047739259901024518|-0.32300046920922665|0.42853565977061014,2d9daf4ea8a18f813d3e4cc944ba2751551d20c1ec835b029499afe4926d42a7,selected_candidate_loading,True,2d9daf4ea8a18f813d3e4cc944ba2751551d20c1ec835b029499afe4926d42a7,bernoulli
rep1,start_P,3,3,bfgs,bernoulli,bernoulli,24.44750826183776,False,True,-27.17170548675198,-39.39545961767086,bfgs,7,True,1.9227685554845663e-10,False,2,bfgs,10,True,9.730332067858782e-10,False,2,bernoulli,-27.17170548675198,-0.31692940545532383|-0.24372554354650566|0.19615149792571118,a7a18623cfb39d185d1a29055513678d17b8a6dc9d512b68a7811f367efa889f,selected_candidate_loading,True,a7a18623cfb39d185d1a29055513678d17b8a6dc9d512b68a7811f367efa889f,bernoulli
rep1,start_P,4,2,bfgs,bernoulli,bernoulli,25.45197692401218,False,True,-26.575121321564144,-39.30110978357023,bfgs,7,True,9.525491506678917e-13,True,0,bfgs,10,True,2.686013633734774e-10,False,2,bernoulli,-26.575121321564144,-0.03070627281903902|-0.37137629379035347|0.3950560011066262,96d26e959b7d2164a3aa9a2ffcf482bbaf6bad2026815b26ff314e64f06479ce,selected_candidate_loading,True,96d26e959b7d2164a3aa9a2ffcf482bbaf6bad2026815b26ff314e64f06479ce,bernoulli
rep1,start_P,4,3,bfgs,bernoulli,bernoulli,25.083649763356682,False,True,-26.824009854688104,-39.365834736366445,bfgs,6,True,1.3697309952931391e-10,False,2,bfgs,8,True,7.393891908458183e-10,False,2,bernoulli,-26.824009854688104,-0.24445875079558232|-0.43795212532854283|0.16394355034738736,f68bed2b3bc2b53d84bdfeda0261088d8571239d372a2bd50dcd745388a1eb9e,selected_candidate_loading,True,f68bed2b3bc2b53d84bdfeda0261088d8571239d372a2bd50dcd745388a1eb9e,bernoulli
rep1,start_P,5,2,bfgs,bernoulli,bernoulli,24.346906216966822,False,True,-26.7780433439337,-38.95149645241711,bfgs,6,True,8.062652767648614e-11,True,0,bfgs,7,True,7.120588563225283e-11,True,0,bernoulli,-26.7780433439337,-0.070674136543488114|-0.32066049837924721|0.38529230703055622,f2f4e21df4bc079fcd2d7143cd886f8a15ebdda2a321e395c32b7bc111dd0324,selected_candidate_loading,True,f2f4e21df4bc079fcd2d7143cd886f8a15ebdda2a321e395c32b7bc111dd0324,bernoulli
rep1,start_P,5,3,bfgs,bernoulli,bernoulli,24.211453734004607,False,True,-26.800009278638733,-38.905736145641036,bfgs,6,True,1.2663727844142158e-10,False,2,bfgs,8,True,9.339669038155307e-11,True,0,bernoulli,-26.800009278638733,-0.19197242913697229|-0.4539764936418012|0.10950850348617644,d2375390ce5dfbca59cf90d3e986ce5027eb5edd111a675ee5026868aadf02bd,selected_candidate_loading,True,d2375390ce5dfbca59cf90d3e986ce5027eb5edd111a675ee5026868aadf02bd,bernoulli
rep1,start_P,6,2,bfgs,bernoulli,bernoulli,24.808012807091828,False,True,-26.83249911759308,-39.236505521138994,bfgs,7,True,6.508882322009413e-12,True,0,bfgs,7,True,8.034275023049986e-10,False,2,bernoulli,-26.83249911759308,-0.17607697077256912|-0.26249012967525326|0.37303741025606807,aadcb2c3d31838b2bab804c66eb9cdf65b2794aacdbdc664871cf62b4dd0f792,selected_candidate_loading,True,aadcb2c3d31838b2bab804c66eb9cdf65b2794aacdbdc664871cf62b4dd0f792,bernoulli
rep1,start_P,6,3,bfgs,bernoulli,bernoulli,24.1274161025568,False,True,-27.1743619678973,-39.2380700191757,bfgs,6,True,1.403416804990343e-09,False,2,bfgs,7,True,1.4337198095404347e-10,False,2,bernoulli,-27.1743619678973,-0.046441755857495985|-0.33739932471641826|-0.0016809076092270325,9889402048ceeb23e1c9b6b7d8d94c01c66e195c9d899dc9609d41194eddb51e,selected_candidate_loading,True,9889402048ceeb23e1c9b6b7d8d94c01c66e195c9d899dc9609d41194eddb51e,bernoulli
rep1,start_P,7,2,bfgs,bernoulli,bernoulli,24.178628366621403,False,True,-27.25142930195374,-39.34074348526444,bfgs,7,True,4.9518178446561476e-11,True,0,bfgs,8,True,3.3281155609188318e-12,True,0,bernoulli,-27.25142930195374,-0.16985386340065217|-0.13436447862590412|0.25255208365473941,82c416ba6e3a2e51741119f8c1f6ab88a0d4f3800a02b2e3f536601886ba4d9f,selected_candidate_loading,True,82c416ba6e3a2e51741119f8c1f6ab88a0d4f3800a02b2e3f536601886ba4d9f,bernoulli
rep1,start_P,7,3,bfgs,bernoulli,bernoulli,24.585740039469684,False,True,-26.749254768883226,-39.04212478861807,bfgs,7,True,9.246492460590616e-12,True,0,bfgs,7,True,3.1611546713605778e-12,True,0,bernoulli,-26.749254768883226,0.16897102515135423|-0.40705522772980357|-0.12174954488292536,fc6ebee1ad6bb24569423a3e44e82a18565953aa09616e57ed2bdde493d59955,selected_candidate_loading,True,fc6ebee1ad6bb24569423a3e44e82a18565953aa09616e57ed2bdde493d59955,bernoulli
rep1,start_P,8,2,bfgs,bernoulli,bernoulli,24.23498289027993,False,True,-27.107696144189436,-39.2251875893294,bfgs,6,True,4.6827874911059556e-12,True,0,bfgs,9,True,3.2317259979208756e-12,True,0,bernoulli,-27.107696144189436,-0.18459150471329927|-0.14096435596070994|0.29876295861478269,b5b5dbb0ba2f67578bfd810e9c1687a5af958c0991adfdc2d974c75a17b452c2,selected_candidate_loading,True,b5b5dbb0ba2f67578bfd810e9c1687a5af958c0991adfdc2d974c75a17b452c2,bernoulli
rep1,start_P,8,3,bfgs,bernoulli,bernoulli,24.41679332167307,False,True,-26.97954630779637,-39.1879429686329,bfgs,7,True,2.718747449392822e-10,False,2,bfgs,7,True,1.7941420571432333e-11,True,0,bernoulli,-26.97954630779637,-0.095407647621391117|-0.3312733214497226|-0.13129530062747219,1aa62a72f5f4e7142ef11300b1e1d6711b1a3c4d248fb7ffe9090382fc281d67,selected_candidate_loading,True,1aa62a72f5f4e7142ef11300b1e1d6711b1a3c4d248fb7ffe9090382fc281d67,bernoulli
