dataset,experiment,n,d,family_x,family_y,y_type,y_density,n_positive,evaluation_mode,k_evaluated,best_k_BIC,best_k_AP_AUC,best_k_NMI,primary_metric,primary_value_best_k,random_baseline,over_random,nan_count,total_fits,success_rate,notes
Wine,wine_fixed_pilot,178,13,gaussian,bernoulli,binary,0.3380,5324,in-sample,"1,2,3,4,5,6,7,8,9",3,3,3,AP_Y(in-sample),1.000,—,—,0,45,1.0,Y is label-derived (not natural network); BIC correctly selects k=3 matching 3 wine classes
Cora,cora_balanced_k_sweep,280,50,bernoulli,bernoulli,binary,0.011,433,in-sample,"1,2,3,4,5,6",1,6,3,AP_Y(in-sample k=6),0.287,—,—,0,18,1.0,BIC selects k=1 (sparse Y → penalty too large); AP/AUC best at k=6; NMI/ARI best at k=3
Cora,cora_heldout_link_prediction,280,50,bernoulli,bernoulli,binary,0.011,347,held-out (strict),"3,6",—,6,3,test_AP(k=6),0.463,0.167,2.78x,0,12,1.0,test_edge_ratio=0.2; neg_ratio=5; random_AP=1/6=0.167; test_AP=2.78x random
MovieLens,movielens_poisson_pilot,100,19,bernoulli,poisson,count,1.000,4950,in-sample (all pairs positive),"2,3,5",5,5,3,Pearson_Y(k=5),0.963,—,—,0,9,1.0,All Y_count>0; var/mean=9.89 (overdispersion); count regression not link prediction; k=5 best BIC/Pearson/RMSE
MovieLens,movielens_heldout_count,100,19,bernoulli,poisson,count,1.000,4950,masked_evaluation (not strict held-out),"3,5",—,5,3,test_Pearson(k=5),0.964,—,—,0,12,1.0,Strict held-out not possible (no pair mask in API); train on all pairs; eval split into train/test; test_RMSE approx same as train_RMSE
MovieLens,movielens_bernoulli_t80_pilot (in-sample),100,19,bernoulli,bernoulli,binary,0.069,340,in-sample,"2,3,5",2,5,3,AP_Y(in-sample k=5),0.880,0.069,12.8x,0,9,1.0,Y_count>=80 binarization; density=0.069; auxiliary experiment for comparison with Cora; main result is Poisson Y
MovieLens,movielens_bernoulli_t80_pilot (held-out),100,19,bernoulli,bernoulli,binary,0.069,340,held-out (strict),"3,5",—,3,3,test_AP(k=3),0.832,0.167,5.0x,0,12,1.0,test_edge_ratio=0.2; neg_ratio=5; k=3 best held-out AP; density 6x higher than Cora so easier task
