split,model_seed,condition,n_cols_used,family_note,k,L,num_iter,family_y,numerics_mode,test_y_ll,test_y_rmse,test_spearman,test_pearson,test_n_pairs,train_y_ll,train_y_rmse,train_spearman,w0,w,nan_occurred,nan_count,internal_retry,q_bic_failed,n_warnings,validate_support_passed,runtime_s,movie_set_hash,x_input_hash,y_train_hash,y_test_hash
0,131001,mixed_train_log,22,"bernoulli*19 + gaussian(mean_rating_train_z, year_z, log_count_train_z)",3,5,8,poisson,consistent,-3.222426606907857,6.053592885858038,0.8577590096783808,0.8636094309127492,4950,-2.777432933014456,3.78338537316548,0.9349571874125462,2.664635362896976,0.29331545892264954,False,0,0,False,0,True,11.42,bf947f06a2e239a8333f53587498fe7ddd86e7dce3d2ee249df50faa3b5dc6ed,9ad392171ae43f13bc2ddc60b585226630e5a6714cb19f00cc7878bb5ac7f1f3,07434749c73728f48b4fd8617f3f6c135b067a0dd1e065f7df7993bdc8cb6fae,fc2137f4b2bfcc5615b2aa08b9c47d57c686ffb1142280ff668d82cefce32f35
0,131001,mixed_train_raw_poisson,22,"bernoulli*19 + gaussian(mean_rating_train_z, year_z) + poisson(count_train_raw)",3,5,8,poisson,consistent,-3.2831568197040504,6.229875891239374,0.849640428654506,0.857762376262138,4950,-2.931324222681346,4.5513021493637424,0.9037795974730999,2.4366734988228376,0.34212083221317025,False,0,0,False,0,True,13.3,bf947f06a2e239a8333f53587498fe7ddd86e7dce3d2ee249df50faa3b5dc6ed,d6b4e2e9bbec195848c0611e8cfcc31d84cad0388a696d5ae6fbd5311195f39f,07434749c73728f48b4fd8617f3f6c135b067a0dd1e065f7df7993bdc8cb6fae,fc2137f4b2bfcc5615b2aa08b9c47d57c686ffb1142280ff668d82cefce32f35
1,131010,y_only,0,"X unused (fix_x=True, F fixed at 0); genre19 array passed",3,5,8,poisson,consistent,-3.228833640589437,6.038801053666954,0.8507336532020093,0.8351879028920538,4950,-2.8129566489382984,4.018682475051382,0.9231422915099894,2.7563846514005235,0.2639781161714418,False,0,0,False,0,True,8.01,04346f68e3f92251c6e7b79eaa3280db4f642084213d865b01115ba92c282524,818fb9cbfd471166036f456d3b1c4fab5e4450d7ebb3e5c70699d83a927ca9df,82dac169a303585940acbc8662ab7cf09eb791767232aba7fb363d244e838031,11e80f6848b57e47014d39158912b18afb974c36874610fb8e1584e067ef6167
1,131010,genre_only,19,bernoulli*19,3,5,8,poisson,consistent,-3.209964421081945,5.984675917627559,0.8531449049231931,0.8372729384154066,4950,-2.805701736577851,3.9912869877180124,0.9249287559759487,2.7255389619081147,0.2701815260478126,False,0,0,False,0,True,9.33,04346f68e3f92251c6e7b79eaa3280db4f642084213d865b01115ba92c282524,818fb9cbfd471166036f456d3b1c4fab5e4450d7ebb3e5c70699d83a927ca9df,82dac169a303585940acbc8662ab7cf09eb791767232aba7fb363d244e838031,11e80f6848b57e47014d39158912b18afb974c36874610fb8e1584e067ef6167
1,131010,genre_year,20,bernoulli*19 + gaussian(year_z),3,5,8,poisson,consistent,-3.1984913460841873,5.924710776310676,0.8552820001756001,0.8408696802766595,4950,-2.8066011476387387,3.988986401700548,0.9248212301840838,2.724835552823394,0.2700241850613902,False,0,0,False,0,True,11.32,04346f68e3f92251c6e7b79eaa3280db4f642084213d865b01115ba92c282524,ee0145a13cda7c1141ae28a03f44054a56afc7da35003d22f17ddc5a915efc8c,82dac169a303585940acbc8662ab7cf09eb791767232aba7fb363d244e838031,11e80f6848b57e47014d39158912b18afb974c36874610fb8e1584e067ef6167
1,131010,genre_logcount_train,20,bernoulli*19 + gaussian(log_count_train_z),3,5,8,poisson,consistent,-3.1933490226122005,5.8735296828374635,0.8554196302113,0.8431059632021028,4950,-2.8047156051164532,3.9836405003207633,0.9246609110012325,2.726144557852201,0.2701341955999593,False,0,0,False,0,True,11.34,04346f68e3f92251c6e7b79eaa3280db4f642084213d865b01115ba92c282524,a8541c457ec6ae1c1b0bcc7fd52770b33039a212145ff179b9d90698ef6a0d46,82dac169a303585940acbc8662ab7cf09eb791767232aba7fb363d244e838031,11e80f6848b57e47014d39158912b18afb974c36874610fb8e1584e067ef6167
1,131010,mixed_train_log,22,"bernoulli*19 + gaussian(mean_rating_train_z, year_z, log_count_train_z)",3,5,8,poisson,consistent,-3.1918173383116075,5.884024319445944,0.8561491019444147,0.8424973479555857,4950,-2.805643374870548,3.984820596141077,0.9246846135523766,2.7279324958168565,0.269497072036125,False,0,0,False,0,True,11.52,04346f68e3f92251c6e7b79eaa3280db4f642084213d865b01115ba92c282524,5bc536c43bcb1baeb9ce668bc50b742b9475182e6ad870c564ce8789b10a5657,82dac169a303585940acbc8662ab7cf09eb791767232aba7fb363d244e838031,11e80f6848b57e47014d39158912b18afb974c36874610fb8e1584e067ef6167
1,131010,mixed_train_raw_poisson,22,"bernoulli*19 + gaussian(mean_rating_train_z, year_z) + poisson(count_train_raw)",3,5,8,poisson,consistent,-3.3568816910220063,6.409271192940555,0.8123065907768549,0.8060664784175736,4950,-2.9639437127525654,4.76699204401661,0.88952978863949,2.500588280226947,0.3201846618591201,False,0,0,False,0,True,13.29,04346f68e3f92251c6e7b79eaa3280db4f642084213d865b01115ba92c282524,6e1ba1a4c4cf850dedb4a0cf219ed993311f695fb9ab7adc74340c40dfbc1b6c,82dac169a303585940acbc8662ab7cf09eb791767232aba7fb363d244e838031,11e80f6848b57e47014d39158912b18afb974c36874610fb8e1584e067ef6167
1,131011,y_only,0,"X unused (fix_x=True, F fixed at 0); genre19 array passed",3,5,8,poisson,consistent,-3.226421087651453,5.9533739525124005,0.8528602281025937,0.8408579520166984,4950,-2.814002964335533,4.004766127472442,0.9228906327815031,2.7590260680259107,0.26300186099880235,False,0,0,False,0,True,7.92,04346f68e3f92251c6e7b79eaa3280db4f642084213d865b01115ba92c282524,818fb9cbfd471166036f456d3b1c4fab5e4450d7ebb3e5c70699d83a927ca9df,82dac169a303585940acbc8662ab7cf09eb791767232aba7fb363d244e838031,11e80f6848b57e47014d39158912b18afb974c36874610fb8e1584e067ef6167
1,131011,genre_only,19,bernoulli*19,3,5,8,poisson,consistent,-3.2125183144602927,5.9463315617813235,0.8542090195063301,0.8403938339375485,4950,-2.804186782545157,3.981252232532378,0.9251552659257953,2.72687773483625,0.2701652909033945,False,0,0,False,0,True,9.27,04346f68e3f92251c6e7b79eaa3280db4f642084213d865b01115ba92c282524,818fb9cbfd471166036f456d3b1c4fab5e4450d7ebb3e5c70699d83a927ca9df,82dac169a303585940acbc8662ab7cf09eb791767232aba7fb363d244e838031,11e80f6848b57e47014d39158912b18afb974c36874610fb8e1584e067ef6167
