kind,name,metric,n,mean,median,min,max,count_positive,std,abs_mean,spread_to_abs_mean_ratio,p10,p90
condition,y_only,test_y_ll,30,-3.3888225359487096,-3.296100090675795,-4.743889430779362,-3.139544805021502,0,0.29696587410040676,3.3888225359487096,0.08763099010059858,-3.546423547420198,-3.220148315947788
condition,y_only,test_y_rmse,30,6.59385256657996,6.263937832959298,5.484549126821085,11.57479475070915,30,1.0906422408199592,6.59385256657996,0.1654028854614873,5.97804914847768,7.285188288121264
condition,y_only,test_spearman,30,0.8377814322134718,0.8454622351569886,0.7719632657190654,0.8673029141943605,30,0.023051842863071804,0.8377814322134718,0.027515342279868116,0.8083165144246492,0.8611033736213729
condition,y_only,train_y_ll,30,-2.800351995134988,-2.7997495242610118,-2.835987942058071,-2.752383281870568,0,0.019318905786575875,2.800351995134988,0.006898741951061273,-2.8282888639401667,-2.7763709954999247
condition,genre_only,test_y_ll,30,-3.376385364082958,-3.288062991953441,-4.692530664496447,-3.123454441165135,0,0.2896674974924997,3.376385364082958,0.08579219083636051,-3.537080102543224,-3.210513458103652
condition,genre_only,test_y_rmse,30,6.565945586400527,6.22752180603208,5.468021895663795,11.48812840951254,30,1.0832599479517053,6.565945586400527,0.16498156033997108,5.954507832411221,7.287962126185029
condition,genre_only,test_spearman,30,0.8399277137414806,0.8471157614053654,0.7749386243193015,0.8703201089931685,30,0.022983695647922544,0.8399277137414806,0.02736389724008636,0.8113567735483459,0.8651643137580882
condition,genre_only,train_y_ll,30,-2.7902160892062002,-2.7903779722233373,-2.8255285046883696,-2.742553785428996,0,0.01910617757746177,2.7902160892062002,0.006847561968900181,-2.816485836632822,-2.767621611771203
condition,genre_year,test_y_ll,30,-3.378607696105452,-3.2860577780426024,-4.705830323134322,-3.122626598276753,0,0.2919006676518519,3.378607696105452,0.08639673318341402,-3.5405499609514575,-3.206060650056088
condition,genre_year,test_y_rmse,30,6.5768267154658275,6.235509166591235,5.448491381796124,11.534447579810394,30,1.0891226424075018,6.5768267154658275,0.16560002103238639,5.939979843087074,7.282108001744891
condition,genre_year,test_spearman,30,0.8395539792862533,0.8474230122821897,0.772038338938249,0.866895119509969,30,0.02321716190250596,0.8395539792862533,0.02765416218054737,0.8108857488211841,0.8650920358188222
condition,genre_year,train_y_ll,30,-2.790497941082443,-2.790656757520247,-2.8239520648448884,-2.7424970156294384,0,0.018863067228990983,2.790497941082443,0.006759749559848784,-2.815458427224057,-2.7684842857519416
condition,genre_logcount_train,test_y_ll,30,-3.374146770244512,-3.283013624470458,-4.692926661561036,-3.121343623212114,0,0.2898698928748812,3.374146770244512,0.08590909424306857,-3.5354255763080675,-3.200566528006384
condition,genre_logcount_train,test_y_rmse,30,6.558095347290249,6.217336537858431,5.452208009681436,11.499043946297782,30,1.0847340624818518,6.558095347290249,0.1654038261169922,5.864034774708678,7.227203143811148
condition,genre_logcount_train,test_spearman,30,0.8402101110748427,0.8473626052333518,0.7739461222083139,0.8680948755583744,30,0.023065176078868318,0.8402101110748427,0.02745167640194437,0.8118803738215121,0.8643479233902913
condition,genre_logcount_train,train_y_ll,30,-2.7904661477067956,-2.790440325180451,-2.8259265542601506,-2.7434040458242714,0,0.01907833518526451,2.7904661477067956,0.006836970662031891,-2.817404463660716,-2.768327221290052
condition,mixed_train_log,test_y_ll,30,-3.3721377335023246,-3.2843993470630934,-4.698660620401763,-3.1182161418916916,0,0.2914231426938759,3.3721377335023246,0.08642088957357086,-3.5216526754091144,-3.2116339627030426
condition,mixed_train_log,test_y_rmse,30,6.553802260891208,6.208694780306406,5.448235227335167,11.49602752228541,30,1.0846194976954635,6.553802260891208,0.16549469369372968,5.902350580506838,7.263114544283308
condition,mixed_train_log,test_spearman,30,0.8405056080170075,0.8488231674216932,0.7750133143417889,0.8686630400859836,30,0.022826024720157278,0.8405056080170075,0.02715749246933686,0.8133422394160486,0.8644771706731218
condition,mixed_train_log,train_y_ll,30,-2.7910880365692967,-2.7918233117003943,-2.8276620759452475,-2.7438667327810125,0,0.0190390071956965,2.7910880365692967,0.006821356741974557,-2.8173350314820147,-2.7685383566188677
condition,mixed_train_raw_poisson,test_y_ll,30,-3.472411260264196,-3.401990066728131,-4.791158389362375,-3.2118060481963555,0,0.2832509110472806,3.472411260264196,0.08157182137052789,-3.659286488180308,-3.2852536650492
condition,mixed_train_raw_poisson,test_y_rmse,30,6.865947116329533,6.582472566792614,5.8678481243734435,11.798709910862165,30,1.0618307671752594,6.865947116329533,0.15465175440251622,6.176001879318488,7.568969616354658
