K,replicate_1_mean,replicate_2_mean,replicate_3_mean,mean_across_replicates,std_across_replicates,min_across_replicates,max_across_replicates
1,-0.5968734653278507,-0.5926943015999504,-0.5894559001179978,-0.5930078890152662,0.0037187123054746377,-0.5968734653278507,-0.5894559001179978
2,-0.5107423167969198,-0.5140296779938685,-0.5359130170361646,-0.520228337275651,0.013682418291449793,-0.5359130170361646,-0.5107423167969198
3,-0.4601178318844625,-0.4698922425862033,-0.48549316259490705,-0.47183441235519097,0.012798666716685175,-0.48549316259490705,-0.4601178318844625
4,-0.48856019445744736,-0.47852779936992007,-0.48410235376247734,-0.48373011586328163,0.005026545393036721,-0.48856019445744736,-0.47852779936992007
5,-0.5511118570650695,-0.5050835362213488,-0.4833578857131504,-0.5131844263331896,0.03459578693919618,-0.5511118570650695,-0.4833578857131504
6,-0.5442033319954949,-0.5323292243815313,-0.5511231370946699,-0.5425518978238987,0.009505167798866287,-0.5511231370946699,-0.5323292243815313
7,-0.5766474435782887,-0.5599696236664153,-0.5773369349296404,-0.5713180007247814,0.009834027454458095,-0.5773369349296404,-0.5599696236664153
