replicate,K,start,data_seed,split_seed,model_seed,heldout_mean_log_score,Q_strict,retry,warnings,warning_count,q_failure,nan_occurred,finite_state,fit_status,x_hash,training_y_hash,train_mask_hash,test_mask_hash,fit_provenance_hash,target_topology_hash,score_target_hash,preprocessing_hash,score_config_hash,fit_config_hash
1,6,1,41001,42001,44061,-0.537417506923822,-2860.708379195472,0,,0,False,False,True,clean,7b70d89f1ee1f99cbbef3d882fe03b234937f2e87b6c566fb1df21d350f6a43c,9d1ee824349ca4631da6f58b8f53b0fd2da9049f4261b844207fa0a627e2dd98,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,ba24bc13536db54d1f69f6e462146e4e16a1d15d46bf4d5692b09c8356acc3ea,a826f7ab064bb4c2c142de42c3b82df047b7eec682b5a711dcd9408fde874645,150e6c43d371fc87ef05294f3c7bfea88acc822ef7ab701a91bb6f0bb5b7d68b,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,8e8b8cdd8e61aec5333212474591ce66a2fe32de5903c1d52ae88083feac9b29
1,6,2,41001,42001,44062,-0.5509891570671678,-2835.324584175005,0,,0,False,False,True,clean,7b70d89f1ee1f99cbbef3d882fe03b234937f2e87b6c566fb1df21d350f6a43c,9d1ee824349ca4631da6f58b8f53b0fd2da9049f4261b844207fa0a627e2dd98,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,ba24bc13536db54d1f69f6e462146e4e16a1d15d46bf4d5692b09c8356acc3ea,a826f7ab064bb4c2c142de42c3b82df047b7eec682b5a711dcd9408fde874645,150e6c43d371fc87ef05294f3c7bfea88acc822ef7ab701a91bb6f0bb5b7d68b,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,cb720dc1801e59428e80e84debd6c07d94209434074da5eccd578387be74ab79
1,7,1,41001,42001,44071,-0.627729920303359,-2908.5086562318584,0,,0,False,False,True,clean,7b70d89f1ee1f99cbbef3d882fe03b234937f2e87b6c566fb1df21d350f6a43c,9d1ee824349ca4631da6f58b8f53b0fd2da9049f4261b844207fa0a627e2dd98,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,ba24bc13536db54d1f69f6e462146e4e16a1d15d46bf4d5692b09c8356acc3ea,a826f7ab064bb4c2c142de42c3b82df047b7eec682b5a711dcd9408fde874645,150e6c43d371fc87ef05294f3c7bfea88acc822ef7ab701a91bb6f0bb5b7d68b,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,c88d1caaa6d197ed8020eeb8e47ef99da318a820eef49277fd032feb87ffface
1,7,2,41001,42001,44072,-0.5255649668532184,-2948.320719330951,0,,0,False,False,True,clean,7b70d89f1ee1f99cbbef3d882fe03b234937f2e87b6c566fb1df21d350f6a43c,9d1ee824349ca4631da6f58b8f53b0fd2da9049f4261b844207fa0a627e2dd98,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,ba24bc13536db54d1f69f6e462146e4e16a1d15d46bf4d5692b09c8356acc3ea,a826f7ab064bb4c2c142de42c3b82df047b7eec682b5a711dcd9408fde874645,150e6c43d371fc87ef05294f3c7bfea88acc822ef7ab701a91bb6f0bb5b7d68b,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,87158eee358472943c230cc925918c342e98c21c362bc784637262f2a4666dcc
2,1,1,41002,42002,45011,-0.592883752556166,-3292.5210643365003,0,,0,False,False,True,clean,f9838a7e47c44c2d0c29b5476c9da49566463bd3e5cb08b78d8787041f2fde31,109009099f797df5942c129b4f5541c2afb454299f0e35873f054a947bf3100e,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,8fdb97e69b6333e29cc7221bcfa970343a7675bad3e2cd7795af871b8a0f4402,2f6d3501cf95ff79f4cabee669be6d2c6852324112f3b6c40c4aab9db4f048c2,eda298e315fa6fea26371df36a9f7c6d595d61963510ff91d521f452da34957d,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,7c0d6fac693c57642b779b8dfe9bd2831c65953dbbef13eded1b371fe010718f
2,1,2,41002,42002,45012,-0.5925048506437349,-3309.6773453196242,0,,0,False,False,True,clean,f9838a7e47c44c2d0c29b5476c9da49566463bd3e5cb08b78d8787041f2fde31,109009099f797df5942c129b4f5541c2afb454299f0e35873f054a947bf3100e,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,8fdb97e69b6333e29cc7221bcfa970343a7675bad3e2cd7795af871b8a0f4402,2f6d3501cf95ff79f4cabee669be6d2c6852324112f3b6c40c4aab9db4f048c2,eda298e315fa6fea26371df36a9f7c6d595d61963510ff91d521f452da34957d,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,d5d78b47f0008540b44afb1315a51d3702978bde87f671f3ee093adb02295a60
2,2,1,41002,42002,45021,-0.5210069111051253,-2969.9133301680376,0,,0,False,False,True,clean,f9838a7e47c44c2d0c29b5476c9da49566463bd3e5cb08b78d8787041f2fde31,109009099f797df5942c129b4f5541c2afb454299f0e35873f054a947bf3100e,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,8fdb97e69b6333e29cc7221bcfa970343a7675bad3e2cd7795af871b8a0f4402,2f6d3501cf95ff79f4cabee669be6d2c6852324112f3b6c40c4aab9db4f048c2,eda298e315fa6fea26371df36a9f7c6d595d61963510ff91d521f452da34957d,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,ffef489199dd9246b35987964d863471dfbf057072c11ac2632ceeb0455ef9cf
2,2,2,41002,42002,45022,-0.5070524448826115,-2966.9493296622477,0,,0,False,False,True,clean,f9838a7e47c44c2d0c29b5476c9da49566463bd3e5cb08b78d8787041f2fde31,109009099f797df5942c129b4f5541c2afb454299f0e35873f054a947bf3100e,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,8fdb97e69b6333e29cc7221bcfa970343a7675bad3e2cd7795af871b8a0f4402,2f6d3501cf95ff79f4cabee669be6d2c6852324112f3b6c40c4aab9db4f048c2,eda298e315fa6fea26371df36a9f7c6d595d61963510ff91d521f452da34957d,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,ca2df27b5b278a098348aa5b3e6dd0622dfd1cd26d4e3d421481228a408bb207
2,3,1,41002,42002,45031,-0.4780034575055747,-2730.4018709219217,0,,0,False,False,True,clean,f9838a7e47c44c2d0c29b5476c9da49566463bd3e5cb08b78d8787041f2fde31,109009099f797df5942c129b4f5541c2afb454299f0e35873f054a947bf3100e,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,8fdb97e69b6333e29cc7221bcfa970343a7675bad3e2cd7795af871b8a0f4402,2f6d3501cf95ff79f4cabee669be6d2c6852324112f3b6c40c4aab9db4f048c2,eda298e315fa6fea26371df36a9f7c6d595d61963510ff91d521f452da34957d,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,ce20f2cb31088cfab3e188913fde42b02de69a040189393c758ac708e4b8433a
2,3,2,41002,42002,45032,-0.4617810276668319,-2730.4788496963847,0,,0,False,False,True,clean,f9838a7e47c44c2d0c29b5476c9da49566463bd3e5cb08b78d8787041f2fde31,109009099f797df5942c129b4f5541c2afb454299f0e35873f054a947bf3100e,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,8fdb97e69b6333e29cc7221bcfa970343a7675bad3e2cd7795af871b8a0f4402,2f6d3501cf95ff79f4cabee669be6d2c6852324112f3b6c40c4aab9db4f048c2,eda298e315fa6fea26371df36a9f7c6d595d61963510ff91d521f452da34957d,8c050737bf3c32619cc617a01e350826b4f343c196c484ae53f2f6bd2054b48b,aae47803a349add9823cd36ed45cc9c2d81bbee435af4c9d64cbb6359de0fa8b,0147003d07928b15d9601b14a7f605b9af848bf5cdd1da835fa4fcf08df55080
