criterion,K_TRUE,n,replicate,selected_k,tie_candidates,signed_error,abs_error,label,best_mean,mean_scores
S1,3,75,3,2,[2],-1,1,under,-0.5625404920782132,"{""1"": -0.5929347492002741, ""2"": -0.5625404920782132, ""3"": -0.5648868933844347, ""4"": -0.5917223802967141, ""5"": -0.5811083666281841, ""6"": -0.6392477383867612, ""7"": -0.6235350155515055}"
S2,3,75,3,3,[3],0,0,exact,-5880.373305910376,"{""1"": -6166.847069405163, ""2"": -5886.138252527282, ""3"": -5880.373305910376, ""4"": -6043.206558152413, ""5"": -6257.7194274816175, ""6"": -6445.329745292602, ""7"": -6626.913853015537}"
S3,3,75,3,7,[7],4,4,over,-3561.6705145964143,"{""1"": -4395.412111680584, ""2"": -3905.5272765525756, ""3"": -3694.402008292053, ""4"": -3613.4803376018654, ""5"": -3646.2896287540025, ""6"": -3645.0174266163704, ""7"": -3561.6705145964143}"
S1,3,75,4,3,[3],0,0,exact,-0.5434457262387876,"{""1"": -0.5804841806558867, ""2"": -0.5655674007227813, ""3"": -0.5434457262387876, ""4"": -0.5486700446205496, ""5"": -0.571907086639252, ""6"": -0.5712881245742885, ""7"": -0.6439562661128369}"
S2,3,75,4,3,[3],0,0,exact,-5758.679347336532,"{""1"": -6158.372177865226, ""2"": -5851.197489231503, ""3"": -5758.679347336532, ""4"": -5977.435436193223, ""5"": -6146.462762799856, ""6"": -6328.756455835223, ""7"": -6524.783164003079}"
S3,3,75,4,7,[7],4,4,over,-3361.1441740562427,"{""1"": -4284.499221100437, ""2"": -3767.0726277404465, ""3"": -3454.216222550235, ""4"": -3472.6316056079213, ""5"": -3371.127580871656, ""6"": -3400.2407521611576, ""7"": -3361.1441740562427}"
S1,3,100,1,3,[3],0,0,exact,-0.503918542315523,"{""1"": -0.5716796627051806, ""2"": -0.5459416122685052, ""3"": -0.503918542315523, ""4"": -0.5165290798817388, ""5"": -0.5246745938619406, ""6"": -0.5532707513355875, ""7"": -0.5547681589540724}"
S2,3,100,1,3,[3],0,0,exact,-8517.803931961873,"{""1"": -9398.788621144584, ""2"": -8802.671718934505, ""3"": -8517.803931961873, ""4"": -8748.825713354374, ""5"": -9008.96743537392, ""6"": -9263.056646252755, ""7"": -9502.385669061496}"
S3,3,100,1,7,[7],4,4,over,-5176.191280991174,"{""1"": -6780.619916206422, ""2"": -5904.570441136787, ""3"": -5325.675098010892, ""4"": -5300.335161978324, ""5"": -5231.255076657652, ""6"": -5247.270751467013, ""7"": -5176.191280991174}"
S1,3,100,2,2,[2],-1,1,under,-0.545440342957076,"{""1"": -0.5658251138765966, ""2"": -0.545440342957076, ""3"": -0.5514535210992175, ""4"": -0.5558894738663858, ""5"": -0.5603816225076675, ""6"": -0.5748956224466486, ""7"": -0.5715304900655185}"
S2,3,100,2,3,[3],0,0,exact,-8869.637822715751,"{""1"": -9099.773940423962, ""2"": -8876.033705890493, ""3"": -8869.637822715751, ""4"": -9133.531223528382, ""5"": -9367.891846713075, ""6"": -9638.11082120087, ""7"": -9878.794092038825}"
S3,3,100,2,7,[7],4,4,over,-6233.880878252163,"{""1"": -7149.354303162866, ""2"": -6655.103923580695, ""3"": -6349.054841742385, ""4"": -6321.082124675089, ""5"": -6307.664764770585, ""6"": -6269.130526930507, ""7"": -6233.880878252163}"
S1,3,100,3,3,[3],0,0,exact,-0.5523088017970008,"{""1"": -0.6087640542224828, ""2"": -0.5789913397375965, ""3"": -0.5523088017970008, ""4"": -0.5686629952849771, ""5"": -0.5888278032071385, ""6"": -0.6031037456374679, ""7"": -0.6114779507860021}"
S2,3,100,3,3,[3],0,0,exact,-8727.943202288832,"{""1"": -9423.214464715862, ""2"": -8981.63599103909, ""3"": -8727.943202288832, ""4"": -8963.078152979979, ""5"": -9222.090603875426, ""6"": -9502.698830426036, ""7"": -9748.000457549533}"
S3,3,100,3,7,[7],4,4,over,-5599.49083953546,"{""1"": -6972.264471951483, ""2"": -6248.127050994792, ""3"": -5704.5376559292345, ""4"": -5685.868513543495, ""5"": -5633.819789148874, ""6"": -5652.184575846087, ""7"": -5599.49083953546}"
S1,3,100,4,3,[3],0,0,exact,-0.5460569365821032,"{""1"": -0.602498428012707, ""2"": -0.5481333602493923, ""3"": -0.5460569365821032, ""4"": -0.5561052761721579, ""5"": -0.5593507294488311, ""6"": -0.5949488288921514, ""7"": -0.610566340716099}"
S2,3,100,4,3,[3],0,0,exact,-8936.722868163277,"{""1"": -9460.514297136113, ""2"": -9069.997329497985, ""3"": -8936.722868163277, ""4"": -9162.039782445245, ""5"": -9426.776083422857, ""6"": -9709.096000759964, ""7"": -9876.913701645197}"
S3,3,100,4,7,[7],4,4,over,-5932.6902086086975,"{""1"": -7199.439257204778, ""2"": -6502.794332224272, ""3"": -6073.317728293188, ""4"": -6079.3588128564525, ""5"": -6040.87743979344, ""6"": -6006.5318185717915, ""7"": -5932.6902086086975}"
S1,3,150,1,3,[3],0,0,exact,-0.5354405272752938,"{""1"": -0.5987753667388056, ""2"": -0.5724675568288519, ""3"": -0.5354405272752938, ""4"": -0.5502559556522612, ""5"": -0.5699987939274739, ""6"": -0.5718484505524115, ""7"": -0.5838629265750597}"
S2,3,150,1,3,[3],0,0,exact,-15915.743387814264,"{""1"": -17789.25098626969, ""2"": -16733.38504356044, ""3"": -15915.743387814264, ""4"": -16241.053530204448, ""5"": -16590.521918231076, ""6"": -16972.179715728846, ""7"": -17315.89356893045}"
S3,3,150,1,7,[7],4,4,over,-11070.689938448882,"{""1"": -14087.76646264879, ""2"": -12602.626737236358, ""3"": -11344.882472461362, ""4"": -11296.195507078577, ""5"": -11222.801667183065, ""6"": -11077.872013114435, ""7"": -11070.689938448882}"
S1,3,150,2,3,[3],0,0,exact,-0.5188618528288285,"{""1"": -0.5978895608809481, ""2"": -0.5452993042593755, ""3"": -0.5188618528288285, ""4"": -0.530345988440966, ""5"": -0.5321075729206113, ""6"": -0.5417803257677662, ""7"": -0.5660349308131567}"
S2,3,150,2,3,[3],0,0,exact,-15677.273032645015,"{""1"": -17733.302098110802, ""2"": -16485.864154369847, ""3"": -15677.273032645015, ""4"": -15982.26327213213, ""5"": -16331.276997994773, ""6"": -16676.32691544134, ""7"": -17048.29446539405}"
S3,3,150,2,7,[7],4,4,over,-10890.959458147936,"{""1"": -14070.027690673527, ""2"": -12380.332449915226, ""3"": -11161.89041770283, ""4"": -11045.119362253292, ""5"": -10982.34297730943, ""6"": -10921.31683282012, ""7"": -10890.959458147936}"
S1,3,150,3,3,[3],0,0,exact,-0.5124024419109834,"{""1"": -0.5762630942074284, ""2"": -0.5436581702296603, ""3"": -0.5124024419109834, ""4"": -0.5232510123429868, ""5"": -0.5371138253723629, ""6"": -0.5569485588794804, ""7"": -0.5498870837319421}"
S2,3,150,3,3,[3],0,0,exact,-15554.997035979166,"{""1"": -17458.60421956997, ""2"": -16344.397834733994, ""3"": -15554.997035979166, ""4"": -15873.711345510159, ""5"": -16209.034027090865, ""6"": -16554.3316637525, ""7"": -16946.51841269111}"
S3,3,150,3,7,[7],4,4,over,-10311.594687349974,"{""1"": -13376.648266913071, ""2"": -11839.077545920543, ""3"": -10592.887750976486, ""4"": -10509.6364724563, ""5"": -10365.123966642559, ""6"": -10352.089064763652, ""7"": -10311.594687349974}"
S1,3,150,4,3,[3],0,0,exact,-0.502529658812797,"{""1"": -0.5919118955982712, ""2"": -0.5500251462648504, ""3"": -0.502529658812797, ""4"": -0.5087436802707087, ""5"": -0.5359935981176982, ""6"": -0.5363876610791647, ""7"": -0.5641541831358869}"
S2,3,150,4,3,[3],0,0,exact,-15622.405524616284,"{""1"": -17563.241787129064, ""2"": -16439.6109512708, ""3"": -15622.405524616284, ""4"": -15984.082582532592, ""5"": -16363.160501974731, ""6"": -16681.83404412945, ""7"": -17096.990063392197}"
S3,3,150,4,7,[7],4,4,over,-10746.892973575043,"{""1"": -13771.503271813737, ""2"": -12249.028740476082, ""3"": -11012.699391125389, ""4"": -10912.883685650308, ""5"": -10879.800994896099, ""6"": -10771.29238065411, ""7"": -10746.892973575043}"
S1,5,50,1,2,[2],-3,3,under,-0.5702755748602526,"{""1"": -0.6016495635327548, ""2"": -0.5702755748602526, ""3"": -0.5945859002294533, ""4"": -0.6452490541465734, ""5"": -0.6484588579611734, ""6"": -0.679262871322601, ""7"": -0.6896174049138394}"
S2,5,50,1,2,[2],-3,3,under,-3474.1742013952326,"{""1"": -3499.356189935067, ""2"": -3474.1742013952326, ""3"": -3556.8304623637687, ""4"": -3626.093724540029, ""5"": -3723.3958642805355, ""6"": -3821.0066488924404, ""7"": -3970.266250827916}"
S3,5,50,1,6,[6],1,1,over,-2056.611133678718,"{""1"": -2419.028060459633, ""2"": -2264.119823987181, ""3"": -2196.209412171827, ""4"": -2117.1786046733678, ""5"": -2073.2591976235144, ""6"": -2056.611133678718, ""7"": -2073.346707670019}"
S1,5,50,2,1,[1],-4,4,under,-0.6332848157961604,"{""1"": -0.6332848157961604, ""2"": -0.6535469717448916, ""3"": -0.6631141958536843, ""4"": -0.681256308764117, ""5"": -0.6588946329899539, ""6"": -0.6600042184132042, ""7"": -0.6852248447517781}"
S2,5,50,2,1,[1],-4,4,under,-3429.4072814347787,"{""1"": -3429.4072814347787, ""2"": -3461.53820823416, ""3"": -3526.8272428848386, ""4"": -3639.899041137666, ""5"": -3765.5771970670908, ""6"": -3913.8295201367214, ""7"": -4039.6452015256764}"
S3,5,50,2,5,[5],0,0,exact,-2289.7478580784145,"{""1"": -2505.9719751445728, ""2"": -2394.3358254047616, ""3"": -2344.297012818911, ""4"": -2293.114448197829, ""5"": -2289.7478580784145, ""6"": -2291.101878471148, ""7"": -2326.505116874917}"
S1,5,50,3,1,[1],-4,4,under,-0.5890692890854634,"{""1"": -0.5890692890854634, ""2"": -0.614149691152326, ""3"": -0.6161621809727925, ""4"": -0.6285284778457421, ""5"": -0.5994325817892925, ""6"": -0.6634307771111481, ""7"": -0.6615856703358657}"
S2,5,50,3,1,[1],-4,4,under,-3611.706106504674,"{""1"": -3611.706106504674, ""2"": -3621.829843719913, ""3"": -3633.287077139871, ""4"": -3678.7954822629526, ""5"": -3763.594110875923, ""6"": -3899.4124086296024, ""7"": -4053.6903402828793}"
S3,5,50,3,6,[6],1,1,over,-2031.2870116473487,"{""1"": -2469.835305509292, ""2"": -2326.9964283967147, ""3"": -2209.980275227291, ""4"": -2097.5804250870747, ""5"": -2062.443996762324, ""6"": -2031.2870116473487, ""7"": -2064.135647643529}"
S1,5,50,4,3,[3],-2,2,under,-0.5886594493111541,"{""1"": -0.5972074169527801, ""2"": -0.5892321052669693, ""3"": -0.5886594493111541, ""4"": -0.6146186179310507, ""5"": -0.5887567419473427, ""6"": -0.6503373450137957, ""7"": -0.6043235064654784}"
S2,5,50,4,2,[2],-3,3,under,-3645.370267383419,"{""1"": -3654.27805278537, ""2"": -3645.370267383419, ""3"": -3651.524420118345, ""4"": -3720.7112839382303, ""5"": -3815.1169901950207, ""6"": -3974.3424386659162, ""7"": -4121.406242281948}"
S3,5,50,4,7,[7],2,2,over,-2124.8684569738944,"{""1"": -2532.881388416662, ""2"": -2417.8756086110143, ""3"": -2253.3453262867415, ""4"": -2167.563143187804, ""5"": -2141.5382577691003, ""6"": -2150.188368979492, ""7"": -2124.8684569738944}"
S1,5,50,5,2,[2],-3,3,under,-0.6012436916673929,"{""1"": -0.6069012132422836, ""2"": -0.6012436916673929, ""3"": -0.6122575140653026, ""4"": -0.6237536678075746, ""5"": -0.6525313625705196, ""6"": -0.6729521906495747, ""7"": -0.6288393659369543}"
S2,5,50,5,2,[2],-3,3,under,-3650.6853224001875,"{""1"": -3664.3392490531032, ""2"": -3650.6853224001875, ""3"": -3702.8175403823307, ""4"": -3749.8276551210133, ""5"": -3849.4520624487413, ""6"": -3966.1995595686285, ""7"": -4099.972127078015}"
S3,5,50,5,6,[6],1,1,over,-1911.2064167805183,"{""1"": -2326.739472258392, ""2"": -2165.055654121227, ""3"": -2068.26079452305, ""4"": -1977.2634386486914, ""5"": -1935.7935791236948, ""6"": -1911.2064167805183, ""7"": -1914.7838150821267}"
S1,5,50,6,5,[5],0,0,exact,-0.5924486844693339,"{""1"": -0.6084878656644489, ""2"": -0.6343756348212684, ""3"": -0.5928062771590836, ""4"": -0.5968376400647448, ""5"": -0.5924486844693339, ""6"": -0.6187084009767669, ""7"": -0.6512854971391396}"
S2,5,50,6,2,[2],-3,3,under,-3494.478011160535,"{""1"": -3557.15255495588, ""2"": -3494.478011160535, ""3"": -3509.4495550108118, ""4"": -3603.960330894215, ""5"": -3691.293266252466, ""6"": -3848.514298422666, ""7"": -4009.235115692528}"
S3,5,50,6,5,[5],0,0,exact,-1810.753149655794,"{""1"": -2259.6955414503946, ""2"": -2077.9058269499196, ""3"": -1940.3999494946618, ""4"": -1900.3400682504848, ""5"": -1810.753149655794, ""6"": -1861.4451748690321, ""7"": -1899.0755278888014}"
S1,5,50,7,2,[2],-3,3,under,-0.6430374443738884,"{""1"": -0.649551942299826, ""2"": -0.6430374443738884, ""3"": -0.6746104416859486, ""4"": -0.6499322802546654, ""5"": -0.675277779066829, ""6"": -0.734991993461499, ""7"": -0.7958057546369159}"
S2,5,50,7,2,[2],-3,3,under,-3614.4170875374725,"{""1"": -3622.5220123114364, ""2"": -3614.4170875374725, ""3"": -3623.052256888657, ""4"": -3717.658709977294, ""5"": -3811.7260310617885, ""6"": -3938.0554620990138, ""7"": -4069.67597690918}"
S3,5,50,7,7,[7],2,2,over,-1917.429648578966,"{""1"": -2322.8806378595386, ""2"": -2169.845914474128, ""3"": -2056.3813366783556, ""4"": -1981.9198599973301, ""5"": -1962.2845770011759, ""6"": -1921.6318067259022, ""7"": -1917.429648578966}"
