criterion,K_TRUE,n,replicate,selected_k,tie_candidates,signed_error,abs_error,label,best_mean,mean_scores
S1,5,75,7,1,[1],-4,4,under,-0.6137176098200827,"{""1"": -0.6137176098200827, ""2"": -0.6238946239095148, ""3"": -0.6265121867454815, ""4"": -0.6426298567207342, ""5"": -0.6401886985171228, ""6"": -0.6884304321082051, ""7"": -0.682529310635093}"
S2,5,75,7,2,[2],-3,3,under,-6355.942533625858,"{""1"": -6427.0804512855375, ""2"": -6355.942533625858, ""3"": -6378.0130293716575, ""4"": -6420.779826733067, ""5"": -6551.453850966923, ""6"": -6721.385279273789, ""7"": -6933.218512252876}"
S3,5,75,7,6,[6],1,1,over,-3798.170290684071,"{""1"": -4573.408115641988, ""2"": -4270.624530684899, ""3"": -4079.708343470139, ""4"": -3941.766313507477, ""5"": -3855.0225992256946, ""6"": -3798.170290684071, ""7"": -3799.938436765238}"
S1,5,75,8,2,[2],-3,3,under,-0.5721423440789993,"{""1"": -0.6132853909121678, ""2"": -0.5721423440789993, ""3"": -0.5893940798742502, ""4"": -0.6058294856658111, ""5"": -0.6140265617697159, ""6"": -0.6004441507890387, ""7"": -0.6461189638585334}"
S2,5,75,8,3,[3],-2,2,under,-5961.882204106011,"{""1"": -6339.412652815981, ""2"": -6013.080856903689, ""3"": -5961.882204106011, ""4"": -6018.23251345848, ""5"": -6097.808005574818, ""6"": -6277.624913590307, ""7"": -6475.703133720301}"
S3,5,75,8,7,[7],2,2,over,-3437.710940007476,"{""1"": -4561.748940717648, ""2"": -4022.8753732371542, ""3"": -3756.088762688708, ""4"": -3600.760382289115, ""5"": -3469.2261118018396, ""6"": -3453.0393966461647, ""7"": -3437.710940007476}"
S1,5,100,1,4,[4],-1,1,under,-0.551631319627459,"{""1"": -0.6276780167256772, ""2"": -0.6005977054763578, ""3"": -0.5807251612016133, ""4"": -0.551631319627459, ""5"": -0.5539060998280454, ""6"": -0.582977114403425, ""7"": -0.599223207884646}"
S2,5,100,1,4,[4],-1,1,under,-9259.867057128264,"{""1"": -9795.609640707222, ""2"": -9568.724732330553, ""3"": -9396.407118811392, ""4"": -9259.867057128264, ""5"": -9313.848422972162, ""6"": -9570.096481033212, ""7"": -9849.91706009911}"
S3,5,100,1,6,[6],1,1,over,-5718.044920153764,"{""1"": -7382.413450816766, ""2"": -6883.149905499583, ""3"": -6438.587204925456, ""4"": -6008.93972720218, ""5"": -5759.1045465199, ""6"": -5718.044920153764, ""7"": -5771.108809022937}"
S1,5,100,2,6,[6],1,1,over,-0.5792395907295014,"{""1"": -0.6119341101980569, ""2"": -0.5924780998546373, ""3"": -0.603691465575332, ""4"": -0.5842356039727548, ""5"": -0.5890264631291657, ""6"": -0.5792395907295014, ""7"": -0.6291640988872844}"
S2,5,100,2,3,[3],-2,2,under,-9251.094532894756,"{""1"": -9486.749758741305, ""2"": -9361.405605335282, ""3"": -9251.094532894756, ""4"": -9304.8373352484, ""5"": -9422.6300767202, ""6"": -9660.481010068865, ""7"": -9887.283446356076}"
S3,5,100,2,7,[7],2,2,over,-6152.772768223209,"{""1"": -7439.053703007727, ""2"": -7065.53993386353, ""3"": -6651.73648837332, ""4"": -6406.768895337781, ""5"": -6241.9333606519895, ""6"": -6209.668724520161, ""7"": -6152.772768223209}"
S1,5,100,3,5,[5],0,0,exact,-0.5527328069288783,"{""1"": -0.6223758294605353, ""2"": -0.6068607937809873, ""3"": -0.5819056451356834, ""4"": -0.5592448145401757, ""5"": -0.5527328069288783, ""6"": -0.5648253705318919, ""7"": -0.5896364930976221}"
S2,5,100,3,4,[4],-1,1,under,-9165.017414252283,"{""1"": -9906.15730731284, ""2"": -9687.518129941429, ""3"": -9330.595831458471, ""4"": -9165.017414252283, ""5"": -9191.657172799562, ""6"": -9463.953350538772, ""7"": -9668.749519499066}"
S3,5,100,3,7,[7],2,2,over,-5466.179745382597,"{""1"": -7417.659056167834, ""2"": -6897.161914404418, ""3"": -6295.372073719151, ""4"": -5835.067204010793, ""5"": -5570.900593944617, ""6"": -5529.802601164598, ""7"": -5466.179745382597}"
S1,5,100,4,5,[5],0,0,exact,-0.5473719687925869,"{""1"": -0.626912579358647, ""2"": -0.5917452543315425, ""3"": -0.5735805443831155, ""4"": -0.5508641672116944, ""5"": -0.5473719687925869, ""6"": -0.5875809169071295, ""7"": -0.6187301894322984}"
S2,5,100,4,4,[4],-1,1,under,-9103.276268565394,"{""1"": -9790.615434113486, ""2"": -9474.66387436772, ""3"": -9216.024542419098, ""4"": -9103.276268565394, ""5"": -9138.036072753923, ""6"": -9358.689548424427, ""7"": -9624.135753951554}"
S3,5,100,4,7,[7],2,2,over,-5542.268261823354,"{""1"": -7408.151814312689, ""2"": -6821.646563197637, ""3"": -6263.407756871301, ""4"": -5852.01290550451, ""5"": -5598.899758576685, ""6"": -5577.255079839242, ""7"": -5542.268261823354}"
S1,5,100,5,3,[3],-2,2,under,-0.5751578204193082,"{""1"": -0.6072955808880895, ""2"": -0.579987266146412, ""3"": -0.5751578204193082, ""4"": -0.5795040628369668, ""5"": -0.5822765366756488, ""6"": -0.6119811674232334, ""7"": -0.6270489625629203}"
S2,5,100,5,4,[4],-1,1,under,-9261.524025431612,"{""1"": -9669.05300722666, ""2"": -9358.709269329282, ""3"": -9278.186037659656, ""4"": -9261.524025431612, ""5"": -9316.140219217443, ""6"": -9545.77394909997, ""7"": -9799.49863059361}"
S3,5,100,5,7,[7],2,2,over,-5762.168273440891,"{""1"": -7346.010055069658, ""2"": -6751.4614343886005, ""3"": -6388.150429206511, ""4"": -6072.089403826834, ""5"": -5837.293204864505, ""6"": -5835.265162231485, ""7"": -5762.168273440891}"
S1,5,100,6,3,[3],-2,2,under,-0.5573198925073701,"{""1"": -0.5974803875289487, ""2"": -0.5686518817709119, ""3"": -0.5573198925073701, ""4"": -0.5605817368393713, ""5"": -0.5648380046513148, ""6"": -0.584106874225722, ""7"": -0.5948267337716202}"
S2,5,100,6,3,[3],-2,2,under,-9360.122016748603,"{""1"": -9671.321831061892, ""2"": -9533.213769421684, ""3"": -9360.122016748603, ""4"": -9389.61311680366, ""5"": -9477.101594617325, ""6"": -9700.54472701535, ""7"": -9926.388564494828}"
S3,5,100,6,7,[7],2,2,over,-6101.994250190951,"{""1"": -7516.152491386838, ""2"": -7122.048129727184, ""3"": -6645.62524708587, ""4"": -6390.716323405439, ""5"": -6193.415156343725, ""6"": -6137.984968717594, ""7"": -6101.994250190951}"
S1,5,100,7,5,[5],0,0,exact,-0.5391684413534839,"{""1"": -0.5969073633472076, ""2"": -0.5763539821257193, ""3"": -0.569646975012996, ""4"": -0.5601418521562196, ""5"": -0.5391684413534839, ""6"": -0.5579618185079505, ""7"": -0.5683279723400418}"
S2,5,100,7,2,[2],-3,3,under,-9393.381787369757,"{""1"": -9558.575770566535, ""2"": -9393.381787369757, ""3"": -9420.188308213947, ""4"": -9460.32165972659, ""5"": -9506.850922386286, ""6"": -9770.896209489798, ""7"": -10003.762632052074}"
S3,5,100,7,7,[7],2,2,over,-6029.357769854441,"{""1"": -7307.094466206028, ""2"": -6855.956719791765, ""3"": -6609.817723736546, ""4"": -6342.588655795511, ""5"": -6122.444891856148, ""6"": -6049.6857581752365, ""7"": -6029.357769854441}"
S1,5,100,8,5,[5],0,0,exact,-0.5573285703206776,"{""1"": -0.6105919160081276, ""2"": -0.5733426972584948, ""3"": -0.5742365427251335, ""4"": -0.5628277618734953, ""5"": -0.5573285703206776, ""6"": -0.5701573681068988, ""7"": -0.5948877791230731}"
S2,5,100,8,5,[5],0,0,exact,-9334.288291413131,"{""1"": -10071.591538720924, ""2"": -9719.801899648117, ""3"": -9554.753326040585, ""4"": -9358.559894765862, ""5"": -9334.288291413131, ""6"": -9634.589782044879, ""7"": -9845.668402827889}"
S3,5,100,8,7,[7],2,2,over,-5523.188635926816,"{""1"": -7404.069646186033, ""2"": -6736.513281865478, ""3"": -6303.296504031128, ""4"": -5822.15797068467, ""5"": -5542.075300448652, ""6"": -5556.128236437834, ""7"": -5523.188635926816}"
S1,5,150,1,5,[5],0,0,exact,-0.5229632324494362,"{""1"": -0.6043400007864773, ""2"": -0.5586249500063127, ""3"": -0.5483544170896526, ""4"": -0.5269971940703866, ""5"": -0.5229632324494362, ""6"": -0.5338332476414331, ""7"": -0.5429486789350197}"
S2,5,150,1,5,[5],0,0,exact,-16504.448852736146,"{""1"": -18462.278131156476, ""2"": -17522.602990899224, ""3"": -17068.305328663355, ""4"": -16595.306198281185, ""5"": -16504.448852736146, ""6"": -16851.843217497386, ""7"": -17179.556341984287}"
S3,5,150,1,7,[7],2,2,over,-10723.719836803266,"{""1"": -14560.279234506768, ""2"": -13192.514873491606, ""3"": -12311.733743057168, ""4"": -11435.314741837916, ""5"": -10898.614908562105, ""6"": -10788.766803893435, ""7"": -10723.719836803266}"
S1,5,150,2,5,[5],0,0,exact,-0.535669536887643,"{""1"": -0.6132726788524052, ""2"": -0.5885081241406136, ""3"": -0.5664785207647918, ""4"": -0.5383184454624569, ""5"": -0.535669536887643, ""6"": -0.5511986234717183, ""7"": -0.551591200206015}"
S2,5,150,2,5,[5],0,0,exact,-16739.412409409975,"{""1"": -18269.404122001564, ""2"": -17824.81613486312, ""3"": -17327.085122525783, ""4"": -16890.323896337017, ""5"": -16739.412409409975, ""6"": -17078.56219985409, ""7"": -17452.113394719978}"
S3,5,150,2,7,[7],2,2,over,-11088.200419161549,"{""1"": -14421.879573873484, ""2"": -13558.509262629246, ""3"": -12641.420951483422, ""4"": -11749.649996781249, ""5"": -11200.874429593285, ""6"": -11125.723060158634, ""7"": -11088.200419161549}"
S1,5,150,3,5,[5],0,0,exact,-0.547816313493083,"{""1"": -0.6030907876270017, ""2"": -0.5902227880725903, ""3"": -0.5691711181787877, ""4"": -0.5638210300646461, ""5"": -0.547816313493083, ""6"": -0.5726329503080974, ""7"": -0.580782317564529}"
S2,5,150,3,5,[5],0,0,exact,-16649.121645458108,"{""1"": -18130.274961002473, ""2"": -17678.534051573835, ""3"": -17300.169539801907, ""4"": -16950.76900974264, ""5"": -16649.121645458108, ""6"": -17016.251073957916, ""7"": -17328.129447231753}"
S3,5,150,3,7,[7],2,2,over,-10963.047262153408,"{""1"": -14300.29826438714, ""2"": -13406.16824792052, ""3"": -12586.357525770261, ""4"": -11865.290833369545, ""5"": -11131.852101676961, ""6"": -11061.722460503011, ""7"": -10963.047262153408}"
S1,5,150,4,5,[5],0,0,exact,-0.5460821032083444,"{""1"": -0.6209951096174123, ""2"": -0.5916001901973019, ""3"": -0.5660529892180943, ""4"": -0.5471744724853465, ""5"": -0.5460821032083444, ""6"": -0.5578304637097866, ""7"": -0.5740843901502429}"
S2,5,150,4,4,[4],-1,1,under,-16867.367078702344,"{""1"": -17900.59942074997, ""2"": -17348.38824864223, ""3"": -17007.95284446702, ""4"": -16867.367078702344, ""5"": -16957.17084464596, ""6"": -17340.6749844109, ""7"": -17654.06471367498}"
S3,5,150,4,7,[7],2,2,over,-11634.297572918922,"{""1"": -14399.518499380316, ""2"": -13422.155911787784, ""3"": -12644.91337901241, ""4"": -12092.721723579223, ""5"": -11724.365253091604, ""6"": -11655.993075929442, ""7"": -11634.297572918922}"
S1,5,150,5,5,[5],0,0,exact,-0.5414770841922374,"{""1"": -0.619266450039841, ""2"": -0.5914320875006684, ""3"": -0.5729073406727312, ""4"": -0.5542473259387268, ""5"": -0.5414770841922374, ""6"": -0.554510667443932, ""7"": -0.587484457667607}"
S2,5,150,5,5,[5],0,0,exact,-16650.13634793158,"{""1"": -18049.49016643692, ""2"": -17386.190732930874, ""3"": -17093.65207703437, ""4"": -16794.52761638379, ""5"": -16650.13634793158, ""6"": -17011.702580895562, ""7"": -17341.311831258576}"
S3,5,150,5,7,[7],2,2,over,-11320.100432752994,"{""1"": -14571.07232277692, ""2"": -13490.831009916437, ""3"": -12784.088561770019, ""4"": -12047.335988083825, ""5"": -11431.32325574143, ""6"": -11369.625443111421, ""7"": -11320.100432752994}"
S1,5,150,6,5,[5],0,0,exact,-0.546478252483697,"{""1"": -0.6231455399834136, ""2"": -0.5888146996404591, ""3"": -0.5779626610638684, ""4"": -0.5484612483502793, ""5"": -0.546478252483697, ""6"": -0.5613735734327524, ""7"": -0.5671129107490256}"
S2,5,150,6,5,[5],0,0,exact,-16359.827671616997,"{""1"": -18059.77431558053, ""2"": -17416.011101132433, ""3"": -16970.166743466878, ""4"": -16521.007961770305, ""5"": -16359.827671616997, ""6"": -16672.58844438538, ""7"": -16993.326807815418}"
S3,5,150,6,7,[7],2,2,over,-10827.510453542734,"{""1"": -14475.205760295394, ""2"": -13406.187541154344, ""3"": -12566.427814151531, ""4"": -11667.281441897932, ""5"": -11077.504605602444, ""6"": -10993.166379348113, ""7"": -10827.510453542734}"
S1,5,150,7,5,[5],0,0,exact,-0.5543741118583857,"{""1"": -0.6207168129856366, ""2"": -0.5945361713340804, ""3"": -0.5736175404990832, ""4"": -0.5649901517135064, ""5"": -0.5543741118583857, ""6"": -0.5626243972729268, ""7"": -0.5792139005523077}"
S2,5,150,7,5,[5],0,0,exact,-16701.073037595674,"{""1"": -17993.79393613275, ""2"": -17506.173703081673, ""3"": -17185.33377177832, ""4"": -16857.429912167732, ""5"": -16701.073037595674, ""6"": -17054.045154874795, ""7"": -17377.448205159846}"
S3,5,150,7,7,[7],2,2,over,-11512.458128344837,"{""1"": -14723.208688678676, ""2"": -13792.34644950439, ""3"": -13060.137107564788, ""4"": -12266.133945193193, ""5"": -11713.4052100991, ""6"": -11695.249031575033, ""7"": -11512.458128344837}"
S1,5,150,8,5,[5],0,0,exact,-0.5512148070431233,"{""1"": -0.6076914878483739, ""2"": -0.5853566956109721, ""3"": -0.5668809033042077, ""4"": -0.5622155862679399, ""5"": -0.5512148070431233, ""6"": -0.5608039543276313, ""7"": -0.5813517101142012}"
S2,5,150,8,5,[5],0,0,exact,-16620.807459253298,"{""1"": -17964.79140298132, ""2"": -17373.891898078793, ""3"": -17057.058590663695, ""4"": -16886.631306726384, ""5"": -16620.807459253298, ""6"": -16970.499166591442, ""7"": -17304.62034288852}"
S3,5,150,8,7,[7],2,2,over,-11393.273952481632,"{""1"": -14673.563858866893, ""2"": -13642.964372359005, ""3"": -12893.331282116322, ""4"": -12290.467369417383, ""5"": -11579.549793516831, ""6"": -11493.570223708197, ""7"": -11393.273952481632}"
