replicate,start_label,iteration,column,candidate_optimizer,previous_family,selected_family,margin_neg2,changed,all_candidates_converged,score_bernoulli,score_poisson,bernoulli_optimizer,bernoulli_n_iter,bernoulli_converged,bernoulli_grad_inf,bernoulli_scipy_success,bernoulli_scipy_status,poisson_optimizer,poisson_n_iter,poisson_converged,poisson_grad_inf,poisson_scipy_success,poisson_scipy_status,selected_candidate_family,selected_candidate_score,selected_loading,selected_loading_sha256,loading_installation_policy,selected_loading_installed,installed_loading_sha256,family_x_true
rep1,start_B,2,7,bfgs,bernoulli,bernoulli,48.47337070753798,False,True,-50.55788247469883,-74.79456782846782,bfgs,7,True,3.4843594676203793e-10,False,2,bfgs,7,True,3.199552289778751e-11,True,0,bernoulli,-50.55788247469883,-0.18328138138385616|0.32147640198975419|-0.05931770263045831,42024f66b3a6f0a726bf7997220308953bfaf7389ca2cc756e39090cfa211fd8,selected_candidate_loading,True,42024f66b3a6f0a726bf7997220308953bfaf7389ca2cc756e39090cfa211fd8,bernoulli
rep1,start_B,2,8,bfgs,bernoulli,bernoulli,52.13367232055296,False,True,-48.09696125133566,-74.16379741161214,bfgs,6,True,2.086790518163184e-10,False,2,bfgs,9,True,4.7580672735136884e-11,True,0,bernoulli,-48.09696125133566,-0.44520593941260889|-0.2020611517922635|-0.56302127609544927,33b553221cb5c8d6889ca8f7d450354318105dce5de119e261d3159e4ee861c1,selected_candidate_loading,True,33b553221cb5c8d6889ca8f7d450354318105dce5de119e261d3159e4ee861c1,bernoulli
rep1,start_B,3,3,bfgs,bernoulli,bernoulli,63.891323508275576,False,True,-40.166026935953084,-72.11168869009087,bfgs,11,True,4.971091982497455e-10,False,2,bfgs,11,True,7.767351206666718e-11,True,0,bernoulli,-40.166026935953084,1.7406428901969397|0.39118190082792342|0.22517767422459689,2b93956353c3b8f7dceff295909f0266ef659795ad64d4f55c0deaa84c0806dd,selected_candidate_loading,True,2b93956353c3b8f7dceff295909f0266ef659795ad64d4f55c0deaa84c0806dd,bernoulli
rep1,start_B,3,4,bfgs,bernoulli,bernoulli,50.37266142991186,False,True,-49.15631153437738,-74.34264224933331,bfgs,6,True,6.749623082669131e-12,True,0,bfgs,8,True,3.4941827209422627e-11,True,0,bernoulli,-49.15631153437738,-0.098407341131095005|0.17903057664052519|-0.46523645947349029,94b954012571b927ba20781004bbbe516ffe423bcffb2603a5f38bf9a4d0ae0d,selected_candidate_loading,True,94b954012571b927ba20781004bbbe516ffe423bcffb2603a5f38bf9a4d0ae0d,bernoulli
rep1,start_B,3,5,bfgs,bernoulli,bernoulli,54.302044131507884,False,False,-46.23545662057598,-73.38647868632992,bfgs,10,False,1.549365190589569e-08,False,2,bfgs,7,True,1.6705992145205074e-11,True,0,bernoulli,-46.23545662057598,0.53588342153164348|0.96395972622803106|0.19339103507891547,dae13b00599a9abebfaf843dbce4ca2c1472a8268e09142b4b669c51cf2a6cca,selected_candidate_loading,True,dae13b00599a9abebfaf843dbce4ca2c1472a8268e09142b4b669c51cf2a6cca,bernoulli
rep1,start_B,3,6,bfgs,bernoulli,bernoulli,53.65187695940966,False,True,-47.35000683697308,-74.17594531667791,bfgs,8,True,9.343268381201142e-11,True,0,bfgs,11,True,7.886785624577896e-09,False,2,bernoulli,-47.35000683697308,-0.56517830311118056|-0.70957945419277468|-0.37307959085329073,5fc636623389b5cb5b559ae091cb8c6cbc6b3722e0e18c3292ccea9669522b0a,selected_candidate_loading,True,5fc636623389b5cb5b559ae091cb8c6cbc6b3722e0e18c3292ccea9669522b0a,bernoulli
rep1,start_B,3,7,bfgs,bernoulli,bernoulli,48.80390333305405,False,True,-50.064440267246084,-74.46639193377311,bfgs,5,True,7.622828679387794e-09,False,2,bfgs,9,True,1.6116663559273548e-12,True,0,bernoulli,-50.064440267246084,-0.22621256847446869|0.38012822434454857|-0.03954394691786569,0ae6b3657f093a78a8211327f1d9eacd5ef84b39033188232bd57c5483d47356,selected_candidate_loading,True,0ae6b3657f093a78a8211327f1d9eacd5ef84b39033188232bd57c5483d47356,bernoulli
rep1,start_B,3,8,bfgs,bernoulli,bernoulli,53.24381446568998,False,False,-47.3079440457159,-73.92985127856089,bfgs,10,False,1.7482768930321412e-07,False,2,bfgs,12,False,1.8730686464074607e-07,False,2,bernoulli,-47.3079440457159,-0.11056411365448214|0.25649443017491969|-0.61526538031160871,ecfef7cdaa270b34ba3956f754d9813a84c615b0a2f7ada338ba027382bee129,selected_candidate_loading,True,ecfef7cdaa270b34ba3956f754d9813a84c615b0a2f7ada338ba027382bee129,bernoulli
rep1,start_B,4,3,bfgs,bernoulli,bernoulli,68.0135363725818,False,False,-37.7081062275588,-71.7148744138497,bfgs,7,True,6.320099998902151e-12,True,0,bfgs,15,False,4.092354863871606e-08,False,2,bernoulli,-37.7081062275588,1.7916780311579013|0.37822278370290768|0.13432299975381409,3671417a049019668efd595cb45db940104ce8ea770ee7d916cee7bc56941563,selected_candidate_loading,True,3671417a049019668efd595cb45db940104ce8ea770ee7d916cee7bc56941563,bernoulli
rep1,start_B,4,4,bfgs,bernoulli,bernoulli,50.63309694309919,False,True,-48.84323039311826,-74.15977886466786,bfgs,7,True,2.3551716132885757e-13,True,0,bfgs,7,True,4.695169586454995e-10,False,2,bernoulli,-48.84323039311826,0.023420248231585384|0.1895344883059083|-0.54296313908190563,b1c19f368177c3c34006505acee126a938449068c2d7e5ae4132a8c33c91a897,selected_candidate_loading,True,b1c19f368177c3c34006505acee126a938449068c2d7e5ae4132a8c33c91a897,bernoulli
rep1,start_B,4,5,bfgs,bernoulli,bernoulli,59.66091374789066,False,False,-42.78446919452379,-72.61492606846912,bfgs,8,True,4.580291701472561e-12,True,0,bfgs,9,False,4.9894678255668624e-08,False,2,bernoulli,-42.78446919452379,0.62684104834942644|1.2151048191252423|0.10049581996049078,45d170670bedcc276d2c1b09cca9b8d0a19943e4749bd3d09c660f892bc25b4b,selected_candidate_loading,True,45d170670bedcc276d2c1b09cca9b8d0a19943e4749bd3d09c660f892bc25b4b,bernoulli
rep1,start_B,4,6,bfgs,bernoulli,bernoulli,51.02631016179477,False,False,-48.89630646389272,-74.4094615447901,bfgs,7,False,2.3892982259354767e-08,False,2,bfgs,10,True,5.5279830490917444e-09,False,2,bernoulli,-48.89630646389272,-0.28861971287703836|-0.45285544443566522|-0.34553357650283856,da79c3dec14089764201b38b5749ce75ea538b5c7a68531420132764905f60fa,selected_candidate_loading,True,da79c3dec14089764201b38b5749ce75ea538b5c7a68531420132764905f60fa,bernoulli
rep1,start_B,4,7,bfgs,bernoulli,bernoulli,48.813442912649364,False,False,-49.996991986028114,-74.4037134423528,bfgs,5,False,1.3904753437543604e-08,False,2,bfgs,8,True,4.1482106638568436e-11,True,0,bernoulli,-49.996991986028114,-0.17913245138405506|0.43986841309610725|-0.028431726131980421,dcab356feb625fd631e3388917c4a7b8353d5fdd9b46b4d7088e1eac000f5bef,selected_candidate_loading,True,dcab356feb625fd631e3388917c4a7b8353d5fdd9b46b4d7088e1eac000f5bef,bernoulli
rep1,start_B,4,8,bfgs,bernoulli,bernoulli,55.12215360426792,False,True,-45.90275082061968,-73.46382762275364,bfgs,7,True,1.415728645426384e-12,True,0,bfgs,8,True,5.254010559951894e-11,True,0,bernoulli,-45.90275082061968,-0.040428807603992929|0.4059274728897882|-0.7611987092612631,44bfed5f2091739c13ab839e27d65b91462b516a48b4c085ca345905d53d6ba1,selected_candidate_loading,True,44bfed5f2091739c13ab839e27d65b91462b516a48b4c085ca345905d53d6ba1,bernoulli
rep1,start_B,5,3,bfgs,bernoulli,bernoulli,65.40469183955953,False,True,-38.92408618273138,-71.62643210251115,bfgs,8,True,1.4733113617992898e-10,False,2,bfgs,13,True,1.1571810842880836e-09,False,2,bernoulli,-38.92408618273138,1.6116428561241005|0.18178443053300228|-0.040779536731962322,0728d355f1dc02163fd1862c23a3803be390c85e64fac50ab8892d2a699b51fb,selected_candidate_loading,True,0728d355f1dc02163fd1862c23a3803be390c85e64fac50ab8892d2a699b51fb,bernoulli
rep1,start_B,5,4,bfgs,bernoulli,bernoulli,51.302813625526056,False,True,-48.26717887853194,-73.91858569129496,bfgs,7,True,3.8563596760354815e-14,True,0,bfgs,8,True,6.068159885685987e-09,False,2,bernoulli,-48.26717887853194,-0.058590548385038389|0.21980030043324966|-0.61425651361435751,d23fcd78a449359b067f686f330b0da7839a40de4a7f3c51d8ba3352303d9b13,selected_candidate_loading,True,d23fcd78a449359b067f686f330b0da7839a40de4a7f3c51d8ba3352303d9b13,bernoulli
rep1,start_B,5,5,bfgs,bernoulli,bernoulli,60.09236594901519,False,False,-42.078114228338045,-72.12429720284564,bfgs,6,False,1.2945552407828131e-08,False,2,bfgs,9,True,1.419693140825018e-09,False,2,bernoulli,-42.078114228338045,0.63185399229122652|1.2176128629255256|-0.0072310667982340938,e328c27d660dd6572e2b7e7b29dfd5b5253492b942f908ee4a2a9a31566e1edb,selected_candidate_loading,True,e328c27d660dd6572e2b7e7b29dfd5b5253492b942f908ee4a2a9a31566e1edb,bernoulli
rep1,start_B,5,6,bfgs,bernoulli,bernoulli,50.19352139407128,False,True,-49.523685339578584,-74.62044603661423,bfgs,8,True,1.2695400286588665e-11,True,0,bfgs,11,True,3.902047684967158e-09,False,2,bernoulli,-49.523685339578584,-0.2338773870183152|-0.41189390481393862|-0.26380856109112988,7e09f2e2071e9ef3c844c7e4a67822793559e6d3efa4a762400a479398bb8746,selected_candidate_loading,True,7e09f2e2071e9ef3c844c7e4a67822793559e6d3efa4a762400a479398bb8746,bernoulli
rep1,start_B,5,7,bfgs,bernoulli,bernoulli,48.84167365690732,False,True,-49.861883212144335,-74.282720040598,bfgs,7,True,2.1254109583423998e-13,True,0,bfgs,8,True,1.6738449515329988e-11,True,0,bernoulli,-49.861883212144335,-0.24601367509432503|0.42381603088689362|-0.042933454413162042,5a193045bf383393073d0383c874433fe338bc73966381a862162c565b7e4d7e,selected_candidate_loading,True,5a193045bf383393073d0383c874433fe338bc73966381a862162c565b7e4d7e,bernoulli
rep1,start_B,5,8,bfgs,bernoulli,bernoulli,53.36939550689938,False,True,-46.869270008129355,-73.55396776157905,bfgs,7,True,5.0943071983056146e-11,True,0,bfgs,11,True,1.1102297303722253e-09,False,2,bernoulli,-46.869270008129355,-0.051474134085798588|0.31216435316056323|-0.73024398401955015,e453f990c0b3839160b071585a8f0ced5f1d268768ec9b86c4833d2891019830,selected_candidate_loading,True,e453f990c0b3839160b071585a8f0ced5f1d268768ec9b86c4833d2891019830,bernoulli
rep1,start_B,6,3,bfgs,bernoulli,bernoulli,62.56025203734487,False,True,-40.211903313900834,-71.49202933257327,bfgs,8,True,6.475673330896826e-11,True,0,bfgs,12,True,1.919980618936279e-09,False,2,bernoulli,-40.211903313900834,1.4975117720948241|0.1279945675839228|-0.12790962579025544,7b8191e4425ae4fbaca800f19279cf6e2fab4718f588cc9baf12371832462682,selected_candidate_loading,True,7b8191e4425ae4fbaca800f19279cf6e2fab4718f588cc9baf12371832462682,bernoulli
rep1,start_B,6,4,bfgs,bernoulli,bernoulli,50.63289054576792,False,True,-48.68673950019757,-74.00318477308153,bfgs,7,True,1.7980283928409335e-11,True,0,bfgs,11,True,6.091585014189604e-11,True,0,bernoulli,-48.68673950019757,-0.0037337379356573025|0.19978121940485841|-0.58291920256913488,89e925cb1e6215c8e6ed03d539ea5bec53060409de96312c5f8403976af971b3,selected_candidate_loading,True,89e925cb1e6215c8e6ed03d539ea5bec53060409de96312c5f8403976af971b3,bernoulli
rep1,start_B,6,5,bfgs,bernoulli,bernoulli,58.304305067678754,False,True,-43.0304762220481,-72.18262875588748,bfgs,7,True,3.3938216681406175e-09,False,2,bfgs,11,True,6.143220931953408e-11,True,0,bernoulli,-43.0304762220481,0.57500542193152715|1.1294462853079019|-0.13305949912069442,dbec3121f844a385677014c35532ed4e88fa5a1fad13ddcef1fb729cbbe551d0,selected_candidate_loading,True,dbec3121f844a385677014c35532ed4e88fa5a1fad13ddcef1fb729cbbe551d0,bernoulli
