k,n_trials,n_success,bic_mean,bic_std,q_strict_mean,q_strict_std,rmse_y_mean,rmse_y_std,mae_y_mean,mae_y_std,pearson_corr_mean,pearson_corr_std,spearman_corr_mean,spearman_corr_std,rmse_log1p_y_mean,rmse_log1p_y_std,hc_auc_mean,hc_auc_std,hc_ap_mean,hc_ap_std,rmse_x_mean,rmse_x_std,x_binary_acc_mean,x_binary_acc_std,silhouette_mean,silhouette_std,nmi_mean,nmi_std,ari_mean,ari_std,runtime_s_mean,runtime_s_std
2,3,3,40139.29020233708,22.121944222719858,-19984.44945272776,11.060972111359929,9.391425271671876,0.01998706758688393,7.17351177975969,0.0337793901400865,0.8965132129711503,0.0003835942062413407,0.8917493497990678,0.0007613506488015411,0.2483825412042359,0.000505951099108484,0.9648721874867084,0.00053750454194743,0.7732119500365456,0.01422761826223256,0.38008151526336276,0.001048008931308822,0.7917543859649122,0.0035825575187126493,-0.38427062394587025,0.01083878897482692,0.2551020171407045,0.018655816369217395,0.036592009034450236,0.009462246465292088,7.766666666666667,0.152752523165195
3,3,3,35773.61671842099,28.25939049481863,-17762.468764188816,14.129695247409314,6.969590096120807,0.029647052176396925,5.303505932809151,0.03485722771212384,0.9446387475169162,0.0005454086138847292,0.944887487915981,0.000680365617660452,0.19516463727380565,0.0005153794109124104,0.9822021606907404,0.0009836155123569067,0.8464985137471893,0.00635439987666229,0.3478235494670619,0.0008915328466116041,0.8333333333333334,0.0035043832202523014,-0.37239772465435833,0.017500427731630897,0.31291043691720954,0.02426006168090573,0.08186187779350448,0.015998232414393063,8.0,0.09999999999999964
5,3,3,34552.741338267064,24.95607733186524,-17080.650936229038,12.47803866593262,5.737339527946652,0.06257013901065592,4.379674092276368,0.04833248323067673,0.962749011008723,0.0008936085597491728,0.9627442062534258,0.0007139191139450092,0.16856040816156334,0.0017998246741961136,0.9901533324826678,0.0007056670511070996,0.9005844638912347,0.007208751328668775,0.33026345421486936,0.0007284311349415399,0.8480701754385965,0.00030386856273139577,-0.40144213828991154,0.004635665806717075,0.29980186597830105,0.023495926753256582,0.09082408179991608,0.040615444186007654,8.8,0.8717797887081353
