k,trial,seed,bic,q_strict,num_params,rmse_y,mae_y,pearson_corr,spearman_corr,rmse_log1p_y,hc_density,random_ap_baseline,hc_auc,hc_ap,rmse_x,x_binary_acc,mean_y,mean_y_hat,max_y,max_y_hat,silhouette,nmi,ari,w0,w,nan_occurred,nan_count,success,runtime_s,error_message
2,0,9200,40130.91685406289,-19980.262778590666,37,9.370564626296343,7.1345110065286175,0.8969493132672977,0.8914452803349413,0.24851996515094082,0.06868686868686869,0.06868686868686869,0.9650765599081281,0.785722571026433,0.3792147967644,0.7905263157894736,45.220808080808084,45.72988512659309,144.0,122.9951290955349,-0.3817541518005767,0.2730875071298029,0.04751770868903105,3.4577031406990018,0.32528474127672335,False,0,True,7.9,
2,1,9210,40164.376534251336,-19996.99261868489,37,9.393305274096061,7.192510206446574,0.8963622963753217,0.8911870238860995,0.24880558375180126,0.06868686868686869,0.06868686868686869,0.9642624728850326,0.7761782659302255,0.38124625813500823,0.7889473684210526,45.220808080808084,45.74922054954293,144.0,138.71151752446733,-0.3749114275418162,0.23584130755764066,0.031052195167816633,3.4632644001854693,0.3235102266358937,False,0,True,7.6,
2,2,9220,40122.57721869701,-19976.09296090773,37,9.410405914623226,7.193514126303881,0.8962280292708314,0.8926157451761626,0.24782207470996562,0.06868686868686869,0.06868686868686869,0.9652775296669643,0.7577350131529785,0.37978349089068003,0.7957894736842105,45.220808080808084,45.698333196886885,144.0,128.4265526231506,-0.3961462924952178,0.25637723673466994,0.03120612324650301,3.45957753870973,0.3248068929580262,False,0,True,7.8,
3,0,9300,35788.90923554939,-17770.115022753016,54,7.003817842678824,5.342216400331134,0.9440089876551125,0.9442978289744732,0.19536099043964547,0.06868686868686869,0.06868686868686869,0.9814973842031389,0.8398475603351728,0.3469576254912988,0.8342105263157895,45.220808080808084,45.67701744712432,144.0,133.94399138164061,-0.3648073060801169,0.33991948850601467,0.1000565879746728,3.4161714619938697,0.27098626114404456,False,0,True,7.9,
3,1,9310,35741.00653907005,-17746.163674513344,54,6.9519342570494675,5.274603390424941,0.944948889996456,0.9447327352215866,0.19457994243543078,0.06868686868686869,0.06868686868686869,0.9833258900089319,0.852507646881639,0.34873865517598146,0.8294736842105264,45.220808080808084,45.79817377957382,144.0,132.43648909747984,-0.39241187750112233,0.30584283134650864,0.0699972439940794,3.413653427850675,0.272259704334134,False,0,True,8.0,
3,2,9320,35790.934380643535,-17771.127595300088,54,6.953018188634126,5.293698007671378,0.9449583648991802,0.9456318995518832,0.1955529789463407,0.06868686868686869,0.06868686868686869,0.9817832078601505,0.8471403340247562,0.34777436773390535,0.8363157894736842,45.220808080808084,45.84503500981187,144.0,135.0422819929988,-0.3599739903818358,0.2929689908991054,0.07553180141176125,3.4171253953550047,0.2707478016547895,False,0,True,8.1,
5,0,9500,34524.35490017089,-17066.45771718095,85,5.71527733235854,4.367806245563181,0.9630384711492285,0.9625542276649194,0.16672419716182107,0.06868686868686869,0.06868686868686869,0.9907317851218578,0.9080536977297506,0.33095461257430525,0.8478947368421053,45.220808080808084,45.49219069847752,144.0,144.23925267925136,-0.4055715254575638,0.32197836116336215,0.1363725167156058,3.3936056481792503,0.19201998796931496,False,0,True,9.8,
5,1,9510,34571.2314625914,-17089.895998391206,85,5.68878902673408,4.338380961987431,0.9634620080969251,0.9635338980762392,0.16863553339407086,0.06868686868686869,0.06868686868686869,0.990361107566671,0.900031671152814,0.33033300996500997,0.8478947368421053,45.220808080808084,45.712893722308245,144.0,136.85987572696874,-0.396427780541085,0.3022491593788235,0.07772557434057194,3.3965242781888922,0.1916320358148661,False,0,True,8.4,
5,2,9520,34562.6376520389,-17085.599093114957,85,5.807952224747337,4.432835069278493,0.9617465537800155,0.962144493019119,0.170321493928798,0.06868686868686869,0.06868686868686869,0.9893671047594743,0.8936680227911395,0.3295027401052929,0.848421052631579,45.220808080808084,45.56892453460616,144.0,135.7394135465728,-0.4023271088710858,0.27517807739271744,0.05837415434357051,3.3971186454769544,0.1909860987098455,False,0,True,8.2,
