n,k_true,Q,rmse_X,rmse_Y,rmse_w0,rmse_w,rmse_F_rot,rmse_Z_rot,rmse_sigma
50,3,-615.6853860125608,0.3036614197400983,0.2474925909167618,0.0857257153186366,0.4673408016540668,0.05432079434535366,0.16742673689414403,0.023272918174857906
100,3,-4115.050919980472,0.30619204494017643,0.49029618839160727,0.02696112681274007,0.018746003882926826,0.03361992364125981,0.21573689011588906,0.023405589877097687
150,3,-7307.220494210569,0.3057481509737587,0.42832793833117083,0.01633393617079104,0.013032312924716294,0.023160888820356548,0.20180663588747297,0.016479875845211465
200,3,-5211.515440754629,0.31125505841084,0.23676947964300535,0.01857749092059946,0.38820239097418163,0.019100584202552742,0.13903580641452737,0.011257964582883612
250,3,-9979.632149022957,0.30725116222360166,0.2833958819814958,0.01579046539883744,0.15389551764249543,0.020532200461847658,0.13569902476228546,0.0125867183352378
300,3,-11957.203102966265,0.3056779408765706,0.25849113733643764,0.06949809029966603,0.32102924923480547,0.021095747713834045,0.11738015577539934,0.013411801204454562
