d,k_true,Q,rmse_X,rmse_Y,rmse_w0,rmse_w,rmse_sigma,rmse_F_rot,rmse_Z_rot
5,3,-4067.022621542513,0.2760288057153878,0.3001054852078055,0.11247028587237029,0.08920221230850534,0.0322688372159393,0.02672125854540115,0.2944214781058335
10,3,-8397.975961187096,0.30368226986174446,0.48457459956022614,0.005378553253138241,0.03851683295090916,0.0173521551265306,0.02466907916664548,0.28521590007497655
15,3,-7307.220494210569,0.3057481509737587,0.42832793833117083,0.01633393617079104,0.013032312924716294,0.016479875845211465,0.023160888820356548,0.20180663588747297
20,3,-7935.458156502327,0.30771403428830624,0.44989346548573533,0.0018997266934329474,0.023543247772622844,0.013265352771442331,0.025980671668791592,0.1760258201232513
25,3,-4162.756188645928,0.3093841942813157,0.2693103304262585,0.006839932928689674,0.23842910151631402,0.010051266401848911,0.024417237827132364,0.1182156486595711
30,3,-8255.613597477166,0.3075730071576831,0.4455138244914252,0.016537123129918063,0.0023449048408513695,0.01241294425711817,0.0572060552426352,0.17881721291585648
