k,k_true,Q_mean,Q_std,Q_best,mae_Y_mean,mae_Y_std,rmse_X_mean,rmse_X_std,rmse_w0_mean,rmse_w_mean,corr_F_mean,corr_Z_mean
1,3,-8971.784008064466,3.3850919068108007,-8968.202976867844,0.39435820686584266,0.00021585365245831257,0.7405987389993837,0.0015634240156643042,0.07464030061356242,0.05851089348790319,-0.03875469007527362,0.47891393665390564
2,3,-8200.948120252562,28.29058377811128,-8179.537104610233,0.3817115027096946,0.00042979048415151645,0.521505694398536,0.0038385833742519524,0.044352371435040894,0.020122373651472198,-0.005844942513319985,0.7503717191126439
3,3,-7341.976251810662,4.688542144049776,-7337.573064261695,0.37110858641479044,0.0003438245165162264,0.3074077615114755,0.001686674280512036,0.016075896735410804,0.015552439345953128,0.9930361274359044,0.9467425727137235
4,3,-7525.4698508879055,9.70701447280473,-7515.7342564192295,0.3707796183327519,0.0005829063795713743,0.30481585280806933,0.0013562051454931823,0.016978152493951182,0.07532198590308593,0.031163613607766847,0.867041086465495
5,3,-7723.351338987013,14.915911054364107,-7705.312082146063,0.37220344017490303,0.0006963801635195291,0.2991587223852614,0.000289122780604777,0.018668964842667224,0.11782606416252711,0.02837299708286367,0.8365217705781302
6,3,-7958.715367097793,17.97552785382058,-7933.439356744095,0.3729969427825985,0.0009769687834076477,0.2998817265320785,0.0018146524505830578,0.022634615303111245,0.1543918376445566,-0.018498611174075235,0.7544992371622933
