scenario,trial,seed_data,seed_model,k_est,k_true,family_x,family_y,n,d,q_strict,bic,num_params,rmse_z,rmse_x,rmse_y,success,error_message,note
A,5,4500,4550,4,3,poisson,bernoulli,150,15,-8327.138144750745,16924.850595382686,54,0.5191606260387217,1.2290873605704296,0.12050225859947279,True,,fixed_official full k_true=3
A,6,4600,4650,4,3,poisson,bernoulli,150,15,-8227.302780365284,16725.179866611765,54,0.428441552796805,1.234587730528604,0.11633260429744603,True,,fixed_official full k_true=3
A,7,4700,4750,4,3,poisson,bernoulli,150,15,-8083.843804295699,16438.261914472594,54,0.3564426545775406,1.180017774073587,0.11167188564320196,True,,fixed_official full k_true=3
A,8,4800,4850,4,3,poisson,bernoulli,150,15,-8262.348306927535,16795.270919736267,54,0.5198620338833388,1.1701330022576268,0.121011394574789,True,,fixed_official full k_true=3
A,9,4900,4950,4,3,poisson,bernoulli,150,15,-8247.365658659128,16765.305623199452,54,0.3329958933653946,1.210398469915377,0.11795932805207777,True,,fixed_official full k_true=3
A,0,4000,4050,5,3,poisson,bernoulli,150,15,-8542.76590957486,17411.223113265976,65,0.5591807019302285,1.1836354347720404,0.1322322623205892,True,,fixed_official full k_true=3
A,1,4100,4150,5,3,poisson,bernoulli,150,15,-8361.010792768368,17047.71287965299,65,0.7040843743274643,1.1899888637914764,0.12767305912602742,True,,fixed_official full k_true=3
A,2,4200,4250,5,3,poisson,bernoulli,150,15,-8347.11377091933,17019.918835954915,65,0.6159937190323216,1.2123986800386606,0.13268224989627764,True,,fixed_official full k_true=3
A,3,4300,4350,5,3,poisson,bernoulli,150,15,-8444.17832399707,17214.047942110396,65,0.49565321029060905,1.2045829266916575,0.13123608486373115,True,,fixed_official full k_true=3
A,4,4400,4450,5,3,poisson,bernoulli,150,15,-8533.359412189653,17392.41011849556,65,0.650941776345161,1.247331335271686,0.13755659259365044,True,,fixed_official full k_true=3
A,5,4500,4550,5,3,poisson,bernoulli,150,15,-8464.705580858867,17255.10245583399,65,0.6784985137779476,1.2096580315983254,0.1271797577534079,True,,fixed_official full k_true=3
