k,trial,seed,n,d,family_x,family_y,strategy,y_density,q_strict,bic,num_params,auc_y,ap_y,rmse_x,silhouette,nmi,ari,w0,w,nan_occurred,nan_count,runtime_s,success,error_message
1,0,6100,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7271.470571319347,14824.680622797157,50,0.5936045763918081,0.03722239341369184,0.304367166602768,-0.1787756566316512,0.05445095256514969,0.009983664665644227,-5.559185505041204,1.0034504678768885,False,0,32.512261600000784,True,
1,1,6110,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7264.441185351988,14810.621850862439,50,0.6169835612000867,0.028835113808815996,0.3045562282284118,-0.19474427463624386,0.04390658346944681,0.004577968526466381,-5.609539692532073,1.0652741672377488,False,0,32.158421599990106,True,
1,2,6120,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7259.39385969867,14800.527199555803,50,0.602418488043191,0.039061542413328085,0.3046485884481984,-0.19876881950946912,0.056347888781260666,0.006226209540471874,-5.601971881505343,1.0671384849925165,False,0,32.32564090000233,True,
2,0,6200,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7235.965474267735,15029.775119249225,99,0.762708072366904,0.11981718060395795,0.29907152177199164,-0.09129773813615787,0.19144797074007888,0.08091521676459425,-5.901522992417562,0.9098015866657664,False,0,39.78183359999093,True,
2,1,6210,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7226.78968036087,15011.423531435496,99,0.7887868284404924,0.1052029559655997,0.29992782866868395,-0.12312386867981004,0.20630167862369225,0.09819342421542754,-5.850817302842974,0.8739788597947743,False,0,39.794141799997305,True,
2,2,6220,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7173.434509856628,14904.713190427012,99,0.8243585793684622,0.11957484131289903,0.30110940494100646,-0.1219574545466402,0.23170546365396866,0.11270076815642457,-5.964792754917364,0.9779892523143843,False,0,41.81828029999451,True,
3,0,6300,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7226.844187833194,15282.002447332268,147,0.8686938398400382,0.2029273569888503,0.29572641215526035,0.0123298819816381,0.33023287700578613,0.22112477798660674,-5.947577374207967,0.8156236814167954,False,0,47.6865761000081,True,
3,1,6310,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7213.732475626876,15255.779022919633,147,0.8689786745274025,0.19101967060028271,0.2955306856298508,0.003342466476158095,0.32599354725216434,0.20859262738876438,-5.981308237287967,0.8371567800817574,False,0,42.984164900000906,True,
3,2,6320,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7255.974035673787,15340.262143013453,147,0.870486134009459,0.19242664598497727,0.29696883367850796,-0.023021029569901996,0.26826134147060565,0.14885802019788907,-6.026568702991971,0.8478182327634641,False,0,41.78397279999626,True,
4,0,6400,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7361.5717260002875,15816.292635015408,194,0.8878328295414465,0.23007914362153442,0.2890442560118128,-0.05945290386876018,0.24359578392573572,0.14374433184811325,-5.994794525057797,0.7519365341365548,False,0,40.93909420000273,True,
4,1,6410,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7327.17433733576,15747.497857686354,194,0.8990521115344237,0.23710684539158178,0.2902692589849425,-0.03193239392773031,0.2364772765201497,0.1399724119368839,-6.108845225872431,0.7898713597751101,False,0,40.58928909999668,True,
4,2,6420,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7382.719908408592,15858.58899983202,194,0.8821961639272653,0.2484784893502929,0.28948502859051733,-0.014959536141815876,0.29421395876494677,0.1888183075884739,-6.063997920606017,0.761901341369522,False,0,40.84497810000903,True,
5,0,6500,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7536.1976514736,16424.74480770782,240,0.9086304850482417,0.25608524677125055,0.2855161312438497,-0.03443044709746452,0.25177901438796507,0.15003354381091405,-6.065185519337598,0.7085521643681031,False,0,42.869444800002384,True,
5,1,6510,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7544.885845103481,16442.12119496758,240,0.9021497186539995,0.2891631815596327,0.286421579571736,-0.04215939432176078,0.2553172442689309,0.14988161654038726,-6.0796145416027665,0.70419137667491,False,0,43.17027869999583,True,
5,2,6520,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7499.826296389654,16352.002097539927,240,0.9065800818642634,0.26115582326360387,0.2843165002553324,-0.057801080292034894,0.26348360151077066,0.13747506613195073,-6.075853483848852,0.7087841160989771,False,0,44.186961500003235,True,
6,0,6600,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7698.3691713283715,17002.65337955998,285,0.910687584597666,0.2682993411697048,0.27930268756022786,-0.04333696770809653,0.22950611124922826,0.13364834863642594,-6.079495446429581,0.6551595618709247,False,0,42.619302699997206,True,
6,1,6610,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7746.120087742219,17098.155212387675,285,0.912803935023492,0.2913619449911498,0.2787287994650452,-0.03812685232541509,0.2792516657036163,0.15933356747739047,-6.090628367154442,0.6618706176539892,False,0,41.933938100002706,True,
6,2,6620,280,50,bernoulli,bernoulli,balanced_degree,0.011085509472606246,-7679.636818300716,16965.18867350467,285,0.9140891588773089,0.3006615624483562,0.27996438203670054,-0.03544743018604521,0.22773376824366523,0.13425224919368528,-6.106640282544218,0.6582161685437864,False,0,41.54281970000011,True,
