k,n_trials,bic_mean,bic_std,bic_min,q_mean,auc_mean,auc_std,ap_mean,ap_std,silhouette_mean,silhouette_std,nmi_mean,nmi_std,ari_mean,ari_std,rmse_x_mean,w0_mean,w_mean,runtime_mean,success_rate,n_nan
1,3,14811.943224405133,9.904762645599556,14800.527199555803,-7265.101872123335,0.6043355418783619,0.009640212799229352,0.035039683211945304,0.0044510769011107156,-0.19076291692578806,0.008634042984168092,0.05156847493861905,0.005472843710298403,0.006929280910860827,0.002262170005573707,0.30452399442645944,-5.590232359692873,1.0452877067023847,32.332108033331075,1.0,0
2,3,14981.97061370391,55.14059171705668,14904.713190427012,-7212.063221495077,0.7919511600586194,0.025267977089977026,0.11486499262748556,0.006832807935479019,-0.11212635378753603,0.014735751376547703,0.20981837100591325,0.016622109330875143,0.09726980304548212,0.012992821771266632,0.30003625179389404,-5.9057110167259665,0.9205898995916417,40.46475189999425,1.0,0
3,3,15292.681204421786,35.3069991638051,15255.779022919633,-7232.183566377952,0.8693862161256333,0.0007864041425591209,0.1954578911913701,0.005312851363005187,-0.002449560370701933,0.015001831402138056,0.3081625885761854,0.02826747388342753,0.19285847519108676,0.03153087089777318,0.29607531048787306,-5.985151438162635,0.833532898087339,44.15157126666842,1.0,0
4,3,15807.459830844595,45.780813215051104,15747.497857686354,-7357.155323914881,0.8896937016677118,0.007006086698319319,0.23855482612113635,0.0075809615465967034,-0.03544827797943546,0.018333685270925906,0.2580956730702774,0.02570429546544267,0.15751168379115701,0.022190619116257634,0.28959951452909083,-6.055879223845415,0.7679030784270623,40.791120466669476,1.0,0
5,3,16406.289366738445,39.03686638998537,16352.002097539927,-7526.969930988911,0.9057867618555014,0.002704576459930005,0.26880141719816236,0.01454599079758713,-0.044796973903753395,0.009721599440328632,0.2568599533892222,0.004901312987435722,0.145796742161084,0.005884640426526841,0.2854180703569727,-6.0735511815964065,0.7071758857139967,43.408895000000484,1.0,0
6,3,17021.99908848411,55.98045763755059,16965.18867350467,-7708.042025790436,0.9125268928328222,0.0014024362556019903,0.2867742828697369,0.01360424748200072,-0.03897041673985228,0.0032756578239027025,0.24549718173216994,0.02387898924530817,0.1424113884358339,0.011968327134751315,0.27933195635399116,-6.0922546987094135,0.6584154493562334,42.032020166666676,1.0,0
