strategy,n_subset,d_subset,n_classes_present,y_density,n_edges,n_isolated,lcc_size,best_auc,best_ap,best_nmi,best_ari,best_sil,class_balance
BFS,300,50,6,0.0138238573021181,620,N/A,N/A,0.9064350572155812,0.4445170879160123,0.1666509263062955,0.0315293871378515,-0.2347135509124171,skewed (Genetic_Alg=78%)
balanced_random,280,50,7,0.002022529441884281,79,181,37,0.9257489611134798,0.15079174750206542,0.13188097376792043,0.049630192417475405,-0.10903976267892825,"balanced (7 classes, ~40 each)"
balanced_degree,280,50,7,0.011085509472606246,433,26,221,0.8996582521852422,0.2769349110456556,0.2874294883485934,0.18649014953875812,-0.023751695612953653,"balanced (7 classes, ~40 each)"
