strategy,k,seed,n,d,family_x,family_y,y_density,q_strict,bic,num_params,auc_y,ap_y,rmse_x,silhouette,nmi,ari,w0,w,nan_occurred,runtime_s,success,error_message
balanced_random,2,4020,280,50,bernoulli,bernoulli,0.002022529441884281,-5421.504864809212,11400.85390033218,99,0.8915141716233713,0.1080456837878636,0.29064370610008,-0.14578594288293192,0.13188097376792043,0.049630192417475405,-8.06448765940814,0.9764386414976981,False,39.757227299996885,True,
balanced_random,3,4030,280,50,bernoulli,bernoulli,0.002022529441884281,-5685.495109041834,12199.304289749549,147,0.9027458687273481,0.11690246956323545,0.28822261391954834,-0.1096386388302663,0.1013808229206127,0.035407689336690036,-7.965841852399999,0.8217701482534264,False,41.97516950000136,True,
balanced_random,5,4050,280,50,bernoulli,bernoulli,0.002022529441884281,-6193.559283304389,13739.468071369398,240,0.9257489611134798,0.15079174750206542,0.28202414493741984,-0.10903976267892825,0.11940081773949923,0.04906721607004893,-7.860811826365883,0.6462554691865797,False,42.28931899998861,True,
balanced_degree,2,5020,280,50,bernoulli,bernoulli,0.011085509472606246,-7195.356436786181,14948.557044286117,99,0.8095706129045779,0.11523468966828015,0.30275196943281035,-0.12003037522107286,0.2096968338793454,0.10715766536690369,-5.911149326705476,0.9386431431282596,False,39.91925700000138,True,
balanced_degree,3,5030,280,50,bernoulli,bernoulli,0.011085509472606246,-7298.100340191112,15424.514752048104,147,0.8498885922093409,0.18349571885071203,0.2964664472103507,-0.023751695612953653,0.2874294883485934,0.1826593862143735,-5.950205338962707,0.8173976817855124,False,42.15760199999204,True,
balanced_degree,5,5050,280,50,bernoulli,bernoulli,0.011085509472606246,-7494.995509059377,16342.340522879373,240,0.8996582521852422,0.2769349110456556,0.28281499512465125,-0.030114860633956717,0.2843063831440866,0.18649014953875812,-6.0408800451462445,0.7003659186994764,False,42.6835116000002,True,
