rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,n,trial
0.05537853640660287,0.35776226491075214,0.9000000000000001,0.06354573932500125,0.4422696238116605,0.004671310845284453,7.115147939174005e-05,50,0
0.0567143715063485,0.3731398049614895,0.9000000000000001,0.06788742622344268,0.4426225809202179,0.004034256275572482,0.0001137727415930212,50,1
0.055893171143957525,0.3646718883413095,0.9000000000000001,0.06222206896040957,0.4534420356246488,0.0022743905354028785,0.0021888885051365436,50,2
0.05039431842825837,0.31495308739516836,0.9000000000000001,0.05978713301313333,0.445016244073102,0.0028616578486260853,0.002425695192933508,50,3
0.04684362524650728,0.31690117477215884,0.9000000000000001,0.056928594868458984,0.4576483431232909,0.0008295516183033883,0.0014589452420495919,50,4
0.05259795182283046,0.3077203821255449,0.9000000000000001,0.0645670137795114,0.4451558967052854,0.001984332986327378,0.0013924577260665538,50,5
0.05362038123452353,0.40109035804885834,0.9000000000000001,0.06389900354782382,0.4399953260543927,0.001310558724748513,0.002094527219418052,50,6
0.05353247767226258,0.36192864009380643,0.9000000000000001,0.06383240160478519,0.4480012427850064,0.0029386391006488493,0.0037919532499917086,50,7
0.054228953436188235,0.3978093267451909,0.9000000000000001,0.06158092057458891,0.44224196052849696,0.0005139428399448155,0.0031345101037223433,50,8
0.051033947843644255,0.3726960224510391,0.9000000000000001,0.062069662054464084,0.44377679818815075,0.0021203795075618466,0.0013824466000102453,50,9
0.03402522938703354,0.27304397889706455,0.9000000000000001,0.04030991612179521,0.4583175687465759,0.0014379606668204071,0.00048013072222086173,100,0
0.03384026386410748,0.2557729235621207,0.9000000000000001,0.041171009923707834,0.45162097534550416,0.0001920262908096835,0.00019925387933339422,100,1
0.03748639177708911,0.26918483107779717,0.9000000000000001,0.04430292424697668,0.44725127373026896,0.000860466743027366,0.00018428354116634127,100,2
0.03551894872656227,0.2512837383002339,0.9000000000000001,0.04333691595576429,0.4558324031641437,0.0007493289381918744,0.0009257076839035427,100,3
0.03501284083601447,0.22216619387099318,0.9000000000000001,0.04194827045681661,0.4464186964533683,0.0015572118766890494,0.0006933392412407091,100,4
0.03216242875608014,0.20665151939590642,0.9000000000000001,0.039174634837009066,0.4586116188174261,0.0018581695176528947,0.0003605833864462893,100,5
0.03512388355467535,0.284893721919498,0.9000000000000001,0.041535796258847506,0.4444457104994192,0.00014456744948685747,0.00021115326506498944,100,6
0.034237608900715054,0.28018645404443543,0.9000000000000001,0.04169438598748297,0.45126258381752415,0.00218844345042031,0.0001809573421921451,100,7
0.03745963590711216,0.24706490684702834,0.9000000000000001,0.04522973703283348,0.4554061395666831,0.0007243795773501258,0.0011152529587523663,100,8
0.035377392136684845,0.21254857394644203,0.9000000000000001,0.042925876825653776,0.45075296164527257,0.00033302195540734685,0.0001763164173783638,100,9
0.030245561064596443,0.17977284413029104,0.9000000000000001,0.03694446549176429,0.4520767624173492,0.0010556656908397646,1.4122662502169536e-05,150,0
0.029302624076761475,0.20314738603394566,0.9000000000000001,0.03524316662793112,0.4517366811696883,0.00026542813474610426,1.9952192732153318e-05,150,1
0.02956431170457741,0.22880964458577285,0.9000000000000001,0.03552583791131081,0.4501094137897654,0.0010308485358116362,0.00028426083751559306,150,2
0.02982852207866601,0.1782889025270215,0.9000000000000001,0.03625477894577022,0.45545366268941007,0.001652310900435246,0.00046407205675058627,150,3
0.02973364065216005,0.18740666004645443,0.9000000000000001,0.03608635918071525,0.4549538930066256,0.00019749740798650556,0.0002458387292133546,150,4
0.027449774432263263,0.22505434212267134,0.9000000000000001,0.03347115919362241,0.4539875849902067,5.4213792610532984e-05,0.00042496760465848826,150,5
0.02909596439828119,0.1745359963412646,0.9000000000000001,0.03556292528568002,0.4554690995851874,0.0019531082337400315,0.000661712738896425,150,6
0.029751636134683023,0.1784304036393047,0.9000000000000001,0.03648685589464308,0.4529324227472451,0.0012773113507531196,0.0008939099057918565,150,7
0.02864021934594869,0.2120393563546645,0.9000000000000001,0.03488357975946875,0.4539217336439515,0.0006771807411036228,0.0002492109977194623,150,8
0.028716959206269668,0.17886296802394064,0.9000000000000001,0.03460393558848825,0.4565347476509729,0.000994964521390715,0.0001226605290153282,150,9
0.02430407260206565,0.17276405736213055,0.9000000000000001,0.029643051312975274,0.45587326702588044,0.00036825325344933934,3.819480988653812e-05,200,0
0.024052986240525945,0.17324162907291887,0.9000000000000001,0.02934976849952986,0.45333096774209064,0.0008213122926049891,2.127141138452693e-06,200,1
0.02395196476786194,0.18895243226300348,0.9000000000000001,0.02938468642122109,0.4513937987205482,0.00016728034996543614,9.210471317888658e-05,200,2
0.024264442310545118,0.17768092265537902,0.9000000000000001,0.02954933056299234,0.4531016898847823,3.933060129168638e-05,8.724493743150763e-05,200,3
0.02578604358495577,0.18360471169769993,0.9000000000000001,0.03136807224833929,0.44977481159915816,0.0004515869890025617,9.390042180645874e-05,200,4
0.025357545610752107,0.18985462826542285,0.9000000000000001,0.030816078433876473,0.45187103856271515,0.0004625206888758088,0.00015582008735182118,200,5
0.02517963987639488,0.1482271061403887,0.9000000000000001,0.030781278213613414,0.4581933938577243,0.00012206968669882702,0.0006696128406585844,200,6
0.02376789803903868,0.1724517524800258,0.9000000000000001,0.028859767216998653,0.45387870333126795,0.0010166533059304962,5.5483439149517366e-05,200,7
0.025828198347140324,0.21795637629041964,0.9000000000000001,0.031523909945709604,0.45236008736138106,0.000707933409437232,0.00016104478673162337,200,8
0.02583285000152066,0.16115517699651083,0.9000000000000001,0.03135387903208488,0.454170419291801,0.002091663976922475,9.533464874311726e-06,200,9
0.022212665660047554,0.14494179489442324,0.9000000000000001,0.027150320638286655,0.45611381725704664,1.9488183484724715e-06,2.8000056316479505e-05,250,0
0.022485708775142273,0.1596744437972689,0.9000000000000001,0.02700640258742858,0.4555021186145992,0.0002773701644295241,0.00011066338975779244,250,1
0.021828650286960023,0.17546845964207633,0.9000000000000001,0.026476368032945057,0.45185683830115064,0.00052642242742603,0.0002522640027392553,250,2
0.021806890954723997,0.16451054320171182,0.9000000000000001,0.02649674515093418,0.45692164744576635,0.00021989763169488822,0.0005275491537172772,250,3
0.02092062362561667,0.14351762236657378,0.9000000000000001,0.02564352796189178,0.45471308168550545,0.00012587677092488954,0.0003831726173543215,250,4
0.022277455103987532,0.1273616491512117,0.9000000000000001,0.027155199361808012,0.45583127497454273,0.0014612711956794066,0.00041421796748219997,250,5
0.021172500418408385,0.18259316698883707,0.9000000000000001,0.025919653714534346,0.44941713544920786,0.00023075863765630852,0.0001850996406360661,250,6
0.022774499988680506,0.12883654603976408,0.9000000000000001,0.02789975030381381,0.4559344025194898,0.00022318206155626512,0.000194359017675505,250,7
0.021860252159365413,0.11995838134629137,0.9000000000000001,0.02671606954641186,0.45483471562499983,0.000564101423121621,7.970225779141416e-06,250,8
0.021459802755561867,0.1468568203732189,0.9000000000000001,0.026358869427461996,0.45984815221919223,0.00039026628406729156,0.0007035635907527427,250,9
0.02060465565981905,0.11791242035030926,0.9000000000000001,0.02510707139190304,0.4549841379157765,0.0004946516249606174,2.8812497600894105e-05,300,0
0.019377228770356716,0.11709118922418718,0.9000000000000001,0.023647716232905326,0.4537614840400992,0.0007081897607802889,0.00036905526187080984,300,1
0.020683003101704005,0.1255253638972892,0.9000000000000001,0.025098879014074215,0.45935372859841944,0.00014857700792912364,0.00011265204157406838,300,2
0.020613615778759295,0.1251859402065151,0.9000000000000001,0.025132422375144372,0.45841855538909826,0.0004173084425774236,0.00013614629091784902,300,3
0.02027596596337556,0.11732904644532359,0.9000000000000001,0.02478135918128357,0.456691351994456,0.00012275586188440526,0.00036321916018211553,300,4
0.020559335522238226,0.1382599395411768,0.9000000000000001,0.02508824472091597,0.4582089834794707,0.0005113611342332494,0.0006911308225674428,300,5
0.01980842206946964,0.13871696276904255,0.9000000000000001,0.024235668518648907,0.45512859482929224,0.00011988328652404943,0.00034677997766185964,300,6
0.02061211700331195,0.13463010638393055,0.9000000000000001,0.025096985010997105,0.45869588791948834,0.0005770506190429126,0.0005196261338367147,300,7
0.019327578772152767,0.10769287439174308,0.9000000000000001,0.023614422500223792,0.45925157963447594,0.0003185003272031762,3.631908236079173e-05,300,8
0.019818899131514887,0.11347331060858716,0.9000000000000001,0.0242042217627365,0.4573656151595347,0.0005877853920142203,0.00019422988353806625,300,9
