scenario,k_est,trial,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,BIC,Q_strict
A,1,0,0.74897572075205,0.5403919623165477,0.9000000000000001,0.25470407330431616,1.8620943637587426,0.2957996133258307,0.3681727932450489,20892.296281966694,-10408.568376277624
A,1,1,0.8694530930323585,0.6418771449822201,0.9000000000000001,0.24941134205091833,1.7401392180966506,0.27380962803505526,0.3484483342711142,20573.569466547797,-10249.204968568176
A,1,2,1.3494231448674718,0.7180575028007783,0.9000000000000001,0.26654677627179896,2.105886321225928,0.31803443006772425,0.6156419086830619,21988.71362694635,-10956.777048767453
A,1,3,1.0403042675425576,0.6951378188955838,0.9000000000000001,0.26429898065411456,1.934807826516693,0.3222648728163555,0.5222930913181526,21212.41270650251,-10568.626588545532
A,1,4,1.15490151850974,0.6320116387610161,0.9000000000000001,0.2669899937296251,1.8669756588262032,0.33158998176640764,0.48122442056476755,21192.545611968097,-10558.693041278326
A,1,5,0.2869131875503625,0.16724152345776486,0.9000000000000001,0.2693893323504873,1.884041076812328,0.3484506307809876,0.580456202692383,21565.88435048522,-10745.362410536887
A,1,6,1.199566711526366,0.6988672555979383,0.9000000000000001,0.2701051530300591,1.7126895548596508,0.3398922706228129,0.5380088434741891,21000.144585951137,-10462.492528269846
A,1,7,1.1964922706405494,0.6699378580144493,0.9000000000000001,0.27486529340804366,1.996456069537445,0.3538259796264187,0.5910610835759865,21762.155526246708,-10843.497998417632
A,1,8,0.45466028132567876,0.27603168009013257,0.9000000000000001,0.2739300656523864,1.7289089117402627,0.3410610882777888,0.5191028551796601,21157.170431177074,-10541.005450882814
A,1,9,0.8114948733537626,0.5042284929886125,0.9000000000000001,0.2692321139676339,1.7901931102531268,0.3125566818221197,0.5021335158642929,21148.454119322778,-10536.647294955666
A,2,0,0.571959905872843,0.3377085008669959,0.9000000000000001,0.1898164201786696,1.5296323987812472,0.17966081310958482,0.28462212470885606,18602.00131101486,-9228.346443743036
A,2,1,0.682310241210884,0.29981670581614106,0.9000000000000001,0.19742372600392713,1.3819425170682709,0.18028351940810927,0.380876984493544,18682.060366137557,-9268.375971304384
A,2,2,0.4702253917665178,0.17504248314525098,0.9000000000000001,0.20599005426090009,1.4972876184854629,0.1920344507020254,0.3158822135626411,18853.9362426394,-9354.313909555305
A,2,3,0.7872358585254587,0.42188761199272096,0.9000000000000001,0.20466773860846177,1.477074700398278,0.19447314914030944,0.3117300280666644,18540.882689390717,-9197.787132930964
A,2,4,0.9500398064827548,0.4706713155648418,0.9000000000000001,0.22103317805214126,1.3703385422886634,0.24777363518083817,0.42287568945283893,18937.19725118685,-9395.944413829031
A,2,5,0.7736383997127352,0.3891592439510253,0.9000000000000001,0.21200737179514384,1.4238326110892674,0.23481767844788104,0.4093298481704697,18911.934749913802,-9383.313163192506
A,2,6,0.4343384885898787,0.14854078417287458,0.9000000000000001,0.20422164340442536,1.3591606280349149,0.22571672874789883,0.32640078998464506,18364.233928827467,-9109.462752649339
A,2,7,0.40032438941753146,0.18625725110864522,0.9000000000000001,0.20285650319614235,1.6252814001671034,0.19754766085133113,0.2853149549409115,18972.435941552314,-9413.563759011762
A,2,8,0.7085985964756497,0.3518866435077897,0.9000000000000001,0.21058760555435801,1.3513600322543589,0.21744440163968148,0.2852992662048235,18492.713195373355,-9173.702385922283
A,2,9,0.6946363196334072,0.4122029536059578,0.9000000000000001,0.19998836935587277,1.5227385353564546,0.17150511887882247,0.3121797559548165,18635.25210160063,-9244.97183903592
A,3,0,0.2663330291936298,0.07922202998327627,0.9000000000000001,0.12432939180585603,1.1896105292062333,0.031894940479809675,0.16499029031284174,16853.313797241397,-8321.433557444678
A,3,1,0.2781238593832473,0.06673904562083542,0.9000000000000001,0.11864901107862787,1.2324745272821416,0.029031201316722544,0.19504752865896946,17126.986761396038,-8458.270039521998
A,3,2,0.2648217350342725,0.05863626057155617,0.9000000000000001,0.11920945092988904,1.223540603197559,0.04277721271626844,0.06338436217925003,16972.177680692206,-8380.865499170082
A,3,3,0.2674457256220859,0.07603743908327754,0.9000000000000001,0.12188065304854367,1.2127136055202996,0.03999008409445648,0.09608558153721036,16758.284687370622,-8273.91900250929
A,3,4,0.26412068440182795,0.06748612151147884,0.9000000000000001,0.12278544295909694,1.2186477352244651,0.057889058670076654,0.109746151604867,16945.896199288392,-8367.724758468175
A,3,5,0.26335265932929575,0.08689737314365412,0.9000000000000001,0.11905091818260916,1.127343739020482,0.052004655808997935,0.11325784808427564,16757.858674645722,-8273.70599614684
A,3,6,0.2998491412137241,0.0666126208791139,0.9000000000000001,0.13171657122282465,1.1772150138047281,0.06745839292355704,0.14398306106225078,16693.724925303883,-8241.63912147592
A,3,7,0.27665492742495035,0.06958976059772776,0.9000000000000001,0.12307904375939098,1.1948618385337089,0.044177557616088436,0.11412900042993601,16824.299657440934,-8306.926487544446
A,3,8,0.2729489150441418,0.07116953974498481,0.9000000000000001,0.12329165160803789,1.174550830923743,0.038394299788053865,0.07377563952400545,16450.707475143325,-8120.130396395641
A,3,9,0.26820479251708795,0.07828703113536867,0.9000000000000001,0.12353387790576834,1.1540626401977523,0.012032140736550012,0.13060323366130588,16700.97096906096,-8245.26214335446
