scenario,model_fx,model_fy,fix_w,fix_x,condition,correct,trial,rmse_Z,rmse_F,rmse_Y,rmse_X
B,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,2,1.0117820091122045,1.1309686612867376,0.5299196166968537,1.0610723878080879
B,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,3,1.1973519470172858,1.8707490646655334,0.5324807472092357,1.0402988683690049
B,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,4,1.1242134519817197,1.947418644490891,0.5315245487610434,1.0707796043254219
B,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,5,1.0477159980342017,1.7695428018164379,0.5284561821946802,0.9734067968742418
B,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,6,1.1538056658084241,1.8323391613444975,0.5329658147503429,1.1130510614754334
B,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,7,1.099518434694788,2.581627799567969,0.5310456484632964,0.9277602452173523
B,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,8,1.0104984889980124,1.5226794623885338,0.5314054276937143,0.9745414147500812
B,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,9,1.0693139448136746,1.1085240106403047,0.5305837956658035,1.0846316386393187
B,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,0,0.18213293318368504,3.2061012502880297,0.9248875754718482,0.8570132934987157
B,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,1,0.20995629060818535,3.3899426689865684,0.8160948916256695,0.8636474020029041
B,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,2,0.21322236204502407,3.295300439645202,1.0259328961621135,0.8541303064552459
B,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,3,0.20896146776656213,3.296245229947725,1.1147247845928487,0.8445594043628878
B,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,4,0.22059036903680831,3.2253206611816516,0.8764917431497055,0.8564803376668613
B,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,5,0.2164156351969774,3.14460265768409,0.9154072424111075,0.847531242543366
B,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,6,0.20852472559358443,3.378085825839144,1.6107910523723437,0.8569353034972569
B,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,7,0.2059762878295231,3.2670880445786192,0.8038789391896194,0.8640661270341145
B,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,8,0.25768368433040295,3.074292283354425,0.9736598648648859,0.8389606762938292
B,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,9,0.2089007820122924,3.2470330186415977,1.0186152630741074,0.837474014609219
B,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,0,0.8614115531791664,2.9090579352814188,2.46500808036202,0.8824925779835503
B,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,1,0.8882352793157602,3.1001720171363387,2.0177795995824908,0.8785965111855151
B,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,2,0.8618844353619524,3.2728854999746515,2.3543069349899706,0.9112675143915043
B,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,3,0.8990940336971598,3.0832218701994094,2.444118658391931,0.9139413217073121
B,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,4,0.8266491665382985,2.73785994289699,1.9363762302200473,0.8983937127337094
B,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,5,0.8303058974463475,3.095407521916538,2.266559249635797,0.9740874128774936
B,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,6,1.0554918961016582,2.8842056023361926,3.8916691005326127,1.0122334889645568
B,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,7,0.8060647535551717,3.056644513799061,2.04127011304638,0.9595103521458016
B,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,8,0.8734292212733477,2.632899972850184,2.2303996260027503,0.8912490597924648
B,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,9,0.8961107917957347,3.074511317947001,2.3440234930098356,0.929572324620685
