rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,d,trial
0.1996540064857558,0.02978843157261158,0.025894124906854967,0.6686858927313969,0.27536569015434414,0.012633657081747284,0.010246467189494957,5,0
0.20520307675617416,0.032837054866822944,0.018123737492104997,0.7151916890637114,0.2887719617770714,0.025573139525883897,0.009087131610723831,5,1
0.1980329973338638,0.049936560443253765,0.017652514666368115,0.7665554435127304,0.3230902494479326,0.03362621514459289,0.012852548139707765,5,2
0.1999046576284434,0.022167659162023522,0.012694191797451185,0.550832652214197,0.3186272059445338,0.020699137451959556,0.016945990270777034,5,3
0.2035446582962057,0.027458482488583916,0.010906653495920652,0.7148387311215445,0.3084593414357991,0.015769022048139993,0.0059336178642895865,5,4
0.2052010157796989,0.05348717852397296,0.02963727433482374,0.6152364944372137,0.3187468746446366,0.043084488772872014,0.019835144399615423,5,5
0.19594294853522923,0.039493096742044466,0.012645474665831052,0.7799903613550584,0.30589133082351694,0.035100586814773425,0.013266337659505578,5,6
0.19191245120305958,0.027372159366279902,0.014214632552818275,0.5646439452701093,0.31638118114300545,0.02939153754370002,0.011696008854093998,5,7
0.20317070536386259,0.02920551904526741,0.008646481043603984,0.7011137687269933,0.31768008015460153,0.021589333362034106,0.007265433582070213,5,8
0.19904452986766247,0.02297349383005145,0.006578446259415518,0.5798122189554898,0.30641840521203656,0.0012349267079824972,0.01182614637952345,5,9
0.16594451165484128,0.033001823728734433,0.016138585710508812,0.620375862816707,0.3109571771621373,0.024554794242428873,0.012336595285009355,10,0
0.17228835535819714,0.023812605760389207,0.010183222368108978,0.6079909463386639,0.32456870915779357,0.02580188640046461,0.010274282782921862,10,1
0.17264292521684635,0.0241378709110985,0.015221990223201786,0.671207876407973,0.2942382447812313,0.021439592501763877,0.013108910914358396,10,2
0.1767532663391626,0.025785292215866958,0.013985886097943809,0.6029254732527882,0.305932787123751,0.020208084370788474,0.0026228861716032226,10,3
0.18448803840089661,0.04045958541899164,0.0209847237686805,0.6234786426261097,0.2927223225755016,0.022567035459740366,0.021072852087551885,10,4
0.1647654045360181,0.03798267306553241,0.007607918559509796,0.6111140523814138,0.3081158784414016,0.020976068348689925,0.013341250500746693,10,5
0.18509997142166093,0.026669440120945152,0.023035713867627233,0.6067466950354268,0.30221988516907033,0.02400974480508814,0.014086124101228337,10,6
0.1775266822179991,0.036596887659738606,0.008688987618567807,0.5872611195328059,0.3243512620893066,0.013193531198992128,0.01369057382050115,10,7
