scenario,model_fx,model_fy,fix_w,fix_x,condition,correct,trial,rmse_Z,rmse_F,rmse_Y,rmse_X
A,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,2,1.011278982677097,2.78303904027015,0.2994772279189866,2.39882708538036
A,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,3,0.9850893447346415,2.4199128572265316,0.30480813550060437,2.335170876405756
A,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,4,0.9412826034003526,2.584199001898229,0.3039983384155813,2.214372145239898
A,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,5,0.9864296776025735,2.652870198539397,0.2948678835257029,2.3267472609141975
A,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,6,0.9810288231388253,2.615742727066815,0.30094057651380246,2.203659539913699
A,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,7,0.9140123679722401,2.693016821163576,0.29152225683882127,2.1866864891486286
A,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,8,1.009971172378746,2.558992237391306,0.2996462730570448,2.3114506587724586
A,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",False,9,0.9022851092372453,2.731259198871941,0.2942042465393364,2.2704343699413605
A,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,0,0.6237629493070287,3.44638263264655,375.5183942988865,2.3311819362366384
A,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,1,0.589616081354798,3.596774289761789,521.8521935928763,2.2147246778371747
A,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,2,1.1529843463065776,3.338268947394426,748.6681326644924,2.361170886883583
A,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,3,0.7092406274408138,3.5112371087679985,333.69893232686957,2.2359528290439603
A,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,4,0.7161215868631426,3.325273393088535,257.84029446202453,2.0821053679068533
A,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,5,0.853066454877743,3.5817408731332505,480.41967955642144,2.2320984874551177
A,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,6,0.6730820150507735,3.4016245442185244,294.33485424004886,2.1077634060791506
A,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,7,1.2736027681185211,3.1077031385799914,561.7732650028546,2.1284387542463152
A,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,8,0.5136371019022649,3.4420869512139323,522.5627193238296,2.220103309947732
A,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",False,9,0.7197380343105928,3.4841642760278337,580.8181892133713,2.1784722113996473
A,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,0,0.2737352739226836,0.0869573676375829,2.6935684118644407,1.2403404986410325
A,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,1,0.29016274620116,0.08018423134450609,2.6984803544235154,1.2215079706067964
A,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,2,0.3055267128540556,0.0717625521500173,2.705238452303553,1.2344010151521374
A,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,3,0.28660722080582796,0.06971399640842846,2.6998102828181856,1.2243818633318637
A,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,4,0.2807297511571507,0.05658200979979174,2.6864593246600537,1.2123707425548185
A,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,5,0.32268543361270835,0.06911876891756538,2.702429521257844,1.2256583418464932
A,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,6,0.2918436921227782,0.0683612589955075,2.6946273101458886,1.2937466304270018
A,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,7,0.3059728693048415,0.0710146761240777,2.701972687614319,1.1685701169693552
A,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,8,0.29809444984158845,0.06801805121278252,2.6954513604488985,1.2624723939059928
A,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",False,9,0.301559777467544,0.08939353394478805,2.703603855054818,1.2081167796790633
A,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",True,0,0.25585442852458584,0.07790222402389571,0.11901830063402463,1.1971556018649754
A,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",True,1,0.2914786288012447,0.07498287059587108,0.13006156578902114,1.1976459142005849
A,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",True,2,0.27634333172066416,0.06775883692248544,0.12272877040052547,1.227481502171545
A,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",True,3,0.2724991128952589,0.05728111544275083,0.122082342226841,1.1837138378695933
A,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",True,4,0.2785604807005619,0.05079147570395052,0.12032630293798277,1.1802034160135293
A,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",True,5,0.2916715569601146,0.06600949185047593,0.12551992077816826,1.1998946620602373
A,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",True,6,0.2838033669798511,0.07121901848933915,0.12572003284525368,1.2620126751014071
A,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",True,7,0.27992105848423554,0.07119295868803437,0.12012700389674547,1.181709493962858
A,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",True,8,0.2838542782941667,0.06339040697380814,0.127950009771862,1.2256189166857288
A,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",True,9,0.2726127776287926,0.07562676412980096,0.12508488628341308,1.1672484474065852
A,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,0,0.3445866845358996,0.08850359960745664,375.4910957723915,1.249297237410843
A,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,1,0.365156502611549,0.08352461778832797,521.8008577896828,1.183478398286618
A,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,2,0.3786208733602189,0.07310813826742125,748.5736494512682,1.2190948483527497
A,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,3,0.36451994849931146,0.07309430612101721,333.6498402402294,1.1989599836004867
A,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,4,0.3805914941615771,0.06446322505601744,257.80080950883683,1.2051497939572604
A,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,5,0.38076691717733674,0.06903519535897083,480.38058851780016,1.2167720772392532
A,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,6,0.37841524403741095,0.07993749145625094,294.2963804246808,1.2522863055401068
A,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,7,0.3779236901061265,0.07731092350206785,561.6963595804699,1.1734733157462849
A,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,8,0.3759176529731211,0.06574555357014464,522.5294935988294,1.2449087381122077
A,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,9,0.38731763885357645,0.0924957552293227,580.7717859560469,1.1887621810715114
A,poisson,bernoulli,False,True,Y-only (fix_x),False,0,0.33012327934809543,0.5477225575051662,0.1349316616264921,2.3318090259138575
A,poisson,bernoulli,False,True,Y-only (fix_x),False,1,0.34838521990502525,0.547722557505166,0.14972773542297152,2.2155009466133038
A,poisson,bernoulli,False,True,Y-only (fix_x),False,2,0.36204983283778513,0.5477225575051661,0.1411183053060711,2.3213023164690214
A,poisson,bernoulli,False,True,Y-only (fix_x),False,3,0.3398723487263806,0.5477225575051661,0.1404912542135373,2.2401388845833248
A,poisson,bernoulli,False,True,Y-only (fix_x),False,4,0.3383757677548166,0.5477225575051661,0.137187295554297,2.1039645117412666
A,poisson,bernoulli,False,True,Y-only (fix_x),False,5,0.3583898722527888,0.5477225575051661,0.14422751239052758,2.2476654555338076
A,poisson,bernoulli,False,True,Y-only (fix_x),False,6,0.3331242783636505,0.5477225575051661,0.1417544333358458,2.122681741990018
A,poisson,bernoulli,False,True,Y-only (fix_x),False,7,0.334388139225476,0.5477225575051661,0.1358869340075027,2.099312056629769
A,poisson,bernoulli,False,True,Y-only (fix_x),False,8,0.3544651255643178,0.5477225575051661,0.14413428178676568,2.223610677354389
A,poisson,bernoulli,False,True,Y-only (fix_x),False,9,0.3776723984615865,0.5477225575051661,0.14554891858373945,2.1965629717558497
A,poisson,bernoulli,True,False,X-only (fix_w),False,0,0.5275385827360107,0.08295670047562331,0.3213581100742454,1.226820239928926
A,poisson,bernoulli,True,False,X-only (fix_w),False,1,0.5418208906516745,0.07867262528099571,0.31557527786870804,1.2173768716522972
A,poisson,bernoulli,True,False,X-only (fix_w),False,2,0.6171383436628624,0.08225133008218607,0.30193556226964197,1.225726704205008
A,poisson,bernoulli,True,False,X-only (fix_w),False,3,0.5019778205866885,0.07204098574492984,0.3220194971492357,1.1976234828623276
A,poisson,bernoulli,True,False,X-only (fix_w),False,4,0.606057322599911,0.07583653183019307,0.32460503915580013,1.2050710911133353
A,poisson,bernoulli,True,False,X-only (fix_w),False,5,0.618354779658311,0.08849181311418755,0.3081515320375185,1.2501152198469878
A,poisson,bernoulli,True,False,X-only (fix_w),False,6,0.8320606266750508,0.200972988419702,0.3176479403477787,1.342593479877697
A,poisson,bernoulli,True,False,X-only (fix_w),False,7,0.5930277146694929,0.09230178195822696,0.3182927499934053,1.1937321299256416
A,poisson,bernoulli,True,False,X-only (fix_w),False,8,0.5548041407692279,0.07395550640720414,0.31109061208293665,1.217442687047473
A,poisson,bernoulli,True,False,X-only (fix_w),False,9,0.5879683045612486,0.09800401389895431,0.31583671540196656,1.1878423516408094
