rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,d,trial
0.029496641385417705,0.2601093372962608,0.9000000000000001,0.03587780535310173,0.4571217915833116,0.00031256064136667144,0.00012550988610959823,5,0
0.0300419464580536,0.16907073581909926,0.9000000000000001,0.036485824723849966,0.4584522466564685,0.0011423084793255054,1.8260791702251478e-05,5,1
0.027208552545217327,0.2381241365325505,0.9000000000000001,0.033081297802086955,0.45543949789584987,0.00013224758109500837,1.1130153538430054e-05,5,2
0.029622802377063537,0.23951338948371195,0.9000000000000001,0.03599424930737697,0.4542996509586326,0.00028831054530781405,0.0005472991434281038,5,3
0.029071678518929455,0.23288645680446032,0.9000000000000001,0.035108179544282775,0.4566586076708829,5.7878343662180775e-05,9.762106333460752e-05,5,4
0.028958707817766893,0.20535905467550883,0.9000000000000001,0.035402943509098415,0.44782218028727155,0.0011323968864816753,0.0005943395009269103,5,5
0.02867801641928258,0.2036050578271379,0.9000000000000001,0.034676380197751995,0.44530101844235426,0.0005327587768365443,8.354641142266361e-05,5,6
0.029633692392199405,0.2180198822822589,0.9000000000000001,0.03594705277075416,0.45241779925270975,0.0014553726447419498,0.0004608983472689232,5,7
0.0286994725403419,0.21425365829109913,0.9000000000000001,0.03507718146532204,0.456374500520401,0.0005906676379209868,0.000737337039637409,5,8
0.028692313903727985,0.0904990451948083,0.9000000000000001,0.03489992011708507,0.4588661238898771,0.0001010602245202902,0.0004322770865290426,5,9
0.028977794882958423,0.18665247783391517,0.9000000000000001,0.03553717417900426,0.45787597073523395,0.0015589022897680251,0.0007272040764181309,10,0
0.028386405475670406,0.17541916093688187,0.9000000000000001,0.03464360839318922,0.4528214678968191,9.158922934401849e-05,0.0012872791110731807,10,1
0.028895037462716863,0.22725945781327211,0.9000000000000001,0.03497176299250321,0.4609430764522451,0.0013005208979379372,0.000775852692942558,10,2
0.029332088324945944,0.20919516647722544,0.9000000000000001,0.035575035522728414,0.44846752873552825,0.0009263560477181416,0.0002891423411204297,10,3
0.028202687221941497,0.1900919509290017,0.9000000000000001,0.034019287235497665,0.45027589803157175,1.0011592476490215e-05,0.000262941722869503,10,4
0.030199673967231812,0.19832241054751584,0.9000000000000001,0.03669998440550816,0.4553532306884983,4.275914612951047e-05,0.0003135673549749529,10,5
0.028669697626184803,0.19694683538768248,0.9000000000000001,0.03505194195513457,0.4536287683147308,0.0001773757735018346,0.0004224856853541903,10,6
0.028230297534990706,0.25085833238907385,0.9000000000000001,0.034655765446450826,0.4504151196184129,0.0014002207109199626,0.0002214481789050704,10,7
0.027670603098424576,0.21061427023727589,0.9000000000000001,0.03340025515150315,0.4487081286335281,0.0013055735531377717,0.0005483194536394231,10,8
0.030110552695953825,0.2335588749127153,0.9000000000000001,0.0367041959030611,0.44688974449935676,0.001557874868373638,0.0008082483836775456,10,9
0.030245561064596443,0.17977284413029104,0.9000000000000001,0.03694446549176429,0.4520767624173492,0.0010556656908397646,1.4122662502169536e-05,15,0
0.029302624076761475,0.20314738603394566,0.9000000000000001,0.03524316662793112,0.4517366811696883,0.00026542813474610426,1.9952192732153318e-05,15,1
0.02956431170457741,0.22880964458577285,0.9000000000000001,0.03552583791131081,0.4501094137897654,0.0010308485358116362,0.00028426083751559306,15,2
0.02982852207866601,0.1782889025270215,0.9000000000000001,0.03625477894577022,0.45545366268941007,0.001652310900435246,0.00046407205675058627,15,3
0.02973364065216005,0.18740666004645443,0.9000000000000001,0.03608635918071525,0.4549538930066256,0.00019749740798650556,0.0002458387292133546,15,4
0.027449774432263263,0.22505434212267134,0.9000000000000001,0.03347115919362241,0.4539875849902067,5.4213792610532984e-05,0.00042496760465848826,15,5
0.02909596439828119,0.1745359963412646,0.9000000000000001,0.03556292528568002,0.4554690995851874,0.0019531082337400315,0.000661712738896425,15,6
0.029751636134683023,0.1784304036393047,0.9000000000000001,0.03648685589464308,0.4529324227472451,0.0012773113507531196,0.0008939099057918565,15,7
0.02864021934594869,0.2120393563546645,0.9000000000000001,0.03488357975946875,0.4539217336439515,0.0006771807411036228,0.0002492109977194623,15,8
0.028716959206269668,0.17886296802394064,0.9000000000000001,0.03460393558848825,0.4565347476509729,0.000994964521390715,0.0001226605290153282,15,9
0.029121068661028288,0.15839412613472423,0.9000000000000001,0.035558949885461925,0.4594743580279886,0.0006803107694636097,0.0010579957236702686,20,0
0.028549683657035592,0.208759209572138,0.9000000000000001,0.03469074225427002,0.45069416340259716,0.0017578576428802371,0.0005212963790760528,20,1
