k,split_trial,model_trial,model_seed,evaluation_mode,n_train_pos,n_test_pos,n_train_neg,n_test_neg,sampled_random_ap_baseline,train_auc_sampled,train_ap_sampled,test_auc_sampled,test_ap_sampled,test_ap_over_sampled_random,test_auc_all_candidates,test_ap_all_candidates,all_candidate_random_ap_baseline,test_precision_at_K,test_recall_at_K,test_precision_at_10,test_recall_at_10,test_ndcg_at_10,test_map_at_10,test_hit_rate_at_10,bic,q_strict,num_params,nmi,ari,silhouette,w0,w,nan_occurred,success,runtime_seconds,error_message
3,0,0,25300,zero_filled_edge_hiding_no_pair_mask,266,66,1330,330,0.16666666666666666,0.9345921193962349,0.8082108575884371,0.8778696051423325,0.7552462108271892,4.531477264963136,0.8709398007795582,0.33513520299220095,0.014090520922288642,0.3787878787878788,0.3787878787878788,0.14482758620689656,0.5685344827586206,0.45140036579351017,0.3669998631636563,0.6724137931034483,3352.9753795327847,-1552.148094744714,54,0.32417007178711765,0.0924944627705423,-0.3782800798363196,-5.014364826442253,1.1470344522295095,False,True,8.99,
3,1,0,25310,zero_filled_edge_hiding_no_pair_mask,266,66,1330,330,0.16666666666666666,0.9172819266210639,0.7876209428834707,0.8808999081726354,0.6748719215114879,4.049231529068928,0.8827644132971114,0.24689333994028734,0.014090520922288642,0.30303030303030304,0.30303030303030304,0.1396551724137931,0.5479885057471264,0.4128659519689292,0.31789465882138296,0.7241379310344828,3321.5575284857086,-1536.439169221176,54,0.3340797035719505,0.09105398391893092,-0.3906595946261637,-5.023444907474259,1.1489533582188205,False,True,8.96,
3,2,0,25320,zero_filled_edge_hiding_no_pair_mask,266,66,1330,330,0.16666666666666666,0.9154361467578722,0.7725236846797687,0.8505968778696051,0.6189035063715158,3.713421038229095,0.853412864023518,0.16998216456413837,0.014090520922288642,0.24242424242424243,0.24242424242424243,0.14117647058823532,0.4841503267973856,0.35697712921567204,0.2593396617906421,0.6666666666666666,3355.9839982703766,-1553.6524041135099,54,0.36847631885063076,0.13624232255978413,-0.3568215693768035,-4.961184900506412,1.1260637796880004,False,True,8.85,
5,0,0,25500,zero_filled_edge_hiding_no_pair_mask,266,66,1330,330,0.16666666666666666,0.951110859856408,0.838375575935049,0.904912764003673,0.7713955104877214,4.628373062926329,0.8970563145530663,0.2930525918176834,0.014090520922288642,0.36363636363636365,0.36363636363636365,0.15862068965517243,0.6403735632183908,0.5097036508180446,0.4243768244845831,0.7413793103448276,3817.9890642858636,-1713.274799238438,85,0.2183133831151284,0.0026470851719882903,-0.4252154335176444,-5.136218383416554,0.9152234510278965,False,True,9.13,
5,1,0,25510,zero_filled_edge_hiding_no_pair_mask,266,66,1330,330,0.16666666666666666,0.9471818644355249,0.8434276515926927,0.8179981634527089,0.5955346712830517,3.5732080276983105,0.8270830872606533,0.22003126759367006,0.014090520922288642,0.24242424242424243,0.24242424242424243,0.11206896551724138,0.4620689655172414,0.356353841521965,0.2703857644590403,0.6206896551724138,3729.0222152317583,-1668.7913747113853,85,0.28056437846344545,0.03948859038679398,-0.3300924247338218,-5.054641160679546,0.8997066175811919,False,True,9.0,
5,2,0,25520,zero_filled_edge_hiding_no_pair_mask,266,66,1330,330,0.16666666666666666,0.9428797557804285,0.8203219381990674,0.8534435261707989,0.6294743569834732,3.7768461419008394,0.86967006575062,0.2595238139571214,0.014090520922288642,0.2878787878787879,0.2878787878787879,0.1411764705882353,0.49493464052287583,0.41003922749804267,0.323823140367258,0.6470588235294118,3805.281953770055,-1706.9212439805337,85,0.2824306524458795,0.05655088907325605,-0.2567076913778339,-5.089073290966827,0.8961275690180365,False,True,9.05,
8,0,0,25800,zero_filled_edge_hiding_no_pair_mask,266,66,1330,330,0.16666666666666666,0.9623720956526655,0.8765877806469637,0.8735078053259872,0.6680754558969297,4.008452735381579,0.870765909419006,0.16742401691087377,0.014090520922288642,0.25757575757575757,0.25757575757575757,0.13620689655172413,0.518103448275862,0.3558899699112696,0.2594884601350118,0.6724137931034483,4661.64672447824,-2045.3028107078583,124,0.24411592823771652,0.022611612190538706,-0.4221898985551966,-5.090793605373519,0.7183649403656506,False,True,9.27,
8,1,0,25810,zero_filled_edge_hiding_no_pair_mask,266,66,1330,330,0.16666666666666666,0.9671999547741534,0.8863884401035024,0.8707988980716255,0.7052809661437138,4.231685796862283,0.8722062548394294,0.25927921467400217,0.014090520922288642,0.3333333333333333,0.3333333333333333,0.14137931034482756,0.557183908045977,0.41160092877271975,0.3108416575442437,0.7068965517241379,4621.842494887952,-2025.4006959127141,124,0.2713094202876209,0.03883116512207124,-0.4171838104305286,-5.026611574448937,0.7373647268626382,False,True,9.2,
8,2,0,25820,zero_filled_edge_hiding_no_pair_mask,266,66,1330,330,0.16666666666666666,0.9539063824975974,0.8493429812613644,0.8726813590449954,0.6701544697927618,4.020926818756571,0.879066761158576,0.19425962745479164,0.014090520922288642,0.25757575757575757,0.25757575757575757,0.1627450980392157,0.5472222222222223,0.40459371581984377,0.30269581906836807,0.7058823529411765,4639.095750088246,-2034.0273235128614,124,0.2364368223747963,0.006203211488966628,-0.3570098643393332,-5.0698164648403985,0.7282480886479455,False,True,9.31,
