k,n_trials,n_success,success_rate,bic_mean,rmse_y_mean,mae_y_mean,pearson_mean,spearman_mean,high_colike_ap_mean,nmi_mean,ari_mean,runtime_mean
2,3,3,1.0,31809.51381844808,4.834733912895698,3.572393144911222,0.9065110702104668,0.8629730158529378,0.8409116761294549,0.2668333752611649,0.043951962476895236,7.216666666666668
3,3,3,1.0,29435.10646303442,3.9585140782289456,3.000819118414386,0.9387757154375994,0.9083892388697551,0.8970903687299394,0.2814529148086189,0.04576304740305359,7.546666666666667
5,3,3,1.0,28667.272366690988,3.348613614571032,2.582938013810294,0.9564623077019512,0.927979062964459,0.9338675864552733,0.265694589485077,0.03591517430626931,7.859999999999999
8,3,3,1.0,28812.070975738607,3.106644111384202,2.392939964104935,0.9625558273018076,0.9366405929800016,0.9522877297237841,0.2544877138174215,0.03231893807720626,8.143333333333333
