k,n_splits,test_ap_sampled_mean,test_auc_sampled_mean,test_ap_all_candidates_mean,test_auc_all_candidates_mean,ap_over_random_mean,precision_at_10_mean,recall_at_10_mean,ndcg_at_10_mean,map_at_10_mean,hit_rate_at_10_mean,sampled_random_ap_baseline,all_candidate_random_ap_baseline_mean
3,3,0.6830072129033976,0.8697887970615245,0.2506702358322089,0.8690390260333959,4.098043277420386,0.1418864097363083,0.5335577717677109,0.4070811489927038,0.3147447279252271,0.6877394636015325,0.16666666666666666,0.014090520922288642
5,3,0.6654681795847487,0.858784817875727,0.25753589112282493,0.8646031558547799,3.9928090775084932,0.13728870858688305,0.5324590564195026,0.4253655732793507,0.33952857643696044,0.6697092630155511,0.16666666666666666,0.014090520922288642
8,3,0.6811702972778018,0.872329354147536,0.2069876196798892,0.8740129751390038,4.087021783666811,0.1467771016452558,0.5408365261813538,0.3906948715012777,0.2910086455825412,0.6950642325895876,0.16666666666666666,0.014090520922288642
