condition,rmse_Z_mean,rmse_Z_std,test_y_ll_mean,test_y_ll_std,test_y_rmse_mean,w0_err_mean,w_err_mean,x_rmse_gauss_mean,x_rmse_bern_mean,x_rmse_pois_mean,n_nan
all_bernoulli,0.7974772549177543,0.822021467344648,-36.925021598147886,60.289671164194836,507.54344943560955,0.03585911932540423,0.529542275221367,0.9681220719442956,0.46550429132440785,2.715810522632166,0
all_bernoulli_binarized,0.29207932379038987,0.01605773647720906,-2.0629955555947106,0.01411962729027088,2.119242614339647,0.0077055713719684045,0.0069558023303872285,0.26952971274538573,0.4517153324867819,0.41722635413725206,0
all_gaussian,0.2342912092378248,0.0177267679619012,-2.048250103842052,0.01354538808647057,2.0785953934711383,0.008440186289123389,0.005898347079204909,0.2997406328010495,0.6787671324118812,2.5553129953543543,0
all_poisson,0.29569372013675665,0.02117692885620011,-2.067863841212484,0.021635163401377798,2.1107885687142285,0.006951133426801463,0.007298345158263535,1.4741528050983144,0.6885920792276604,1.364823002384547,0
per_column_all,0.234709938194279,0.016068648135764745,-2.047097653366276,0.011720871438488416,2.0662375010814684,0.008142374649643921,0.00692834433943873,0.2971545137106064,0.4501693482589135,1.393864415010138,0
single_bernoulli,0.32082030111665816,0.017656488899280426,-2.0780305646127712,0.016638067186490933,2.158783636785016,0.008022680864677056,0.0074764207569347945,,0.45130311790297933,,0
single_gaussian,0.24285237192486772,0.017409039211051067,-2.049815784493178,0.016532405455433014,2.0782549067738914,0.008260708564690264,0.007054093519135551,0.3000084679164429,,,0
single_poisson,0.29406249121308187,0.012997711629862232,-2.067055329087576,0.005307328355935415,2.128782720856411,0.0072797453511829575,0.006441740761752394,,,1.3500725432167024,0
y_only,0.3282508882003435,0.02170545797752938,-2.0792983230102617,0.01958283847575521,2.16037473153237,0.00817945549117094,0.007264271922337806,,,,0
