condition,n_noise_cols,noise_family,rmse_Z_mean,rmse_Z_std,test_y_ll_mean,test_y_ll_std,w_err_mean,x_rmse_info_mean,n_nan
bern_noise3,3,bernoulli,0.22382561854871472,0.014267070233800192,-2.0381211007315905,0.046093863180171085,0.0035500227984454993,0.7707724798854251,0
gauss_noise3,3,gaussian,0.23318420776431162,0.02520628639965569,-2.044501027209568,0.03564179799212421,0.003173495746871794,0.7594196600155998,0
gauss_noise6,6,gaussian,0.22285485710341915,0.014777917263163019,-2.0377284665356084,0.04630806538077513,0.0035386776396969335,0.7704812728276548,0
gauss_noise12,12,gaussian,0.23543413441100255,0.021317400371571198,-2.04558175287656,0.0377410501557773,0.0029757168039575474,0.758530744062591,0
no_noise,0,none,0.2234031633789045,0.014169193747531846,-2.0378322517034966,0.046246999546582096,0.0037582006997320394,0.7709302288340746,0
pois_noise3,3,poisson,0.22435919383853578,0.013574545539076496,-2.0383672051500668,0.04638488640766881,0.0037682939663307526,0.7715848553132186,0
