scenario,condition_name,true_x,true_y,est_x,est_y,fix_w,fix_x,n_trials,rmse_z_mean,rmse_z_std,rmse_z_median,rmse_z_min,rmse_z_max,rmse_x_mean,rmse_y_mean,success_rate,high_rmse_count,high_rmse_rate,note
C,XGauss_YGauss,bernoulli,gaussian,gaussian,gaussian,False,False,30,0.023152801383628942,0.00096547413406089,0.02311346074626868,0.021390520155354774,0.025152511714302148,0.6758028780959793,0.028168210225021768,1.0,0,0.0,"fixed_official exp4 scen_c, high_rmse_threshold=0.7"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,False,False,30,0.6578611565583125,0.26129191227602006,0.46161861043212893,0.4435723543470422,1.1999048959592014,0.6811495121277051,0.48160577983752045,1.0,13,0.43333333333333335,"fixed_official exp4 scen_c, high_rmse_threshold=0.7"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,False,False,30,0.4438313233798643,0.2274783634420738,0.322302309103384,0.2736233420262396,1.3399094255989343,0.612619811743626,2.4854258746228415,1.0,1,0.03333333333333333,"fixed_official exp4 scen_c, high_rmse_threshold=0.7"
C,oracle_C,bernoulli,gaussian,bernoulli,gaussian,False,False,30,0.023143199496048438,0.0009771380280437223,0.022968727198936202,0.021747214816436385,0.026016933637741935,0.45427612033081016,0.028139917080997296,1.0,0,0.0,"fixed_official exp4 scen_c, high_rmse_threshold=0.7"
C,XBern_YBern,bernoulli,gaussian,bernoulli,bernoulli,False,False,30,0.4533781285166466,0.006576961233399525,0.4536404685082387,0.4444616771248487,0.46786678707887747,0.46723317064166187,0.47801204081371634,1.0,0,0.0,"fixed_official exp4 scen_c, high_rmse_threshold=0.7"
C,XBern_YPois,bernoulli,gaussian,bernoulli,poisson,False,False,30,0.31089385665629704,0.01588322952462709,0.3137963036775368,0.2742088141193606,0.3475618650048852,0.456259853902913,2.370887597092851,1.0,0,0.0,"fixed_official exp4 scen_c, high_rmse_threshold=0.7"
C,XPois_YGauss,bernoulli,gaussian,poisson,gaussian,False,False,30,0.023142227543018725,0.0010353600709600678,0.023146364044485994,0.02150977097401875,0.026065673046162138,0.6926107324454089,0.028126218576464936,1.0,0,0.0,"fixed_official exp4 scen_c, high_rmse_threshold=0.7"
C,XPois_YBern,bernoulli,gaussian,poisson,bernoulli,False,False,30,0.9343051149888358,0.07870609428726948,0.9320961005329003,0.8432244954658934,1.1850444927452635,0.6563557320728896,0.49810030386131515,1.0,30,1.0,"fixed_official exp4 scen_c, high_rmse_threshold=0.7"
C,XPois_YPois,bernoulli,gaussian,poisson,poisson,False,False,30,0.31091704256331,0.016287850668061578,0.3158123345906486,0.2708611160909541,0.34880967149599607,0.6925871343543702,2.367794104677951,1.0,0,0.0,"fixed_official exp4 scen_c, high_rmse_threshold=0.7"
C,Y_only,bernoulli,gaussian,bernoulli,gaussian,False,True,30,0.023151951581344588,0.000934308670250848,0.023149604744039022,0.021603343079169182,0.025722942757209502,0.5,0.028149710401556,1.0,0,0.0,"fixed_official exp4 scen_c, high_rmse_threshold=0.7"
C,X_only,bernoulli,gaussian,bernoulli,gaussian,True,False,30,1.0845749135358809,0.05439493157667008,1.0888480005701449,0.970883544124141,1.183848934760153,0.4555965607682631,0.8606798736698964,1.0,30,1.0,"fixed_official exp4 scen_c, high_rmse_threshold=0.7"
