scenario,model,family_x,family_y,k_est,k_true,trial,n,d,rmse_Z,rmse_F,rmse_Y,rmse_X,rmse_sigma,w0_err,w_err,BIC,Q_strict,x_misspecified,comparison_type,status
A_Pois_Bern,dual_expfam,poisson,bernoulli,1,3,0,150,15,0.7608995711131118,0.4661445738157526,0.2578237194908518,2.0241763740470757,0.9000000000000001,0.31389913425343263,0.5483595440891841,20844.912694926963,-10384.876582757759,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,1,3,0,150,15,1.1052022130564867,1.12937205774535,0.2836173553697133,2.8312142950876686,10.076991791139916,0.27214245930536374,0.8512356423277134,24894.646124450668,-12372.163532813891,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,1,3,1,150,15,1.4104270252513058,0.7449553171051609,0.2585436998916067,1.8161062236934589,0.9000000000000001,0.321649571583249,0.38936517706299467,21129.3038439937,-10527.072157291128,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,1,3,1,150,15,0.9186428021567569,0.7103451999370942,0.243466549970293,2.4401961863005464,6.025296882653804,0.2828276230262917,0.15530960063001653,23104.684226969333,-11477.182584073224,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,1,3,2,150,15,0.7385250005392613,0.4149870903116956,0.2502147467768315,1.8008359801584637,0.9000000000000001,0.29913352439680685,0.27514567765274567,20546.599819888303,-10235.720145238429,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,1,3,2,150,15,0.8115246218363419,0.699789035365094,0.250341498970126,2.386245290863879,5.699555920852368,0.300008737094721,0.1824924790840612,23115.77937189771,-11482.730156537411,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,1,3,3,150,15,1.0959511636692367,0.6931807897753387,0.261520887269856,1.8948167330668972,0.9000000000000001,0.3239976602334613,0.593043563341974,21184.45871548752,-10554.649593038037,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,1,3,3,150,15,1.0349666937209199,1.7620462745033738,0.26946875126666986,2.5084579614830336,6.40288454050346,0.33580932675522024,0.06058603471430679,24311.156949960812,-12080.418945568963,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,1,3,4,150,15,1.3987298682689804,0.7759105341600793,0.27488307141607066,2.088951654616355,0.9000000000000001,0.33277634099661224,0.6871356276376778,22257.960523108217,-11091.400496848386,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,1,3,4,150,15,1.299692410156815,1.5795998614944946,0.30604207367710584,2.2564796765932047,5.231971557464645,0.1750965479212595,1.1587474654966083,24790.950128492066,-12320.31553483459,True,auxiliary,ok
