scenario,trial,seed_data,seed_model,k_est,k_true,family_x,family_y,n,d,q_strict,bic,num_params,rmse_z,rmse_x,rmse_y,success,error_message,note
B,1,5100,5150,6,3,gaussian,poisson,150,15,-16474.59369890789,33400.144574284444,90,0.6635232391326793,0.30491757393881597,0.5930949480280606,True,,fixed_official quick k_true=3
B,2,5200,5250,6,3,gaussian,poisson,150,15,-16295.298924980472,33041.55502642961,90,0.6277994346437149,0.3169395856896423,0.5668254461451353,True,,fixed_official quick k_true=3
C,0,6000,6050,1,3,bernoulli,gaussian,150,15,-3134.503050408699,6349.176265522938,16,0.6070040482278218,0.4775452876397093,0.6855931446326314,True,,fixed_official quick k_true=3
C,1,6100,6150,1,3,bernoulli,gaussian,150,15,-3220.819837838754,6521.809840383048,16,1.3172144102973833,0.4836282062185757,0.6876397114727638,True,,fixed_official quick k_true=3
C,2,6200,6250,1,3,bernoulli,gaussian,150,15,-3111.173075267212,6302.516315239964,16,0.8607639163348886,0.48244313282827667,0.6812763022852223,True,,fixed_official quick k_true=3
C,0,6000,6050,2,3,bernoulli,gaussian,150,15,1437.0059649139603,-2723.692871005033,30,0.6098313400329315,0.46162520744985736,0.4430987578186475,True,,fixed_official quick k_true=3
C,1,6100,6150,2,3,bernoulli,gaussian,150,15,589.7741416262721,-1029.2292244296566,30,0.5492448339296221,0.4684509875325368,0.47773122461303885,True,,fixed_official quick k_true=3
C,2,6200,6250,2,3,bernoulli,gaussian,150,15,1015.5259999379754,-1880.732941053063,30,0.6220632026333018,0.47336356371295996,0.4587201880904984,True,,fixed_official quick k_true=3
C,0,6000,6050,3,3,bernoulli,gaussian,150,15,18131.48082614282,-36047.504334639496,43,0.022215114078493123,0.45031269048351236,0.027045091803594188,True,,fixed_official quick k_true=3
C,1,6100,6150,3,3,bernoulli,gaussian,150,15,18347.26682010141,-36479.07632255668,43,0.02287046240997612,0.4518994868478547,0.02803109567184249,True,,fixed_official quick k_true=3
C,2,6200,6250,3,3,bernoulli,gaussian,150,15,18266.639264935762,-36317.82121222538,43,0.021775928593659153,0.45718440837620333,0.026587390403676244,True,,fixed_official quick k_true=3
C,0,6000,6050,4,3,bernoulli,gaussian,150,15,18004.79549466291,-35734.00604815053,55,0.34131728435977454,0.44830607099266867,0.031308374812266886,True,,fixed_official quick k_true=3
C,1,6100,6150,4,3,bernoulli,gaussian,150,15,18218.39050188943,-36161.196062603565,55,0.4757150569514304,0.44973949896399246,0.03173164117673988,True,,fixed_official quick k_true=3
C,2,6200,6250,4,3,bernoulli,gaussian,150,15,18119.76911338286,-35963.953285590425,55,0.13919007461249502,0.45397457034706645,0.03224266043958519,True,,fixed_official quick k_true=3
C,0,6000,6050,5,3,bernoulli,gaussian,150,15,17864.351289767284,-35398.00065012422,66,0.44431035241211375,0.44569253638963396,0.03564866550635932,True,,fixed_official quick k_true=3
C,1,6100,6150,5,3,bernoulli,gaussian,150,15,18086.538059776205,-35842.37419014206,66,0.60143143683053,0.4457648416251582,0.03555042370357726,True,,fixed_official quick k_true=3
C,2,6200,6250,5,3,bernoulli,gaussian,150,15,17970.16635353996,-35609.63077766957,66,0.2600155434224833,0.45250212252028876,0.03500268956274973,True,,fixed_official quick k_true=3
C,0,6000,6050,6,3,bernoulli,gaussian,150,15,17713.691077086893,-35046.57387182247,76,0.28871715783693497,0.4407821536283148,0.0363130970852511,True,,fixed_official quick k_true=3
C,1,6100,6150,6,3,bernoulli,gaussian,150,15,17952.686005258183,-35524.56372816505,76,0.3834160184999658,0.44331116485709293,0.03721022372214053,True,,fixed_official quick k_true=3
C,2,6200,6250,6,3,bernoulli,gaussian,150,15,17876.596058306422,-35372.38383426153,76,0.6435311538834996,0.44943975405022607,0.037815787680846806,True,,fixed_official quick k_true=3
